流水	印记id	分解产物	合成材料(指定印记)	合成材料(指定品质)	合成材料数量	消耗银币
int	string	string	string	int	int	string
Id	ImprintId	EquipId	ComposeImprintId	ComposeRare	ComposeNum	CurrencyNum
1	item127000065103	item127000065131,5		0	0	
2	item127000065104	item127000065131,5		0	0	
3	item127000065105	item127000065131,5		0	0	
4	item127000065106	item127000065131,5		0	0	
5	item127000065107	item127000065131,5		0	0	
6	item127000065108	item127000065131,5		0	0	
7	item127000065109	item127000065131,5		0	0	
8	item127000065110	item127000065131,5		0	0	
9	item127000065111	item127000065131,10	item127000065103,item127000065104	2	3	1,100000
10	item127000065112	item127000065131,10	item127000065105,item127000065106,item127000065107	2	2	1,100000
11	item127000065113	item127000065131,10	item127000065108,item127000065109,item127000065110,item127000065103	2	1	1,100000
12	item127000065114	item127000065131,10	item127000065104,item127000065105	2	3	1,100000
13	item127000065115	item127000065131,10	item127000065106,item127000065107,item127000065108	2	2	1,100000
14	item127000065116	item127000065131,10	item127000065109,item127000065110,item127000065103,item127000065104	2	1	1,100000
15	item127000065117	item127000065131,10	item127000065105,item127000065106	2	3	1,100000
16	item127000065118	item127000065131,10	item127000065107,item127000065108,item127000065109	2	2	1,100000
17	item127000065119	item127000065131,20	item127000065111,item127000065112	3	3	1,200000
18	item127000065120	item127000065131,20	item127000065113,item127000065114,item127000065115	3	2	1,200000
19	item127000065121	item127000065131,20	item127000065116,item127000065117,item127000065118,item127000065111	3	1	1,200000
20	item127000065122	item127000065131,20	item127000065112,item127000065113	3	3	1,200000
21	item127000065123	item127000065131,20	item127000065114,item127000065115,item127000065116	3	2	1,200000
22	item127000065124	item127000065131,20	item127000065117,item127000065118,item127000065111,item127000065112	3	1	1,200000
23	item127000065125	item127000065131,50	item127000065119,item127000065120	4	3	1,500000
24	item127000065126	item127000065131,50	item127000065121,item127000065122,item127000065123	4	2	1,500000
25	item127000065127	item127000065131,50	item127000065124,item127000065119,item127000065120,item127000065121	4	1	1,500000
26	item127000065128	item127000065131,50	item127000065122,item127000065123	4	3	1,500000
27	item127000065129	item127000065131,50	item127000065124,item127000065119,item127000065120	4	2	1,500000
28	item127000065130	item127000065131,50	item127000065121,item127000065122,item127000065123,item127000065124	4	1	1,500000
