共鸣ID	页签ID	孔数	所需印记	套装名称	套装icon
int	string	int	string	string	string
EffectId	PageId	Hole	ImprintId	ResonanceName	ResonanceIcon
1001	1,2,3,4,5,6	2	item127000065103,item127000065111	ResonanceName1001001	imprint_suit01
1002	1,2,3,4,5,6	2	item127000065112,item127000065113	ResonanceName1001002	imprint_suit01
1003	1,2,3,4,5,6	2	item127000065114,item127000065119	ResonanceName1001003	imprint_suit01
1004	1,2,3,4,5,6	3	item127000065104,item127000065115,item127000065116	ResonanceName1001004	imprint_suit02
1005	1,2,3,4,5,6	3	item127000065117,item127000065118,item127000065111	ResonanceName1001005	imprint_suit02
1006	1,2,3,4,5,6	3	item127000065112,item127000065113,item127000065120	ResonanceName1001006	imprint_suit02
1007	1,2,3,4,5,6	3	item127000065114,item127000065121,item127000065122	ResonanceName1001007	imprint_suit02
1008	1,2,3,4,5,6	4	item127000065105,item127000065115,item127000065116,item127000065117	ResonanceName1001008	imprint_suit03
1009	1,2,3,4,5,6	4	item127000065118,item127000065111,item127000065112,item127000065123	ResonanceName1001009	imprint_suit03
1010	1,2,3,4,5,6	4	item127000065113,item127000065114,item127000065124,item127000065119	ResonanceName1001010	imprint_suit03
1011	1,2,3,4,5,6	4	item127000065115,item127000065120,item127000065121,item127000065122	ResonanceName1001011	imprint_suit03
1012	1,2,3,4,5,6	5	item127000065116,item127000065117,item127000065118,item127000065111,item127000065123	ResonanceName1001012	imprint_suit04
1013	1,2,3,4,5,6	5	item127000065112,item127000065113,item127000065114,item127000065124,item127000065119	ResonanceName1001013	imprint_suit04
1014	1,2,3,4,5,6	5	item127000065115,item127000065116,item127000065120,item127000065121,item127000065122	ResonanceName1001014	imprint_suit04
1015	1,2,3,4,5,6	5	item127000065117,item127000065123,item127000065124,item127000065119,item127000065120	ResonanceName1001015	imprint_suit04
1016	1,2,3,4,5,6	5	item127000065121,item127000065122,item127000065123,item127000065124,item127000065125	ResonanceName1001016	imprint_suit04
1017	1,2,3,4,5,6	5	item127000065119,item127000065120,item127000065121,item127000065126,item127000065127	ResonanceName1001017	imprint_suit04
