流水	共鸣ID	等级	套装属性	百分比加成属性
int	int	int	string	string
Id	EffectId	Level	BaseProp	PercentProp
1	1001	1	279,350	
2	1001	2	279,400	
3	1001	3	279,450	
4	1001	4	279,500	
5	1001	5	279,550	
6	1001	6	279,600	
7	1001	7	279,650	
8	1001	8	279,700	
9	1001	9	279,750	
10	1001	10	279,800	
11	1002	1	281,35	
12	1002	2	281,40	
13	1002	3	281,45	
14	1002	4	281,50	
15	1002	5	281,55	
16	1002	6	281,60	
17	1002	7	281,65	
18	1002	8	281,70	
19	1002	9	281,75	
20	1002	10	281,80	
21	1003	1	285,35	
22	1003	2	285,40	
23	1003	3	285,45	
24	1003	4	285,50	
25	1003	5	285,55	
26	1003	6	285,60	
27	1003	7	285,65	
28	1003	8	285,70	
29	1003	9	285,75	
30	1003	10	285,80	
31	1004	1	279,350;289,200	
32	1004	2	279,400;289,250	
33	1004	3	279,450;289,300	
34	1004	4	279,500;289,350	
35	1004	5	279,550;289,400	
36	1004	6	279,600;289,450	
37	1004	7	279,650;289,500	
38	1004	8	279,700;289,550	
39	1004	9	279,750;289,600	
40	1004	10	279,800;289,650	
41	1005	1	281,35;290,200	
42	1005	2	281,40;290,250	
43	1005	3	281,45;290,300	
44	1005	4	281,50;290,350	
45	1005	5	281,55;290,400	
46	1005	6	281,60;290,450	
47	1005	7	281,65;290,500	
48	1005	8	281,70;290,550	
49	1005	9	281,75;290,600	
50	1005	10	281,80;290,650	
51	1006	1	285,35;283,200	
52	1006	2	285,40;283,250	
53	1006	3	285,45;283,300	
54	1006	4	285,50;283,350	
55	1006	5	285,55;283,400	
56	1006	6	285,60;283,450	
57	1006	7	285,65;283,500	
58	1006	8	285,70;283,550	
59	1006	9	285,75;283,600	
60	1006	10	285,80;283,650	
61	1007	1	280,200;284,200	
62	1007	2	280,250;284,250	
63	1007	3	280,300;284,300	
64	1007	4	280,350;284,350	
65	1007	5	280,400;284,400	
66	1007	6	280,450;284,450	
67	1007	7	280,500;284,500	
68	1007	8	280,550;284,550	
69	1007	9	280,600;284,600	
70	1007	10	280,650;284,650	
71	1008	1	282,200;287,200	
72	1008	2	282,250;287,250	
73	1008	3	282,300;287,300	
74	1008	4	282,350;287,350	
75	1008	5	282,400;287,400	
76	1008	6	282,450;287,450	
77	1008	7	282,500;287,500	
78	1008	8	282,550;287,550	
79	1008	9	282,600;287,600	
80	1008	10	282,650;287,650	
81	1009	1	286,200;288,200	
82	1009	2	286,250;288,250	
83	1009	3	286,300;288,300	
84	1009	4	286,350;288,350	
85	1009	5	286,400;288,400	
86	1009	6	286,450;288,450	
87	1009	7	286,500;288,500	
88	1009	8	286,550;288,550	
89	1009	9	286,600;288,600	
90	1009	10	286,650;288,650	
91	1010	1	289,200;280,200	
92	1010	2	289,250;280,250	
93	1010	3	289,300;280,300	
94	1010	4	289,350;280,350	
95	1010	5	289,400;280,400	
96	1010	6	289,450;280,450	
97	1010	7	289,500;280,500	
98	1010	8	289,550;280,550	
99	1010	9	289,600;280,600	
100	1010	10	289,650;280,650	
101	1011	1	290,200;280,200	
102	1011	2	290,250;280,250	
103	1011	3	290,300;280,300	
104	1011	4	290,350;280,350	
105	1011	5	290,400;280,400	
106	1011	6	290,450;280,450	
107	1011	7	290,500;280,500	
108	1011	8	290,550;280,550	
109	1011	9	290,600;280,600	
110	1011	10	290,650;280,650	
111	1012	1	281,35;282,200;279,600	
112	1012	2	281,40;282,250;279,700	
113	1012	3	281,45;282,300;279,800	
114	1012	4	281,50;282,350;279,900	
115	1012	5	281,55;282,400;279,1000	
116	1012	6	281,60;282,450;279,1100	
117	1012	7	281,65;282,500;279,1200	
118	1012	8	281,70;282,550;279,1300	
119	1012	9	281,75;282,600;279,1400	
120	1012	10	281,80;282,650;279,1500	
121	1013	1	279,350;280,200;285,600	
122	1013	2	279,400;280,250;285,700	
123	1013	3	279,450;280,300;285,800	
124	1013	4	279,500;280,350;285,900	
125	1013	5	279,550;280,400;285,1000	
126	1013	6	279,600;280,450;285,1100	
127	1013	7	279,650;280,500;285,1200	
128	1013	8	279,700;280,550;285,1300	
129	1013	9	279,750;280,600;285,1400	
130	1013	10	279,800;280,650;285,1500	
131	1014	1	285,35;286,200;281,600	
132	1014	2	285,40;286,250;281,700	
133	1014	3	285,45;286,300;281,800	
134	1014	4	285,50;286,350;281,900	
135	1014	5	285,55;286,400;281,1000	
136	1014	6	285,60;286,450;281,1100	
137	1014	7	285,65;286,500;281,1200	
138	1014	8	285,70;286,550;281,1300	
139	1014	9	285,75;286,600;281,1400	
140	1014	10	285,80;286,650;281,1500	
141	1015	1	289,200;291,200	280,600
142	1015	2	289,250;291,250	280,700
143	1015	3	289,300;291,300	280,800
144	1015	4	289,350;291,350	280,900
145	1015	5	289,400;291,400	280,1000
146	1015	6	289,450;291,450	280,1100
147	1015	7	289,500;291,500	280,1200
148	1015	8	289,550;291,550	280,1300
149	1015	9	289,600;291,600	280,1400
150	1015	10	289,650;291,650	280,1500
151	1016	1	290,200;292,200	282,600
152	1016	2	290,250;292,250	282,700
153	1016	3	290,300;292,300	282,800
154	1016	4	290,350;292,350	282,900
155	1016	5	290,400;292,400	282,1000
156	1016	6	290,450;292,450	282,1100
157	1016	7	290,500;292,500	282,1200
158	1016	8	290,550;292,550	282,1300
159	1016	9	290,600;292,600	282,1400
160	1016	10	290,650;292,650	282,1500
161	1017	1	283,200;287,200	286,600
162	1017	2	283,250;287,250	286,700
163	1017	3	283,300;287,300	286,800
164	1017	4	283,350;287,350	286,900
165	1017	5	283,400;287,400	286,1000
166	1017	6	283,450;287,450	286,1100
167	1017	7	283,500;287,500	286,1200
168	1017	8	283,550;287,550	286,1300
169	1017	9	283,600;287,600	286,1400
170	1017	10	283,650;287,650	286,1500
