流水ID	元素灵ID	等级	阶级	技能和天赋等级	UI界面模型倍数	UI界面模型位置	高模特效	元素属性	加护属性	开启类别
int	string	int	int	int	float	string	string	string	string	int
id	type	level	rank	SkillTalentLevel	AvatarZoom	AvatarLocation	HighEffect	prop	BlessProp	opentype
1	elemental_npc_30011	60	4	4	1.000000	0;0.3;0	41001000	279,200000;280,10;281,20000;282,5;283,5;284,10;285,20000;286,5;287,5;288,10;289,10;290,10;294,7500	1,220;3,22;4,11	1
2	elemental_npc_40011	70	5	5	1.000000	0;0.3;0	41001001	279,500000;280,15;281,50000;282,10;283,10;284,20;285,50000;286,10;287,10;288,20;289,20;290,20;294,8000	1,240;3,24;4,12	1
3	elemental_npc_40021	70	5	5	1.000000	0;0.3;0	41001002	279,500000;280,15;281,50000;282,10;283,15;284,15;285,50000;286,10;287,15;288,15;289,15;290,25;294,8000	1,260;3,26;4,13	1
4	elemental_npc_40031	70	5	5	1.000000	0;0.3;0	41001003	279,500000;280,15;281,50000;282,10;283,10;284,20;285,50000;286,10;287,20;288,10;289,25;290,15;294,8000	1,280;3,28;4,14	1
5	elemental_npc_50011	80	6	6	1.000000	0;0.3;0	41001004	279,800000;280,20;281,80000;282,15;283,30;284,40;285,80000;286,15;287,35;288,35;289,50;290,50;294,8500	1,300;3,30;4,15	1
6	pet_364	70	5	0	1.000000	0;0.3;0				2
7	pet_365	70	5	0	1.000000	0;0.3;0				2
8	pet_366	70	5	0	1.000000	0;0.3;0				2
9	pet_367	70	5	0	1.000000	0;0.3;0				2
10	pet_368	70	5	0	1.000000	0;0.3;0				2
