使者ID	未鉴定道具ID	已鉴定道具ID	tips展示鉴定保底	附加属性条数区间	附加属性展示库	使者技能	技能评分	初始解锁装备栏位	使者基础属性	成长率	使者灵魂属性	使者负重	分解产物	极品（红）	超凡（橙）	传说（金）	珍惜（紫）	脚底光环特效
string	string	string	int	string	int	string	int	string	string	string	int	int	string	int	int	int	int	int
EnvoyId	UnidentifiedItemId	ItemId	fiscaltips	EnvoyNum	ShowNum	EnvoySkillId	EnvoySkillValue	EnvoyPos	BasicProp	GrowRate	EnvoyProp	EnvoyLimit	ResolveItem	Perfect	Great	Good	Cool	Effect
envoy_5001	item19100000500001	item19000000500001	0	2,6	10005	skill121001	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	42	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5002	item19100000500002	item19000000500002	0	2,6	10005	skill121002	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	41	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5003	item19100000500003	item19000000500003	0	2,6	10005	skill121003	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	40	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5004	item19100000500004	item19000000500004	20	2,6	11002	skill121008	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	40	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5005	item19100000500005	item19000000500005	0	2,6	10015	skill121009	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	40	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_4001	item19100000400001	item19000000400001	0	2,5	20005	skill121004	600	1,2	301,35000,56000,100;302,2800,3500,10;303,400,600,100;331,2800,3500,10	10600,11500,100	42	20	item19200000400001,1	-1	-1	9500	7500	1800001
envoy_4002	item19100000400002	item19000000400002	0	2,5	20005	skill121005	600	1,2	301,35000,56000,100;302,2800,3500,10;303,400,600,100;331,2800,3500,10	10600,11500,100	40	20	item19200000400001,1	-1	-1	9500	7500	1800001
envoy_4003	item19100000400003	item19000000400003	0	2,5	20005	skill121006	600	1,2	301,35000,56000,100;302,2800,3500,10;303,400,600,100;331,2800,3500,10	10600,11500,100	41	20	item19200000400001,1	-1	-1	9500	7500	1800001
envoy_3001	item19100000300001	item19000000300001	0	2,2	30001	skill121007	200	1,2	301,32000,40000,100;302,2000,2500,10;303,200,400,100	10000,10500,100	42	10	item1000,1000000	-1	-1	-1	3500	1800001
envoy_5006	item19100000500006	item19000000500006	0	2,6	10017	skill121010	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	41	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5007	item19100000500007	item19000000500007	20	2,6	11005	skill121011	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	40	40	item19200000500001,1	-1	15000	12500	10000	1800001
envoy_5008	item19100000500008	item19000000500008	0	2,6	10019	skill121012	1000	1,2	301,50000,80000,100;302,4000,5000,10;303,600,800,100;331,4000,5000,10	11600,12500,100	42	40	item19200000500001,1	-1	15000	12500	10000	1800001
