流水id	进阶属性库id	进阶等级	属性加成	buff编号	增加技能等级	使者负重	使者成长	解锁孔位	额外评分类型	评分计算
int	int	int	string	string	int	int	float	int	int	int
id	PropBox	Level	PropList	BuffId	AddSkillLevel	DiscipleWeight	DiscipleGrow	UnlockHoleSite	CPType	CPValue
1	91001	1			1	10	0.000000	0	2	500
2	91001	2	331,5000		0	10	0.000000	0	2	100
3	91001	3			1	10	0.000000	0	2	500
4	91001	4		skill127002::buff_01	0	10	0.000000	0	2	900
5	91001	5	312,500		0	10	0.000000	0	2	100
6	91001	6			1	0	0.000000	0	2	500
7	91001	7	313,500		0	0	0.000000	0	2	100
8	91001	8			1	0	0.000000	0	2	500
9	91001	9	314,500		0	0	0.000000	0	2	100
10	91001	10			1	0	0.000000	0	2	500
11	91001	11	315,500		0	0	0.000000	0	2	100
12	91001	12			1	0	0.000000	0	2	500
13	91001	13	312,500		0	0	0.000000	0	2	100
14	91001	14			1	0	0.000000	0	2	500
15	91001	15	313,500		0	0	0.000000	0	2	100
16	91002	1			1	10	0.000000	0	2	500
17	91002	2			0	10	0.000000	0	2	100
18	91002	3	312,500		0	10	0.000000	0	2	100
19	91002	4			1	10	0.000000	0	2	500
20	91002	5		skill127002::buff_01	0	0	0.000000	0	2	900
21	91002	6			1	0	0.000000	0	2	500
22	91002	7	313,500		0	0	0.000000	0	2	100
23	91002	8			1	0	0.000000	0	2	500
24	91002	9			0	0	0.000000	0	2	100
25	91002	10			1	0	0.000000	0	2	500
