时装id	出生动作绑点参数	出生动作特效	待机动作绑点参数	待机动作特效	死亡动作绑点参数	死亡动作特效	高模待机动作	高模展示动作	待机动作	移动动作	展示动作	展示间隔时间
string	string	string	string	string	string	string	string	string	string	string	string	float
Id	BirthBindPos	BirthEffectId	IdleBindPos	IdleEffectId	DieBindPos	DieEffectId	AvatarShowId	AvatarActionId	IdleActionId	MoveActionId	ShowActionId	ShowInterval
envoy_5001	0;38;0;25	130001;130003;130004;130029	38;0;25	130003;130004;130029	0	130002	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5002	0;47;0;25	130005;130007;130004;130030	47;0;25	130007;130004;130030	0	130006	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5003	0;43;13;0;25	130011;130013;130014;130004;130031	43;13;0;25	130013;130014;130004;130031	0	130012	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5004	0;0;96	130037;130038;130040	0;96	130038;130040	0;0	130039;130004	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5005	0;2;0;25	130042;130041;130004;130044	2;0;25	130041;130004;130044	0	130043	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_4001	0;1;0;25;25	130022;130024;130004;130028;130033	1;0;25	130024;130004;130033	0	130023	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_4002	1;1;0;25	130008;130010;130004;130032	1;0;25	130010;130004;130032	0	130009	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_4003	0;93;0;25	130025;130027;130004;130034	93;0;25	130027;130004;130034	0	130026	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_3001	0;8;7;0;25	130015;130017;130018;130004;130035	8;7;0;25	130017;130018;130004;130035	0	130016	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_monster01	0;19;25	130019;130021;130036	19;25	130021;130036	0	130020	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5006	0;0;25;10	130045;130047;130048;130049	0;25;10	130047;130048;130049	0	130046	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5007	0;25;10;25	130050;130051;130052;130054	25;10;25	130051;130052;130054	0	130053	idle01	birth01	idle01	idle01	birth01	10000.000000
envoy_5008	0;0;25;19	130055;130057;130058;130059	0;25;19	130057;130058;130059	0	130056	idle01	birth01	idle01	idle01	birth01	10000.000000
