流水	itemid	完美星数	附加属性库id	分解道具
int	string	int	string	string
Id	ItemId	StarNum	PropDropBox	ResolveItem
1	item127000060101	0		
2	item127000060101	1	1010	
3	item127000060101	2	1020	
4	item127000060101	3	1030	
5	item127000060102	0		
6	item127000060102	1	1110	
7	item127000060102	2	1120	item127000060100,1
8	item127000060102	3	1130	item127000060100,1
9	item127000060102	4	1140	item127000060100,1
10	item127000060102	5	1150	item127000060100,1
11	item127000060103	0		item127000060100,1
12	item127000060103	1	2110	item127000060100,1
13	item127000060103	2	2120	item127000060100,2
14	item127000060103	3	2130	item127000060100,3
15	item127000060103	4	2140,2141	item127000060100,4
16	item127000060103	5	2150,2151	item127000060100,5
17	item127000060103	6	2160	item127000060100,6
18	item127000060103	7	2170	item127000060100,7
19	item127000060111	0		
20	item127000060111	1	1010	
21	item127000060111	2	1020	
22	item127000060111	3	1030	
23	item127000060112	0		
24	item127000060112	1	1110	
25	item127000060112	2	1120	item127000060100,1
26	item127000060112	3	1130	item127000060100,1
27	item127000060112	4	1140	item127000060100,1
28	item127000060112	5	1150	item127000060100,1
29	item127000060113	0		item127000060100,1
30	item127000060113	1	2110	item127000060100,1
31	item127000060113	2	2120	item127000060100,2
32	item127000060113	3	2130	item127000060100,3
33	item127000060113	4	2140,2241	item127000060100,4
34	item127000060113	5	2150,2251	item127000060100,5
35	item127000060113	6	2260	item127000060100,6
36	item127000060113	7	2270	item127000060100,7
37	item127000060121	0		
38	item127000060121	1	1010	
39	item127000060121	2	1020	
40	item127000060121	3	1030	
41	item127000060122	0		
42	item127000060122	1	1110	
43	item127000060122	2	1120	item127000060100,1
44	item127000060122	3	1130	item127000060100,1
45	item127000060122	4	1140	item127000060100,1
46	item127000060122	5	1150	item127000060100,1
47	item127000060123	0		item127000060100,1
48	item127000060123	1	2110	item127000060100,1
49	item127000060123	2	2120	item127000060100,2
50	item127000060123	3	2130	item127000060100,3
51	item127000060123	4	2140,2341	item127000060100,4
52	item127000060123	5	2150,2351	item127000060100,5
53	item127000060123	6	2360	item127000060100,6
54	item127000060123	7	2370	item127000060100,7
55	item127000060131	0		
56	item127000060131	1	1010	
57	item127000060131	2	1020	
58	item127000060131	3	1030	
59	item127000060132	0		
60	item127000060132	1	1110	
61	item127000060132	2	1120	item127000060100,1
62	item127000060132	3	1130	item127000060100,1
63	item127000060132	4	1140	item127000060100,1
64	item127000060132	5	1150	item127000060100,1
65	item127000060133	0		item127000060100,1
66	item127000060133	1	2110	item127000060100,1
67	item127000060133	2	2120	item127000060100,2
68	item127000060133	3	2130	item127000060100,3
69	item127000060133	4	2140,2441	item127000060100,4
70	item127000060133	5	2150,2451	item127000060100,5
71	item127000060133	6	2460	item127000060100,6
72	item127000060133	7	2470	item127000060100,7
73	item127000060141	0		
74	item127000060141	1	1010	
75	item127000060141	2	1020	
76	item127000060141	3	1030	
77	item127000060142	0		
78	item127000060142	1	1110	
79	item127000060142	2	1120	item127000060100,1
80	item127000060142	3	1130	item127000060100,1
81	item127000060142	4	1140	item127000060100,1
82	item127000060142	5	1150	item127000060100,1
83	item127000060143	0		item127000060100,1
84	item127000060143	1	2110	item127000060100,1
85	item127000060143	2	2120	item127000060100,2
86	item127000060143	3	2130	item127000060100,3
87	item127000060143	4	2140,2541	item127000060100,4
88	item127000060143	5	2150,2551	item127000060100,5
89	item127000060143	6	2560	item127000060100,6
90	item127000060143	7	2570	item127000060100,7
91	item127000060201	0		item127000060100,2
92	item127000060201	1	3110	item127000060100,2
93	item127000060201	2	3120	item127000060100,4
94	item127000060201	3	3130	item127000060100,6
95	item127000060201	4	3140	item127000060100,8
96	item127000060201	5	3150	item127000060100,10
97	item127000060201	6	3160	item127000060100,12
98	item127000060201	7	3170	item127000060100,14
99	item127000060201	8	3180	item127000060100,16
100	item127000060301	0		item127000060100,3
101	item127000060301	1	4110	item127000060100,3
102	item127000060301	2	4120	item127000060100,6
103	item127000060301	3	4130	item127000060100,9
104	item127000060301	4	4140	item127000060100,12
105	item127000060301	5	4150	item127000060100,15
106	item127000060301	6	4160	item127000060100,18
107	item127000060301	7	4170	item127000060100,21
108	item127000060301	8	4180	item127000060100,24
109	item127000060301	9	4190	item127000060100,27
