未鉴定战纹id	未鉴定完美星数	鉴定后战纹id
string	int	string
GenerateItemId	PerfectStar	ItemId
item127000061102	2	item127000060103
item127000061103	3	item127000060103
item127000061104	4	item127000060103
item127000061105	5	item127000060103
item127000061106	6	item127000060103
item127000061107	7	item127000060103
item127000061112	2	item127000060113
item127000061113	3	item127000060113
item127000061114	4	item127000060113
item127000061115	5	item127000060113
item127000061116	6	item127000060113
item127000061117	7	item127000060113
item127000061122	2	item127000060123
item127000061123	3	item127000060123
item127000061124	4	item127000060123
item127000061125	5	item127000060123
item127000061126	6	item127000060123
item127000061127	7	item127000060123
item127000061132	2	item127000060133
item127000061133	3	item127000060133
item127000061134	4	item127000060133
item127000061135	5	item127000060133
item127000061136	6	item127000060133
item127000061137	7	item127000060133
item127000061142	2	item127000060143
item127000061143	3	item127000060143
item127000061144	4	item127000060143
item127000061145	5	item127000060143
item127000061146	6	item127000060143
item127000061147	7	item127000060143
item127000061202	2	item127000060201
item127000061203	3	item127000060201
item127000061204	4	item127000060201
item127000061205	5	item127000060201
item127000061206	6	item127000060201
item127000061207	7	item127000060201
item127000061302	2	item127000060301
item127000061303	3	item127000060301
item127000061304	4	item127000060301
item127000061305	5	item127000060301
item127000061306	6	item127000060301
item127000061307	7	item127000060301
