流水	战纹阶数	战纹品质	星星总数	失败	普通升星	完美升星	升星次数	消耗货币数量
int	int	int	int	int	int	int	int	string
Id	Step	Rare	StarNum	Defeat	Common	Perfect	RisingTimes	ConstNum
1	1	2	0	1500	4000	4500	1	item1000,5000
2	1	2	1	2000	3500	4500	2	item1000,10000
3	1	2	2	2500	3500	4000	3	item1000,15000
4	1	3	0	1500	4000	4500	1	item1000,5000
5	1	3	1	2000	3500	4500	2	item1000,10000
6	1	3	2	2500	3500	4000	3	item1000,15000
7	1	3	3	3000	3500	3500	4	item1000,20000
8	1	3	4	3500	3500	3000	5	item1000,25000
9	1	4	0	1500	4500	4000	1	item1000,10000
10	1	4	1	2000	4200	3800	2	item1000,20000
11	1	4	2	2500	3700	3800	3	item1000,30000
12	1	4	3	3000	3500	3500	4	item1000,40000
13	1	4	4	3500	3000	3500	5	item1000,50000
14	1	4	5	4000	2800	3200	6	item1000,60000
15	1	4	6	4500	2500	3000	7	item1000,70000
16	2	4	0	2500	6834	666	1	item1000,10000
17	2	4	1	3000	6367	633	2	item1000,20000
18	2	4	2	3500	5867	633	3	item1000,30000
19	2	4	3	4000	5417	583	4	item1000,40000
20	2	4	4	4500	4917	583	5	item1000,50000
21	2	4	5	5000	4467	533	6	item1000,60000
22	2	4	6	5500	4000	500	7	item1000,70000
23	2	4	7	6000	3534	466	8	item1000,80000
24	3	4	0	3500	6167	333	1	item1000,10000
25	3	4	1	4000	5684	316	2	item1000,20000
26	3	4	2	4500	5184	316	3	item1000,30000
27	3	4	3	5000	4709	291	4	item1000,40000
28	3	4	4	5500	4209	291	5	item1000,50000
29	3	4	5	6000	3734	266	6	item1000,60000
30	3	4	6	6500	3250	250	7	item1000,70000
31	3	4	7	7000	2767	233	8	item1000,80000
32	3	4	8	7500	2300	200	9	item1000,90000
