流水	属性库ID	属性品质	属性Id	属性下限	属性上限
int	int	int	int	int	int
Id	PropDropBox	Rare	PropId	PropMin	PropMax
1	1001	0	301	64000	80000
2	1001	0	303	800	800
3	1001	0	302	4000	5000
4	1001	0	331	6000	7500
5	1002	0	301	48000	60000
6	1002	0	303	400	400
7	1002	0	302	3200	4000
8	1003	0	301	20000	25000
9	1013	0	301	24000	30000
10	1013	0	302	2000	2500
11	1023	0	301	24000	30000
12	1023	0	331	3000	3750
13	1004	0	301	8000	10000
14	1014	0	301	12000	15000
15	1014	0	302	800	1000
16	1024	0	301	20000	25000
17	1024	0	302	1600	2000
