流水id	使者id	使者等级	人物等级	到当前级属性加成	负重	升下一级所需经验
int	string	int	int	string	int	int
Id	EnvoyId	EnvoyLevel	LimitLevel	EnvoyProp	DiscipleWeight	Exp
1	envoy_3001	1	0		0	100
2	envoy_3001	2	0	301,1500;331,100;4,10	0	110
3	envoy_3001	3	0	301,1500;331,100;4,10	0	120
4	envoy_3001	4	0	301,1500;331,100;4,10	0	130
5	envoy_3001	5	0	301,1500;331,100;4,10	0	140
6	envoy_3001	6	0	301,1500;331,100;4,10	0	150
7	envoy_3001	7	0	301,1500;331,100;4,10	0	160
8	envoy_3001	8	0	301,1500;331,100;4,10	0	170
9	envoy_3001	9	0	301,1500;331,100;4,10	0	180
10	envoy_3001	10	0	301,1500;331,100;4,10	0	190
11	envoy_3001	11	0	301,1500;331,100;4,10	0	200
12	envoy_3001	12	0	301,1500;331,100;4,10	0	210
13	envoy_3001	13	0	301,1500;331,100;4,10	0	220
14	envoy_3001	14	0	301,1500;331,100;4,10	0	230
15	envoy_3001	15	0	301,1500;331,100;4,10	0	240
16	envoy_3001	16	0	301,1500;331,100;4,10	0	250
17	envoy_3001	17	0	301,1500;331,100;4,10	0	260
18	envoy_3001	18	0	301,1500;331,100;4,10	0	270
19	envoy_3001	19	0	301,1500;331,100;4,10	0	280
20	envoy_3001	20	0	301,1500;331,100;4,10	0	290
21	envoy_3001	21	0	301,1500;331,100;4,10	0	300
22	envoy_3001	22	0	301,1500;331,100;4,10	0	310
23	envoy_3001	23	0	301,1500;331,100;4,10	0	320
24	envoy_3001	24	0	301,1500;331,100;4,10	0	330
25	envoy_3001	25	0	301,1500;331,100;4,10	0	340
26	envoy_3001	26	0	301,1500;331,100;4,10	0	350
27	envoy_3001	27	0	301,1500;331,100;4,10	0	360
28	envoy_3001	28	0	301,1500;331,100;4,10	0	370
29	envoy_3001	29	0	301,1500;331,100;4,10	0	380
30	envoy_3001	30	0	301,1500;331,100;4,10	0	390
31	envoy_3001	31	0	301,1500;331,100;4,10	0	400
32	envoy_3001	32	0	301,1500;331,100;4,10	0	410
33	envoy_3001	33	0	301,1500;331,100;4,10	0	420
34	envoy_3001	34	0	301,1500;331,100;4,10	0	430
35	envoy_3001	35	0	301,1500;331,100;4,10	0	440
36	envoy_3001	36	0	301,1500;331,100;4,10	0	450
37	envoy_3001	37	0	301,1500;331,100;4,10	0	460
38	envoy_3001	38	0	301,1500;331,100;4,10	0	470
39	envoy_3001	39	0	301,1500;331,100;4,10	0	480
40	envoy_3001	40	0	301,1500;331,100;4,10	0	490
41	envoy_3001	41	0	301,1500;331,100;4,10	0	500
42	envoy_3001	42	0	301,1500;331,100;4,10	0	510
43	envoy_3001	43	0	301,1500;331,100;4,10	0	520
44	envoy_3001	44	0	301,1500;331,100;4,10	0	530
45	envoy_3001	45	0	301,1500;331,100;4,10	0	540
46	envoy_3001	46	0	301,1500;331,100;4,10	0	550
47	envoy_3001	47	0	301,1500;331,100;4,10	0	560
48	envoy_3001	48	0	301,1500;331,100;4,10	0	570
49	envoy_3001	49	0	301,1500;331,100;4,10	0	580
50	envoy_3001	50	0	301,1500;331,100;4,10	0	590
51	envoy_3001	51	0	301,1500;331,100;4,10	0	600
52	envoy_3001	52	0	301,1500;331,100;4,10	0	610
53	envoy_3001	53	0	301,1500;331,100;4,10	0	620
54	envoy_3001	54	0	301,1500;331,100;4,10	0	630
55	envoy_3001	55	0	301,1500;331,100;4,10	0	640
56	envoy_3001	56	0	301,1500;331,100;4,10	0	650
57	envoy_3001	57	0	301,1500;331,100;4,10	0	660
58	envoy_3001	58	0	301,1500;331,100;4,10	0	670
59	envoy_3001	59	0	301,1500;331,100;4,10	0	680
60	envoy_3001	60	0	301,3000;331,200;4,20	0	0
61	envoy_4001	1	0		0	100
62	envoy_4001	2	0	301,1500;331,100;4,10	0	110
63	envoy_4001	3	0	301,1500;331,100;4,10	0	120
64	envoy_4001	4	0	301,1500;331,100;4,10	0	130
65	envoy_4001	5	0	301,1500;331,100;4,10	0	140
66	envoy_4001	6	0	301,1500;331,100;4,10	0	150
67	envoy_4001	7	0	301,1500;331,100;4,10	0	160
68	envoy_4001	8	0	301,1500;331,100;4,10	0	170
69	envoy_4001	9	0	301,1500;331,100;4,10	0	180
70	envoy_4001	10	0	301,1500;331,100;4,10	0	190
71	envoy_4001	11	0	301,1500;331,100;4,10	0	200
72	envoy_4001	12	0	301,1500;331,100;4,10	0	210
73	envoy_4001	13	0	301,1500;331,100;4,10	0	220
74	envoy_4001	14	0	301,1500;331,100;4,10	0	230
75	envoy_4001	15	0	301,1500;331,100;4,10	0	240
76	envoy_4001	16	0	301,1500;331,100;4,10	0	250
77	envoy_4001	17	0	301,1500;331,100;4,10	0	260
78	envoy_4001	18	0	301,1500;331,100;4,10	0	270
79	envoy_4001	19	0	301,1500;331,100;4,10	0	280
80	envoy_4001	20	0	301,1500;331,100;4,10	0	290
81	envoy_4001	21	0	301,1500;331,100;4,10	0	300
82	envoy_4001	22	0	301,1500;331,100;4,10	0	310
83	envoy_4001	23	0	301,1500;331,100;4,10	0	320
84	envoy_4001	24	0	301,1500;331,100;4,10	0	330
85	envoy_4001	25	0	301,1500;331,100;4,10	0	340
86	envoy_4001	26	0	301,1500;331,100;4,10	0	350
87	envoy_4001	27	0	301,1500;331,100;4,10	0	360
88	envoy_4001	28	0	301,1500;331,100;4,10	0	370
