技能ID	技能类型	技能品质	对应道具ID	绑定道具ID	技能属性	技能Buff	Buff等级	Buff添加时机	技能名称	技能描述	技能ICON	技能评分
string	int	int	string	string	string	string	int	int	string	string	string	int
ID	SkillType	SkillRare	SkillItem	NoSellSkillItem	SkillProp	SkillBuff	SkillLevel	BuffTime	SkillName	SkillDes	SkillIcon	SkillScore
1001	1	4	item105900000008	item8105900000008	301,11000;331,450;313,150	skill122001::buff_01	1	0	buffname_skill122001_01		skill_122001	1000
1002	1	4	item105900000009	item8105900000009	301,11000;315,150;314,150	skill122002::buff_01	1	0	buffname_skill122002_01		skill_122002	1000
1003	1	4	item105900000010	item8105900000010	301,11000;312,150;303,150	skill122003::buff_01	1	0	buffname_skill122003_01		skill_122003	1000
1004	1	3	item105900000012	item8105900000012	301,7000;314,100	skill122004::buff_01	1	0	buffname_skill122004_01		skill_122004_1	500
1005	1	3	item105900000013	item8105900000013	301,7000;331,300	skill122005::buff_01	1	0	buffname_skill122005_01		skill_122005_1	500
1006	1	3	item105900000014	item8105900000014	301,7000;303,100	skill122006::buff_01	1	0	buffname_skill122006_01		skill_122006_1	500
1007	1	3	item105900000015	item8105900000015	301,7000;312,100	skill122007::buff_01	1	0	buffname_skill122007_01		skill_122007_1	500
1008	1	3	item105900000016	item8105900000016	301,7000;313,100	skill122008::buff_01	1	0	buffname_skill122008_01		skill_122008_1	500
1009	1	3	item105900000017	item8105900000017	301,7000;313,100	skill122009::buff_01	1	0	buffname_skill122009_01		skill_122009_1	500
1010	1	3	item105900000018	item8105900000018	301,7000;315,100	skill122010::buff_01	1	0	buffname_skill122010_01		skill_122010_1	500
1011	1	3	item105900000019	item8105900000019	301,7000;312,100	skill122011::buff_01	1	0	buffname_skill122011_01		skill_122011_1	500
1012	1	2	item105900000020	item8105900000020	301,4000	skill122012::buff_01	1	0	buffname_skill122012_01		skill_122004_2	200
1013	1	2	item105900000021	item8105900000021	301,4000	skill122013::buff_01	1	0	buffname_skill122013_01		skill_122005_2	200
1014	1	2	item105900000022	item8105900000022	301,4000	skill122014::buff_01	1	0	buffname_skill122014_01		skill_122006_2	200
1015	1	2	item105900000023		301,4000	skill122015::buff_01	1	0	buffname_skill122015_01		skill_122007_2	200
1016	1	2	item105900000024		301,4000	skill122016::buff_01	1	0	buffname_skill122016_01		skill_122008_2	200
1017	1	2	item105900000025		301,4000	skill122017::buff_01	1	0	buffname_skill122017_01		skill_122009_2	200
1018	1	2	item105900000026		301,4000	skill122018::buff_01	1	0	buffname_skill122018_01		skill_122010_2	200
1019	1	2	item105900000027		301,4000	skill122019::buff_01	1	0	buffname_skill122019_01		skill_122011_2	200
1020	2	4	item105900000028		331,1500;301,7500;313,250	skill123001::buff_01	1	1	buffname_skill123001_01		skill_122012	1500
1021	2	4	item105900000029		331,1500;303,250;314,250	skill123002::buff_01	1	0	buffname_skill123002_01		skill_122013	1500
1022	2	4	item105900000030		331,1500;312,250;315,250	skill123003::buff_01	1	1	buffname_skill123003_01		skill_122014	1500
1023	2	3	item105900000031		331,1050;315,150	skill123004::buff_01	1	1	buffname_skill123004_01		skill_122015_1	750
1024	2	3	item105900000032		331,1050;303,150	skill123005::buff_01	1	1	buffname_skill123005_01		skill_122016_1	750
1025	2	3	item105900000033		331,1050;312,150	skill123006::buff_01	1	1	buffname_skill123006_01		skill_122017_1	750
1026	2	3	item105900000034		331,1050;301,4500	skill123007::buff_01	1	1	buffname_skill123007_01		skill_122018_1	750
1027	2	3	item105900000035		331,1050;313,150	skill123008::buff_01	1	1	buffname_skill123008_01		skill_122019_1	750
1028	2	3	item105900000036		331,1050;313,150	skill123009::buff_01	1	1	buffname_skill123009_01		skill_122020_1	750
1029	2	3	item105900000037		331,1050;314,150	skill123010::buff_01	1	1	buffname_skill123010_01		skill_122021_1	750
1030	2	3	item105900000038		331,1050;312,150	skill123011::buff_01	1	1	buffname_skill123011_01		skill_122022_1	750
1031	2	2	item105900000039		331,600	skill123012::buff_01	1	1	buffname_skill123012_01		skill_122015_2	300
1032	2	2	item105900000040		331,600	skill123013::buff_01	1	1	buffname_skill123013_01		skill_122016_2	300
1033	2	2	item105900000041		331,600	skill123014::buff_01	1	1	buffname_skill123014_01		skill_122017_2	300
1034	2	2	item105900000042		331,600	skill123015::buff_01	1	1	buffname_skill123015_01		skill_122018_2	300
1035	2	2	item105900000043		331,600	skill123016::buff_01	1	1	buffname_skill123016_01		skill_122019_2	300
1036	2	2	item105900000044		331,600	skill123017::buff_01	1	1	buffname_skill123017_01		skill_122020_2	300
1037	2	2	item105900000045		331,600	skill123018::buff_01	1	1	buffname_skill123018_01		skill_122021_2	300
1038	2	2	item105900000046		331,600	skill123019::buff_01	1	1	buffname_skill123019_01		skill_122022_2	300
