流水id	使者id	回想等级	属性加成	额外效果	装备槽位	负重	宝石槽位
int	string	int	string	string	int	int	int
Id	EnvoyId	RecallLevel	RecallProp	BuffId	RecallHole	DiscipleWeight	StoneHole
1	envoy_3001	10	301,7500;331,500;4,50		3	15	0
2	envoy_3001	20	301,7500;331,500;4,50;313,500		4	15	0
3	envoy_3001	30	301,7500;331,500;4,50		5	15	0
4	envoy_3001	40	301,7500;331,500;4,50;313,500		6	15	0
5	envoy_3001	50	301,7500;331,500;4,50		7	0	0
6	envoy_3001	60	301,7500;331,500;4,50;312,500		8	0	0
7	envoy_4001	10	301,7500;331,500;4,50		3	15	0
8	envoy_4001	20	301,7500;331,500;4,50;313,500		4	15	0
9	envoy_4001	30	301,7500;331,500;4,50		5	15	0
10	envoy_4001	40	301,7500;331,500;4,50;313,500		6	15	0
11	envoy_4001	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
12	envoy_4001	60	301,7500;331,500;4,50;312,500		8	0	0
13	envoy_4001	80	301,7500;331,500;4,50		0	0	0
14	envoy_4002	10	301,7500;331,500;4,50		3	15	0
15	envoy_4002	20	301,7500;331,500;4,50;313,500		4	15	0
16	envoy_4002	30	301,7500;331,500;4,50		5	15	0
17	envoy_4002	40	301,7500;331,500;4,50;313,500		6	15	0
18	envoy_4002	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
19	envoy_4002	60	301,7500;331,500;4,50;312,500		8	0	0
20	envoy_4002	80	301,7500;331,500;4,50		0	0	0
21	envoy_4003	10	301,7500;331,500;4,50		3	15	0
22	envoy_4003	20	301,7500;331,500;4,50;313,500		4	15	0
23	envoy_4003	30	301,7500;331,500;4,50		5	15	0
24	envoy_4003	40	301,7500;331,500;4,50;313,500		6	15	0
25	envoy_4003	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
26	envoy_4003	60	301,7500;331,500;4,50;312,500		8	0	0
27	envoy_4003	80	301,7500;331,500;4,50		0	0	0
28	envoy_5001	10	301,7500;331,500;4,50		3	15	0
29	envoy_5001	20	301,7500;331,500;4,50;313,500		4	15	0
30	envoy_5001	30	301,7500;331,500;4,50		5	15	0
31	envoy_5001	40	301,7500;331,500;4,50;313,500		6	15	0
32	envoy_5001	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
33	envoy_5001	60	301,7500;331,500;4,50;312,500		8	15	0
34	envoy_5001	80	301,7500;331,500;4,50		0	0	0
35	envoy_5001	100	301,7500;331,500;4,50;312,500		0	0	0
36	envoy_5001	120	301,7500;331,500;4,50		0	0	0
37	envoy_5001	140	301,7500;331,500;4,50;313,500		0	0	0
38	envoy_5001	160	301,7500;331,500;4,50		0	0	0
39	envoy_5002	10	301,7500;331,500;4,50		3	15	0
40	envoy_5002	20	301,7500;331,500;4,50;313,500		4	15	0
41	envoy_5002	30	301,7500;331,500;4,50		5	15	0
42	envoy_5002	40	301,7500;331,500;4,50;313,500		6	15	0
43	envoy_5002	50	301,7500;331,500;4,50	skill127001::buff_01	7	15	0
44	envoy_5002	60	301,7500;331,500;4,50;312,500		8	15	0
45	envoy_5002	80	301,7500;331,500;4,50		0	0	0
