流水	条数库id	随机条目数	属性库
int	int	int	int
Id	PropNumId	PropNum	PropId
1	10001	1	1001
2	10001	2	1002
3	10001	3	1002
4	10001	4	1004
5	10001	5	1007
6	10001	6	1009
7	10002	1	1001
8	10002	2	1002
9	10002	3	1002
10	10002	4	1004
11	10002	5	1007
12	10002	6	1009
13	10003	1	1001
14	10003	2	1002
15	10003	3	1002
16	10003	4	1003
17	10003	5	1007
18	10003	6	1009
19	10004	1	1001
20	10004	2	1002
21	10004	3	1002
22	10004	4	1003
23	10004	5	1007
24	10004	6	1008
25	10005	1	1001
26	10005	2	1002
27	10005	3	1002
28	10005	4	1003
29	10005	5	1006
30	10005	6	1008
31	11001	1	1001
32	11001	2	1002
33	11001	3	1002
34	11001	4	1003
35	11001	5	1007
36	11001	6	1010
37	11002	1	1001
38	11002	2	1002
39	11002	3	1002
40	11002	4	1003
41	11002	5	1006
42	11002	6	1010
43	11003	1	1001
44	11003	2	1002
45	11003	3	1002
46	11003	4	1003
47	11003	5	1006
48	11003	6	1011
49	10014	1	1001
50	10014	2	1002
51	10014	3	1002
52	10014	4	1003
53	10014	5	1007
54	10014	6	1012
55	10015	1	1001
56	10015	2	1002
57	10015	3	1002
58	10015	4	1003
59	10015	5	1006
60	10015	6	1012
61	20001	1	2001
62	20001	2	2002
63	20001	3	2004
64	20001	4	2006
65	20001	5	2008
66	20002	1	2001
67	20002	2	2002
68	20002	3	2004
69	20002	4	2006
70	20002	5	2008
71	20003	1	2001
72	20003	2	2002
73	20003	3	2003
74	20003	4	2006
75	20003	5	2008
76	20004	1	2001
77	20004	2	2002
78	20004	3	2003
79	20004	4	2006
80	20004	5	2007
81	20005	1	2001
82	20005	2	2002
83	20005	3	2003
84	20005	4	2005
85	20005	5	2007
86	30001	1	3001
87	30001	2	3002
88	10016	1	1001
89	10016	2	1002
90	10016	3	1002
91	10016	4	1003
92	10016	5	1007
93	10016	6	1013
94	10017	1	1001
95	10017	2	1002
96	10017	3	1002
97	10017	4	1003
98	10017	5	1006
99	10017	6	1013
100	11004	1	1001
101	11004	2	1002
102	11004	3	1002
103	11004	4	1003
104	11004	5	1007
105	11004	6	1014
106	11005	1	1001
107	11005	2	1002
108	11005	3	1002
109	11005	4	1003
110	11005	5	1006
111	11005	6	1014
112	11006	1	1001
113	11006	2	1002
114	11006	3	1002
115	11006	4	1003
116	11006	5	1006
117	11006	6	1015
118	10018	1	1001
119	10018	2	1002
120	10018	3	1002
121	10018	4	1003
122	10018	5	1007
123	10018	6	1016
124	10019	1	1001
125	10019	2	1002
126	10019	3	1002
127	10019	4	1003
128	10019	5	1006
129	10019	6	1016
