流水	装备部位	熔锻品阶	后缀名称	熔锻属性加成	熔锻消耗材料	熔锻消耗货币数量
int	int	int	string	string	string	string
ID	PositionID	MoltenLevel	MoltenLevelName	BonusProp	MoltenItemCost	MoltenCurrencyCost
1	1	1	MoltenName_1	1100600101	item107999900013,1;item103015110415,100;item108100103153,200;item108100102106,300	1,500000
2	1	2	MoltenName_2	1100600102	item107999900013,2;item103015110415,200;item108100103153,400;item108100102106,600	1,1000000
3	1	3	MoltenName_3	1100600103	item107999900013,3;item103015110415,320;item108100103153,640;item108100102106,960	1,3000000
4	2	1	MoltenName_1	1100600201	item107999900013,1;item103015110416,30;item108100103053,60;item108100101206,120	1,500000
5	2	2	MoltenName_2	1100600202	item107999900013,2;item103015110416,60;item108100103053,120;item108100101206,240	1,1000000
6	2	3	MoltenName_3	1100600203	item107999900013,3;item103015110416,100;item108100103053,200;item108100101206,400	1,3000000
7	3	1	MoltenName_1	1100600301	item107999900013,1;item103015110415,25;item108100103153,50;item108100102106,100	1,500000
8	3	2	MoltenName_2	1100600302	item107999900013,2;item103015110415,50;item108100103153,100;item108100102106,200	1,1000000
9	3	3	MoltenName_3	1100600303	item107999900013,3;item103015110415,80;item108100103153,160;item108100102106,320	1,3000000
10	4	1	MoltenName_1	1100600401	item107999900013,1;item103015110416,60;item108100103053,120;item108100101206,240	1,500000
11	4	2	MoltenName_2	1100600402	item107999900013,2;item103015110416,120;item108100103053,240;item108100101206,480	1,1000000
12	4	3	MoltenName_3	1100600403	item107999900013,3;item103015110416,100;item108100103053,400;item108100101206,800	1,3000000
13	5	1	MoltenName_1	1100600501	item107999900013,1;item103015110416,60;item108100103053,120;item108100101206,240	1,500000
14	5	2	MoltenName_2	1100600502	item107999900013,2;item103015110416,120;item108100103053,240;item108100101206,480	1,1000000
15	5	3	MoltenName_3	1100600503	item107999900013,3;item103015110416,200;item108100103053,400;item108100101206,800	1,3000000
16	6	1	MoltenName_1	1100600601	item107999900013,1;item103015110416,5;item108100103053,10;item108100101206,15	1,500000
17	6	2	MoltenName_2	1100600602	item107999900013,2;item103015110416,10;item108100103053,20;item108100101206,30	1,1000000
18	6	3	MoltenName_3	1100600603	item107999900013,3;item103015110416,16;item108100103053,32;item108100101206,48	1,3000000
19	7	1	MoltenName_1	1100600701	item107999900013,1;item103015110305,20;item108100103253,40;item108100102206,80	1,500000
20	7	2	MoltenName_2	1100600702	item107999900013,2;item103015110305,40;item108100103253,80;item108100102206,160	1,1000000
21	7	3	MoltenName_3	1100600703	item107999900013,3;item103015110305,64;item108100103253,128;item108100102206,256	1,3000000
22	8	1	MoltenName_1	1100600801	item107999900013,1;item103015110305,20;item108100103253,40;item108100102206,80	1,500000
23	8	2	MoltenName_2	1100600802	item107999900013,2;item103015110305,40;item108100103253,80;item108100102206,160	1,1000000
24	8	3	MoltenName_3	1100600803	item107999900013,3;item103015110305,64;item108100103253,128;item108100102206,256	1,3000000
25	9	1	MoltenName_1	1100600901	item107999900013,1;item103015110305,20;item108100103253,40;item108100102206,80	1,500000
26	9	2	MoltenName_2	1100600902	item107999900013,2;item103015110305,40;item108100103253,80;item108100102206,160	1,1000000
27	9	3	MoltenName_3	1100600903	item107999900013,3;item103015110305,64;item108100103253,128;item108100102206,256	1,3000000
28	10	1	MoltenName_1	1100601001	item107999900013,1;item103015110305,20;item108100103253,40;item108100102206,80	1,500000
29	10	2	MoltenName_2	1100601002	item107999900013,2;item103015110305,40;item108100103253,80;item108100102206,160	1,1000000
30	10	3	MoltenName_3	1100601003	item107999900013,3;item103015110305,64;item108100103253,128;item108100102206,256	1,3000000
