唯一ID	奖励类型	剩余数量
int	int	int
OnlyId	ItemType	Surplus
101001	1	1
101002	2	20
101003	2	2
101004	3	100
101005	3	50
101006	3	100
101007	3	100
101008	3	150
102001	1	1
102002	2	15
102003	2	5
102004	3	70
102005	3	70
102006	3	70
102007	3	30
102008	3	70
103001	1	1
103002	2	1
103003	2	1
103004	3	100
103005	3	50
103006	3	100
103007	3	100
103008	3	50
104001	1	1
104002	2	1
104003	2	1
104004	3	100
104005	3	100
104006	3	100
104007	3	100
104008	3	100
107001	1	1
107002	2	1
107003	2	1
107004	3	100
107005	3	100
107006	3	100
107007	3	100
107008	3	100
105001	1	1
105002	2	1
105003	2	1
105004	3	50
105005	3	50
105006	3	50
105007	3	200
105008	3	200
106001	1	1
106002	2	1
106003	2	1
106004	3	60
106005	3	5
106006	3	10
106007	3	200
106008	3	200
108001	1	1
108002	2	1
108003	2	1
108004	2	3
108005	2	1
108006	3	90
108007	3	90
108008	3	30
108009	3	30
108010	3	30
108011	3	23
109001	1	1
109002	2	2
109003	2	1
109004	2	1
109005	3	90
109006	3	90
109007	3	30
109008	3	30
109009	3	30
109010	3	25
110001	1	1
110002	2	1
110003	2	1
110004	2	3
110005	2	1
110006	3	130
110007	3	130
110008	3	40
110009	3	40
110010	3	15
110011	3	38
111001	1	1
111002	2	1
111003	2	2
111004	2	5
111005	3	100
111006	3	100
111007	3	70
111008	3	70
111009	3	75
111010	3	76
112001	1	9999
112002	2	9999
112003	3	9999
112004	3	9999
112005	3	9999
112006	3	9999
112007	3	9999
112008	3	9999
113001	1	1
113002	2	1
113003	2	1
113004	3	4
113005	3	4
113006	3	4
113007	3	4
113008	3	9
114001	1	1
114002	2	1
114003	2	2
114004	2	1
114005	2	1
114006	3	24
114007	3	120
114008	3	50
114009	3	50
114010	3	50
115001	1	1
115002	2	1
115003	2	1
115004	2	2
115005	2	1
115006	2	2
115007	3	120
115008	3	20
115009	3	40
115010	3	40
115011	3	40
115012	3	32
116001	1	1
116002	2	1
116003	2	1
116004	2	2
116005	2	1
116006	3	1
116007	3	150
116008	3	80
116009	3	83
116010	3	80
117001	1	1
117002	2	1
117003	2	1
117004	2	2
117005	2	1
117006	3	150
117007	3	65
117008	3	65
117009	3	60
117010	3	54
118001	1	9999
118002	2	9999
118003	3	9999
118004	3	9999
118005	3	9999
118006	3	9999
118007	3	9999
118008	3	9999
119001	1	1
119002	2	1
119003	2	1
119004	2	2
119005	2	10
119006	2	10
119007	3	20
119008	3	75
119009	3	75
119010	3	30
119011	3	75
120001	1	99999
120002	2	99999
120003	3	99999
120004	3	99999
120005	3	99999
120006	3	99999
120007	3	99999
120008	3	99999
121001	1	1
121002	2	2
121003	2	1
121004	2	5
121005	2	20
121006	2	6
121007	3	110
121008	3	110
121009	3	110
121010	3	25
121011	3	110
122001	1	1
122002	2	2
122003	2	1
122004	2	3
122005	2	5
122006	2	13
122007	3	110
122008	3	120
122009	3	110
122010	3	25
122011	3	110
123001	1	1
123002	2	1
123003	2	2
123004	2	1
123005	2	10
123006	3	60
123007	3	60
123008	3	55
123009	3	55
123010	3	55
124001	1	1
124002	2	5
124003	2	1
124004	2	10
124005	3	70
124006	3	60
124007	3	70
124008	3	60
124009	3	60
125001	1	1
125002	2	1
125003	2	1
125004	2	2
125005	2	15
125006	2	15
125007	3	25
125008	3	90
125009	3	95
125010	3	40
125011	3	95
126001	1	1
126002	2	5
126003	2	2
126004	2	10
126005	3	90
126006	3	30
126007	3	70
126008	3	70
126009	3	70
127001	1	1
127002	2	5
127003	2	1
127004	2	1
127005	3	100
127006	3	10
127007	3	50
127008	3	100
127009	3	10
127010	3	100
127011	3	50
128001	1	2
128002	2	5
128003	3	30
128004	3	100
128005	3	200
128006	3	20
128007	3	200
128008	3	20
128009	3	10
128010	3	100
129001	1	1
129002	2	5
129003	2	2
129004	2	10
129005	3	90
129006	3	30
129007	3	70
129008	3	70
129009	3	70
130001	1	1
130002	2	1
130003	2	1
130004	2	10
130005	2	10
130006	3	110
130007	3	110
130008	3	100
130009	3	102
131001	1	1
131002	2	1
131003	2	1
131004	2	3
131005	2	5
131006	2	10
131007	3	100
131008	3	100
131009	3	100
131010	3	15
131011	3	100
132001	1	1
132002	2	5
132003	2	10
132004	2	1
132005	2	50
132006	2	100
132007	2	10
132008	3	100
132009	3	100
132010	3	50
132011	3	100
133001	1	7
133002	2	150
133003	2	50
133004	3	100
133005	3	500
133006	3	4103
133007	1	1
133008	2	1
133009	2	1
133010	2	10
133011	2	10
133012	3	100
133013	3	100
133014	3	90
133015	3	87
133016	1	1
133017	2	1
133018	2	1
133019	2	3
133020	2	5
133021	2	10
133022	3	100
133023	3	90
133024	3	90
133025	3	9
133026	3	90
133027	1	1
133028	2	5
133029	2	10
133030	2	1
133031	2	50
133032	2	90
133033	2	10
133034	3	90
133035	3	90
133036	3	50
133037	3	93
133038	1	7
133039	2	150
133040	2	50
133041	3	100
133042	3	500
133043	3	4003
133044	1	1
133045	2	5
133046	2	2
133047	2	10
133048	3	90
133049	3	30
133050	3	70
133051	3	70
133052	3	70
133053	1	1
133054	2	1
133055	2	1
133056	2	2
133057	2	15
133058	3	25
133059	3	2
133060	3	90
133061	3	100
133062	3	43
133063	3	100
133064	1	3
133065	2	3
133066	2	2
133067	2	20
133068	3	999
133069	3	999
133070	3	9999
133071	3	9999
133072	3	9999
133073	1	1
133074	2	1
133075	2	1
133076	2	1
133077	3	1
133078	3	20
133079	3	20
133080	3	20
133081	3	20
133082	1	1
133083	2	1
133084	2	1
133085	2	1
133086	3	30
133087	3	30
133088	3	30
133089	3	30
133090	3	30
133091	1	1
133092	2	1
133093	2	1
133094	2	1
133095	2	3
133096	3	3
133097	3	60
133098	3	60
133099	3	60
133100	1	1
133101	2	1
133102	2	1
133103	2	3
133104	2	3
133105	3	3
133106	3	80
133107	3	80
133108	3	80
133109	1	5
133110	2	9999
133111	3	9999
133112	3	9999
133113	3	9999
133114	3	9999
133115	3	9999
133116	3	9999
133117	1	1
133118	2	1
133119	2	5
133120	2	5
133121	3	10
133122	3	20
133123	3	30
133124	3	40
133125	3	98
133126	1	1
133127	1	1
133128	1	1
133129	1	1
133130	1	1
133131	2	15
133132	2	2
133133	2	5
133134	2	30
133135	3	10
133136	3	25
133137	3	50
133138	3	50
133139	3	200
133140	3	608
133141	1	1
133142	2	1
133143	2	1
133144	2	10
133145	2	10
133146	3	100
