NPC编号	对象类型	名称	头像	描述	精灵品质	动作集	模型编号	魔灵蛋裂开模型	圆柱高度	圆柱半径	UI界面模型倍数	UI界面模型位置	UI界面模型角度	场景模型倍数	属性值ID	常驻美术特效	奔跑音效	重生魔灵	原型魔灵	孵化时间	升级每点经验价格	可骑乘人数	骑乘动作集	骑乘玩家名字偏移	AI信息	交互培养经验	动作ID	种族编号	续费途径	家园战宠停留时间	家园战宠移动数组	进阶组
string	string	string	string	string	int	int	string	string	float	float	float	string	float	float	string	string	string	string	string	int	int	int	string	string	string	int	string	int	string	int	string	int
Id	Script	Name	Icon	Des	FairyRare	ActionSet	Avatar	BreakAvatar	CollideHeight	CollideRadius	AvatarZoom	AvatarLocation	AvatarAngle	SceneAvatarZoom	PropValueId	PermanentEffect	Footstep	RebornId	OrginalId	BroodingTime	LevelUpCostBase	RideNum	RideActionSet	NamePosition	AIInfo	FeedingExp	ActionId	TribeId	GainWay	HomeLandStayTime	HomeLandMoveArray	AdvGroupID
egg_001	EggPetNpc	name_egg_001	g701_portrait03	Des_egg_001	1	20	g701|body|g701_body_t021	g701|body|g701_body_t022;g701|body|g701_body_t023	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					600	0	0	27		PetNpc,1,11	0	0	0		0		0
egg_002	EggPetNpc	name_egg_002	g701_portrait04	Des_egg_002	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_003	EggPetNpc	name_egg_003	g701_portrait04	Des_egg_003	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_004	EggPetNpc	name_egg_004	g701_portrait05	Des_egg_004	4	20	g701|body|g701_body_t041	g701|body|g701_body_t042;g701|body|g701_body_t043	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					14400	0	0	27		PetNpc,1,11	0		0		0		0
egg_1001	EggPetNpc	name_egg_1001	g701_portrait03	Des_egg_1001	1	20	g701|body|g701_body_t021	g701|body|g701_body_t022;g701|body|g701_body_t023	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1002	EggPetNpc	name_egg_1002	g701_portrait03	Des_egg_1002	1	20	g701|body|g701_body_t021	g701|body|g701_body_t022;g701|body|g701_body_t023	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1003	EggPetNpc	name_egg_1003	g701_portrait03	Des_egg_1003	1	20	g701|body|g701_body_t021	g701|body|g701_body_t022;g701|body|g701_body_t023	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1004	EggPetNpc	name_egg_1004	g701_portrait02	Des_egg_1004	3	20	g701|body|g701_body_t011	g701|body|g701_body_t012;g701|body|g701_body_t013	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					3600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1005	EggPetNpc	name_egg_1005	g701_portrait02	Des_egg_1005	3	20	g701|body|g701_body_t011	g701|body|g701_body_t012;g701|body|g701_body_t013	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					3600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1006	EggPetNpc	name_egg_1006	g701_portrait04	Des_egg_1006	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_1007	EggPetNpc	name_egg_1007	g701_portrait04	Des_egg_1007	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_1008	EggPetNpc	name_egg_1008	g701_portrait04	Des_egg_1008	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_1009	EggPetNpc	name_egg_1009	g701_portrait04	Des_egg_1009	2	20	g701|body|g701_body_t031	g701|body|g701_body_t032;g701|body|g701_body_t033	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					1800	0	0	27		PetNpc,1,11	0		0		0		0
egg_1010	EggPetNpc	name_egg_1010	g701_portrait02	Des_egg_1010	3	20	g701|body|g701_body_t011	g701|body|g701_body_t012;g701|body|g701_body_t013	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					3600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1011	EggPetNpc	name_egg_1011	g701_portrait02	Des_egg_1011	3	20	g701|body|g701_body_t011	g701|body|g701_body_t012;g701|body|g701_body_t013	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					3600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1012	EggPetNpc	name_egg_1012	g701_portrait02	Des_egg_1012	3	20	g701|body|g701_body_t011	g701|body|g701_body_t012;g701|body|g701_body_t013	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					3600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1013	EggPetNpc	name_egg_1013	g701_portrait05	Des_egg_1013	4	20	g701|body|g701_body_t041	g701|body|g701_body_t042;g701|body|g701_body_t043	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					14400	0	0	27		PetNpc,1,11	0		0		0		0
egg_1014	EggPetNpc	name_egg_1014	g701_portrait05	Des_egg_1014	4	20	g701|body|g701_body_t041	g701|body|g701_body_t042;g701|body|g701_body_t043	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					14400	0	0	27		PetNpc,1,11	0		0		0		0
egg_1015	EggPetNpc	name_egg_1015	g701_portrait03	Des_egg_1015	1	20	g701|body|g701_body_t021	g701|body|g701_body_t022;g701|body|g701_body_t023	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					600	0	0	27		PetNpc,1,11	0		0		0		0
egg_1016	EggPetNpc	name_egg_1016	g701_portrait05	Des_egg_1016	4	20	g701|body|g701_body_t041	g701|body|g701_body_t042;g701|body|g701_body_t043	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					14400	0	0	27		PetNpc,1,11	0		0		0		0
egg_1017	EggPetNpc	name_egg_1017	g701_portrait05	Des_egg_1017	4	20	g701|body|g701_body_t041	g701|body|g701_body_t042;g701|body|g701_body_t043	1.500000	0.500000	2.000000	0;0.3;0	0.000000	2.000000	900000000					14400	0	0	27		PetNpc,1,11	0		0		0		0
