副本id	副本类型	任务条件	显示最大值	评级标准	进度条表现方式	掉落库id
int	int	string	int	string	int	string
Id	Type	Condition	MaxValue	Standard	Direction	DropBox
1372	1	monster37000699	80	30;50;80	0	26516;26511;26506
1373	1	monster37000700	100	30;60;100	0	26517;26512;26507
1374	1	monster37000701	120	40;80;120	0	26518;26513;26508
1375	1	monster37000702,monster37000705	120	50;80;120	0	26519;26514;26509
1376	1	monster37000703,monster37000704,monster37000705	120	50;80;120	0	26520;26515;26510
1377	2	monster37000706	10000	0;5000;8000	1	26516;26511;26506
1378	2	monster37000707	10000	0;5000;8000	1	26518;26513;26508
1379	2	monster37000708	10000	0;5000;8000	1	26519;26514;26509
1380	2	monster37000709	10000	0;5000;8000	1	26520;26515;26510
1382	3	npc_fairycastlemachine	5	1;3;5	0	26519;26514;26509
1383	3	npc_fairycastlemachine	5	1;3;5	0	26520;26515;26510
1387	4	monster37000740	10	3;6;10	1	26518;26513;26508
1388	4	monster37000741	10	3;6;10	1	26519;26514;26509
1389	4	monster37000742	10	3;6;10	1	26520;26515;26510
