流水	难度等级	赛季ID	难度名称	生效的神授之石	需要装备的神授之石	需要的地轨和天星数量	需要通关前置难度等级	开放的技能类型和品质	初始复活次数	地图库ID	最大层数	地图背景	初始星光能量	总列数
int	int	int	string	int	int	string	int	string	int	int	int	string	int	int
ID	Diffculty	SeasonId	Name	ContractLevel	NeedStone	NeedSuit	TitleLevel	SkillType	Revive	MapBox	MaxFloor	BGPic	StarPower	RowNum
1	1	1	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
2	2	1	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
3	3	1	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
4	4	1	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
5	5	1	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
6	1	2	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
7	2	2	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
8	3	2	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
9	4	2	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
10	5	2	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
11	1	3	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
12	2	3	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
13	3	3	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
14	4	3	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
15	5	3	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
16	1	4	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
17	2	4	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
18	3	4	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
19	4	4	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
20	5	4	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
21	1	5	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
22	2	5	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
23	3	5	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
24	4	5	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
25	5	5	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
26	1	6	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
27	2	6	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
28	3	6	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
29	4	6	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
30	5	6	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
31	1	7	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
32	2	7	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
33	3	7	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
34	4	7	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
35	5	7	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
36	1	8	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
37	2	8	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
38	3	8	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
39	4	8	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
40	5	8	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
41	1	9	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
42	2	9	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
43	3	9	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
44	4	9	diffculty4	140	0	1,0	3	1,5;2,5;3,4;4,4	3	2101	5	bj_picture05	1200	54
45	5	9	diffculty5	120	0	1,1	4	1,5;2,5;3,5;4,5	2	2102	5	bj_picture01	1200	54
46	1	10	diffculty1	204	0	0,0	0	1,3;2,2	1	1101	1	bj_picture04	1200	10
47	2	10	diffculty2	180	1	0,0	1	1,4;2,3;3,4;4,3	2	1102	2	bj_picture03	1200	21
48	3	10	diffculty3	160	4	0,0	2	1,4;2,4;3,4;4,4	3	1103	3	bj_picture02	1200	32
