道具ID	祝福ID
string	string
ItemId	AffixId
item2410000000001	101
item2410000000002	102
item2410000000003	103
item2410000000004	104
item2410000000005	105
item2410000000006	106
item2410000000007	107
item2410000000008	108
item2410000000009	109
item2410000000010	110
item2410000000011	111
item2410000000012	112
item2410000000013	113
item2410000000014	114
item2410000000015	115
item2410000000016	116
item2410000000017	117
item2410000000018	118
item2410000000019	119
item2410000000020	120
item2410000000021	121
item2410000000022	122
item2410000000023	123
item2410000000024	124
item2410000000025	125
item2410000000026	126
item2410000000027	127
item2410000000028	128
item2410000000029	129
item2410000000030	130
item2410000000031	131
item2410000000032	132
item2410000000033	133
item2410000000034	134
item2410000000035	135
item2410000000036	136
item2410000000037	137
item2410000000038	138
item2410000000039	139
item2410000000040	140
item2410000000041	141
item2410000000042	142
item2410000000043	143
item2410000000044	144
item2410000000045	145
item2410000000046	146
item2410000000047	147
item2410000000048	148
item2410000000049	149
item2410000000050	150
item2410000000051	151
item2410000000052	152
item2410000000053	153
item2410000000054	154
item2410000000055	155
item2410000000056	156
item2410000000057	157
item2410000000058	158
item2410000000059	159
item2410000000060	160
item2410000000061	161
item2420000000001	201
item2420000000002	202
item2420000000003	203
item2420000000004	204
item2420000000005	205
item2420000000006	206
item2420000000007	207
item2420000000008	208
item2420000000009	209
item2420000000010	210
item2420000000011	211
item2420000000012	212
item2420000000013	213
item2420000000014	214
item2420000000015	215
item2420000000016	216
item2420000000017	217
item2420000000018	218
item2420000000019	219
item2420000000020	220
item2420000000021	221
item2420000000022	222
item2420000000023	223
item2420000000024	224
item2420000000025	225
item2420000000026	226
item2420000000027	227
item2420000000028	228
item2420000000029	229
item2420000000030	230
item2420000000031	231
item2420000000032	232
item2420000000033	233
item2420000000034	234
item2420000000035	235
item2420000000036	236
item2420000000037	237
item2420000000038	238
item2420000000039	239
item2420000000040	240
item2420000000041	241
item2420000000042	242
item2420000000043	243
item2420000000044	244
item2420000000045	245
item2430000000001	401
item2430000000002	402
item2430000000003	403
item2430000000004	404
item2430000000005	405
item2430000000006	406
item2430000000007	407
item2440000000001	301
item2440000000002	302
item2440000000003	303
item2440000000004	304
item2440000000005	305
item2440000000006	306
item2440000000007	307
item2440000000008	308
item2440000000009	309
item2440000000010	310
item2440000000011	311
item2440000000012	312
item2440000000013	313
item2440000000014	314
item2440000000015	315
item2440000000016	316
item2440000000017	317
item2440000000018	318
item2440000000019	319
item2440000000020	320
item2440000000021	321
item2440000000022	322
item2440000000023	323
item2440000000024	324
item2440000000025	325
item2440000000026	326
item2440000000027	327
item2440000000028	328
item2460000000001	731
item2460000000002	732
item2460000000003	733
item2460000000004	734
item2460000000005	735
item2460000000006	736
item2460000000007	737
item2420000000046	246
