格子ID	地图ID	层数	格子ID	行列坐标	事件ID	古堡掉落库库ID	能选择前往的坐标点	UI界面中的坐标	事件完成后怪物buff掉落库
int	int	int	int	string	int	int	string	string	int
Id	MapId	Floor	GridID	Pos	EventId	DropId	ArrivePos	Position	BuffDropId
1	1101	1	1	1,1	910	0	2,3,4	0,0	0
2	1101	1	2	2,1	0	102	5,6	225,120	0
3	1101	1	3	2,2	0	102	7,8	285,10	0
4	1101	1	4	2,3	0	102	9	240,-130	0
5	1101	1	5	3,1	0	103	10	555,220	0
6	1101	1	6	3,2	0	103	10,11	495,115	0
7	1101	1	7	3,3	0	103	11,12	570,20	0
8	1101	1	8	3,4	0	103	12	525,-105	0
9	1101	1	9	3,5	0	103	12	563,-220	0
10	1101	1	10	4,1	0	104	13	803,150	0
11	1101	1	11	4,2	0	104	13,14	840,-30	0
12	1101	1	12	4,3	0	104	14,15,16	818,-160	0
13	1101	1	13	5,1	0	105	17	1035,210	801
14	1101	1	14	5,2	0	105	17	1110,50	801
15	1101	1	15	5,3	0	105	17,18	1088,-110	801
16	1101	1	16	5,4	0	105	18	1170,-215	801
17	1101	1	17	6,1	0	106	19,20,21	1365,90	0
18	1101	1	18	6,2	0	106	22,23	1320,-60	0
19	1101	1	19	7,1	0	107	24,25	1575,210	0
20	1101	1	20	7,2	0	107	25,26	1650,75	0
21	1101	1	21	7,3	0	107	26,27	1605,-20	0
22	1101	1	22	7,4	0	107	27	1560,-130	0
23	1101	1	23	7,5	0	107	27	1635,-217	0
24	1101	1	24	8,1	0	108	28	1920,160	0
25	1101	1	25	8,2	0	108	28,29	1890,30	0
26	1101	1	26	8,3	0	108	29,30	1905,-80	0
27	1101	1	27	8,4	0	108	30	1935,-170	0
28	1101	1	28	9,1	0	109	31	2183,100	0
29	1101	1	29	9,2	0	109	31	2220,0	0
30	1101	1	30	9,3	0	109	31	2168,-100	0
31	1101	1	31	10,1	810	0		2430,0	0
32	1102	1	1	1,1	910	0	2,3,4	0,0	0
33	1102	1	2	2,1	0	112	5,6,7	225,120	0
34	1102	1	3	2,2	0	112	7,8	285,10	0
35	1102	1	4	2,3	0	112	9	240,-130	0
36	1102	1	5	3,1	0	113	10	555,220	0
37	1102	1	6	3,2	0	113	10	495,115	0
38	1102	1	7	3,3	0	113	11	570,20	0
39	1102	1	8	3,4	0	113	11	525,-105	0
40	1102	1	9	3,5	0	113	12	563,-220	0
41	1102	1	10	4,1	0	114	13	803,150	0
42	1102	1	11	4,2	0	114	14	840,-30	0
43	1102	1	12	4,3	0	114	15,16	818,-160	0
44	1102	1	13	5,1	0	115	17	1035,210	801
45	1102	1	14	5,2	0	115	17	1110,50	801
46	1102	1	15	5,3	0	115	17	1088,-110	801
47	1102	1	16	5,4	0	115	18	1170,-215	801
48	1102	1	17	6,1	0	116	19,20	1365,90	0
49	1102	1	18	6,2	0	116	21,22,23	1320,-60	0
50	1102	1	19	7,1	0	117	24	1575,210	0
51	1102	1	20	7,2	0	117	25	1650,75	0
52	1102	1	21	7,3	0	117	25	1605,-20	0
53	1102	1	22	7,4	0	117	26	1560,-130	0
54	1102	1	23	7,5	0	117	27	1635,-217	0
55	1102	1	24	8,1	0	118	28	1920,160	0
56	1102	1	25	8,2	0	118	29	1890,30	0
57	1102	1	26	8,3	0	118	29	1905,-80	0
58	1102	1	27	8,4	0	118	29,30	1935,-170	0
59	1102	1	28	9,1	0	119	31	2183,100	0
60	1102	1	29	9,2	0	119	31	2220,0	0
61	1102	1	30	9,3	0	119	31	2168,-100	0
62	1102	1	31	10,1	0	1110	32	2430,0	801
63	1102	1	32	11,1	1000	0		2700,0	0
64	1102	2	1	1,1	910	0	2,3,4	0,0	0
65	1102	2	2	2,1	0	212	5,6,7	225,120	0
66	1102	2	3	2,2	0	212	7,8	285,10	0
67	1102	2	4	2,3	0	212	9	240,-130	0
68	1102	2	5	3,1	0	213	10	555,220	0
69	1102	2	6	3,2	0	213	10	495,115	0
70	1102	2	7	3,3	0	213	11	570,20	0
71	1102	2	8	3,4	0	213	11	525,-105	0
72	1102	2	9	3,5	0	213	12	563,-220	0
73	1102	2	10	4,1	0	214	13	803,150	0
74	1102	2	11	4,2	0	214	14	840,-30	0
75	1102	2	12	4,3	0	214	15,16	818,-160	0
76	1102	2	13	5,1	0	215	17	1035,210	800
77	1102	2	14	5,2	0	215	17	1110,50	800
78	1102	2	15	5,3	0	215	17	1088,-110	800
79	1102	2	16	5,4	0	215	18	1170,-215	800
80	1102	2	17	6,1	0	216	19,20	1365,90	0
81	1102	2	18	6,2	0	216	21,22,23	1320,-60	0
82	1102	2	19	7,1	0	217	24	1575,210	0
83	1102	2	20	7,2	0	217	25	1650,75	0
84	1102	2	21	7,3	0	217	25	1605,-20	0
85	1102	2	22	7,4	0	217	26	1560,-130	0
86	1102	2	23	7,5	0	217	27	1635,-217	0
87	1102	2	24	8,1	0	218	28	1920,160	0
88	1102	2	25	8,2	0	218	29	1890,30	0
89	1102	2	26	8,3	0	218	29	1905,-80	0
90	1102	2	27	8,4	0	218	29,30	1935,-170	0
91	1102	2	28	9,1	0	219	31	2183,100	0
92	1102	2	29	9,2	0	219	31	2220,0	0
93	1102	2	30	9,3	0	219	31	2168,-100	0
94	1102	2	31	10,1	820	0		2430,0	0
95	1103	1	1	1,1	910	0	2,3,4	0,0	0
96	1103	1	2	2,1	0	122	5,6	225,120	0
97	1103	1	3	2,2	0	122	7	285,10	0
98	1103	1	4	2,3	0	122	7,8,9	240,-130	0
99	1103	1	5	3,1	0	123	10	555,220	0
100	1103	1	6	3,2	0	123	10	495,115	0
101	1103	1	7	3,3	0	123	10,11,12	570,20	0
102	1103	1	8	3,4	0	123	12	525,-105	0
103	1103	1	9	3,5	0	123	12	563,-220	0
104	1103	1	10	4,1	0	124	13,14	803,150	0
105	1103	1	11	4,2	0	124	14,15	840,-30	0
106	1103	1	12	4,3	0	124	15,16	818,-160	0
107	1103	1	13	5,1	0	125	17	1035,210	801
108	1103	1	14	5,2	0	125	17	1110,50	801
109	1103	1	15	5,3	0	125	18	1088,-110	801
110	1103	1	16	5,4	0	125	18	1170,-215	801
111	1103	1	17	6,1	0	126	19,20,21	1365,90	0
112	1103	1	18	6,2	0	126	21,22,23	1320,-60	0
113	1103	1	19	7,1	0	127	24,25	1575,210	0
114	1103	1	20	7,2	0	127	25	1650,75	0
115	1103	1	21	7,3	0	127	25	1605,-20	0
116	1103	1	22	7,4	0	127	25	1560,-130	0
117	1103	1	23	7,5	0	127	25,26,27	1635,-217	0
118	1103	1	24	8,1	0	128	28,29	1920,160	0
119	1103	1	25	8,2	0	128	29	1890,30	0
120	1103	1	26	8,3	0	128	30	1905,-80	0
121	1103	1	27	8,4	0	128	30	1935,-170	0
122	1103	1	28	9,1	0	129	31	2183,100	0
123	1103	1	29	9,2	0	129	31	2220,0	0
124	1103	1	30	9,3	0	129	31	2168,-100	0
125	1103	1	31	10,1	0	1110	32	2430,0	801
126	1103	1	32	11,1	1000	0		2700,0	0
127	1103	2	1	1,1	910	0	2,3,4	0,0	0
128	1103	2	2	2,1	0	222	5,6	225,120	0
129	1103	2	3	2,2	0	222	7	285,10	0
130	1103	2	4	2,3	0	222	7,8,9	240,-130	0
131	1103	2	5	3,1	0	223	10	555,220	0
132	1103	2	6	3,2	0	223	10	495,115	0
133	1103	2	7	3,3	0	223	10,11,12	570,20	0
134	1103	2	8	3,4	0	223	12	525,-105	0
135	1103	2	9	3,5	0	223	12	563,-220	0
136	1103	2	10	4,1	0	224	13,14	803,150	0
137	1103	2	11	4,2	0	224	14,15	840,-30	0
138	1103	2	12	4,3	0	224	15,16	818,-160	0
139	1103	2	13	5,1	0	225	17	1035,210	800
140	1103	2	14	5,2	0	225	17	1110,50	800
141	1103	2	15	5,3	0	225	18	1088,-110	800
142	1103	2	16	5,4	0	225	18	1170,-215	800
143	1103	2	17	6,1	0	226	19,20,21	1365,90	0
144	1103	2	18	6,2	0	226	21,22,23	1320,-60	0
145	1103	2	19	7,1	0	227	24,25	1575,210	0
146	1103	2	20	7,2	0	227	25	1650,75	0
147	1103	2	21	7,3	0	227	25	1605,-20	0
148	1103	2	22	7,4	0	227	25	1560,-130	0
149	1103	2	23	7,5	0	227	25,26,27	1635,-217	0
150	1103	2	24	8,1	0	228	28,29	1920,160	0
151	1103	2	25	8,2	0	228	29	1890,30	0
152	1103	2	26	8,3	0	228	30	1905,-80	0
153	1103	2	27	8,4	0	228	30	1935,-170	0
154	1103	2	28	9,1	0	229	31	2183,100	0
155	1103	2	29	9,2	0	229	31	2220,0	0
156	1103	2	30	9,3	0	229	31	2168,-100	0
157	1103	2	31	10,1	0	1120	32	2430,0	800
158	1103	2	32	11,1	1000	0		2700,0	0
159	1103	3	1	1,1	910	0	2,3,4	0,0	0
160	1103	3	2	2,1	0	322	5,6	225,120	0
