赛季ID	开始时间	结束时间
int	string	string
ID	StartDate	EndDate
1	2022-04-08-00:00:00	2022-07-01-23:59:59
2	2022-07-02-00:00:00	2022-09-30-04:59:59
3	2022-09-30-05:00:00	2022-12-30-04:59:59
4	2022-12-30-05:00:00	2023-02-28-04:59:59
5	2023-02-28-05:00:00	2023-04-30-04:59:59
6	2023-04-30-05:00:00	2023-08-01-04:59:59
7	2023-08-01-05:00:00	2023-11-01-04:59:59
8	2023-11-01-05:00:00	2024-02-01-04:59:59
9	2024-02-01-05:00:00	2024-05-01-04:59:59
10	2024-05-01-05:00:00	2024-08-01-04:59:59
11	2024-08-01-05:00:00	2024-11-01-04:59:59
12	2024-11-01-05:00:00	2025-02-01-04:59:59
13	2025-02-01-05:00:00	2025-05-01-04:59:59
14	2025-05-01-05:00:00	2025-08-01-04:59:59
15	2025-08-01-05:00:00	2025-11-01-04:59:59
16	2025-11-01-05:00:00	2026-02-01-04:59:59
17	2026-02-01-05:00:00	2026-05-01-04:59:59
18	2026-05-01-05:00:00	2026-08-01-04:59:59
19	2026-08-01-05:00:00	2026-11-01-04:59:59
20	2026-11-01-05:00:00	2027-02-01-04:59:59
