流水	变身魔灵	模型	场景模型倍数	技能列表
int	string	string	float	string
Id	PetID	TransformAvatar	SceneAvatarZoom	SkillList
1	ride_101	r001|body|r001_body_t1	1.100000	skill90000,skill90002,skill90003
2	ride_104	r001|body|r001_body_t5	1.100000	skill90000,skill90002,skill90003
3	ride_105	r003|body|r003_body_t1	1.000000	skill90000,skill90002,skill90003
4	ride_107	r002|body|r002_body_t1	1.100000	skill90000,skill90002,skill90003
5	ride_109	r004|body|r004_body_t1	1.000000	skill90000,skill90002,skill90003
6	ride_111	r005|body|r005_body_t1	1.100000	skill90000,skill90002,skill90003
7	ride_113	r006|body|r006_body_t1	1.100000	skill90000,skill90002,skill90003
8	ride_114	r006|body|r006_body_t3	1.100000	skill90000,skill90002,skill90003
9	ride_115	r011|body|r011_body_t1	1.100000	skill90000,skill90002,skill90003
10	ride_117	r008|body|r008_body_t1	1.100000	skill90000,skill90002,skill90003
11	ride_119	r010|body|r010_body_t1	1.100000	skill90000,skill90002,skill90003
12	ride_121	p002|body|p002_body_t1	1.100000	skill90000,skill90002,skill90003
13	ride_123	r009|body|r009_body_t1	1.100000	skill90000,skill90002,skill90003
14	baby_101	m005|body|m005_body_t1	1.500000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
15	baby_105	m005|body|m005_body_t5	1.500000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
16	baby_111	m021|body|m021_body_t1	1.500000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
17	baby_115	m021|body|m021_body_t5	1.500000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
18	baby_121	m002|body|m002_body_t1	1.400000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
19	baby_125	m002|body|m002_body_t5	1.400000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
20	baby_131	m003|body|m003_body_t1	1.200000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
21	baby_134	m003|body|m003_body_t5	1.200000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
22	baby_135	p001|body|p001_body_t1	1.200000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
23	baby_136	p001|body|p001_body_t5	1.200000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
24	pet_101	m001|body|m001_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
25	pet_104	m001|body|m001_body_t5	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
26	pet_111	m015|body|m015_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
27	pet_115	m015|body|m015_body_t5	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
28	pet_121	m014|body|m014_body_t1	1.400000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
29	pet_124	m014|body|m014_body_t5	1.400000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
30	pet_131	m904|body|m904_body_t1	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
31	pet_134	m904|body|m904_body_t5	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
32	pet_141	m908|body|m908_body_t1	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
33	pet_144	m908|body|m908_body_t5	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
34	pet_154	m004|body|m004_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
35	pet_155	m004|body|m004_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
36	pet_156	m016|body|m016_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
37	pet_157	m016|body|m016_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
38	pet_158	m012|body|m012_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
39	pet_159	m012|body|m012_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
40	pet_160	m023|body|m023_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
41	pet_161	m023|body|m023_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
42	pet_162	m029|body|m029_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
43	pet_163	m029|body|m029_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
44	pet_164	m030|body|m030_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
45	pet_165	m030|body|m030_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
46	pet_166	m024|body|m024_body_t1|parta|m024_parta_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
47	pet_167	m024|body|m024_body_t3|parta|m024_parta_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
48	pet_168	m028|body|m028_body_t1	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
49	pet_169	m028|body|m028_body_t3	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
50	pet_170	m025|body|m025_body_t1	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
51	pet_171	m025|body|m025_body_t3	0.800000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
52	pet_172	m041|body|m041_body_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
53	pet_173	m041|body|m041_body_t3	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
54	pet_174	m042|body|m042_body_t1|parta|m042_parta_t1	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
55	pet_175	m042|body|m042_body_t3|parta|m042_parta_t2	1.100000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
56	pet_176	m905|body|m905_body_t1	0.700000	skill90000,skill90001,skill90002,skill90003,skill90004,skill90005
