时装id	英雄ID	SDKAreaType	低模长相	高模长相	类型	衣服配色	缩放比例	展示icon	激活道具	展示文本	转换性别时装id	穿戴属性	收藏属性	套装id	展示类型
string	string	string	string	string	int	string	string	string	string	string	string	string	string	int	int
Id	HeroId	SdkAreaType	Avatar	HighAvatar	FashionType	ClothColor	UniformScale	RelativeItem	ActivationItem	ShowContent	GenderFashionId	PropValueId	CollectProp	FashionSuitId	ShowType
fashion_101102	hero101		c001|weapon|c001_weapon014_t1	c001h|weapon|c001h_weapon014_t1	1			item130000001102	item130000001102,-1	FashionDes_130000001102				0	0
fashion_101103	hero101		c001|weapon|c001_weapon003_t1	c001h|weapon|c001h_weapon003_t1	1			item130000001103	item130000001103,-1	FashionDes_130000001103				0	0
fashion_101104	hero101		c001|weapon|c001_weapon002_t1	c001h|weapon|c001h_weapon002_t1	1			item130000001104	item130000001104,-1	FashionDes_130000001104				0	0
fashion_101105	hero101		c001|weapon|c001_weapon013_t1	c001h|weapon|c001h_weapon013_t1	1			item130000001105	item130000001105,-1	FashionDes_130000001105				0	0
fashion_101106	hero101		c001|weapon|c001_weapon015_t1	c001h|weapon|c001h_weapon015_t1	1			item130000001106	item130000001106,-1	FashionDes_130000001106				0	0
fashion_101107	hero101		c001|weapon|c001_weapon107_t1	c001h|weapon|c001h_weapon107_t1	1			item130000001107	item130000001107,-1	FashionDes_130000001107				0	0
fashion_101108	hero101		c001|weapon|c001_weapon108_t1	c001h|weapon|c001h_weapon108_t1	1			item130000001108	item130000001108,-1	FashionDes_130000001108				0	0
fashion_101131	hero101		c001|weapon|c001_weapon004_t1	c001h|weapon|c001h_weapon004_t1	1			item130000001131	item131000001131,2592000	FashionDes_130000001131				0	0
fashion_101151	hero101		c001|weapon|c001_weapon005_t1	c001h|weapon|c001h_weapon005_t1	1			item130000001151	item130000001151,-1;item133000701151,604800	FashionDes_130000001151		3,15	3,5;30,25	40011401	0
fashion_101152	hero101		c001|weapon|c001_weapon006_t1	c001h|weapon|c001h_weapon006_t1	1			item130000001152	item130000001152,-1	FashionDes_130000001152		3,15	3,5;30,25	40011402	0
fashion_101153	hero101		c001|weapon|c001_weapon012_t1	c001h|weapon|c001h_weapon012_t1	1			item130000001153	item130000001153,-1	FashionDes_130000001153		3,15	3,5;30,25	40011403	0
fashion_101154	hero101		c001|weapon|c001_weapon504_t1	c001h|weapon|c001h_weapon504_t1	1			item130000001154	item130000001154,-1;item132000001154,86400	FashionDes_130000001154		3,15	3,5;30,25	40011404	0
fashion_101155	hero101		c001|weapon|c001_weapon507_t1	c001h|weapon|c001h_weapon507_t1	1			item130000001155	item130000001155,-1	FashionDes_130000001155		3,15	3,5;30,25	40011406	0
fashion_101156	hero101		c001|weapon|c001_weapon508_t1	c001h|weapon|c001h_weapon508_t1	1			item130000001156	item130000001156,-1	FashionDes_130000001156		3,15	3,5;30,25	40011407	0
fashion_101158	hero101		c001|weapon|c001_weapon506_t1	c001h|weapon|c001h_weapon506_t1	1			item130000001158	item130000001158,-1;item133000001158,259200	FashionDes_130000001158		3,15	3,5;30,25	40011408	0
fashion_101159	hero101		c001|weapon|c001_weapon509_t1	c001h|weapon|c001h_weapon509_t1	1			item130000001159	item130000001159,-1	FashionDes_130000001159		3,15	3,5;30,25	40011409	0
fashion_101171	hero101		c001|weapon|c001_weapon007_t1	c001h|weapon|c001h_weapon007_t1	1			item130000001171	item130000001171,-1;item132000001171,432000;item132000701171,604800	FashionDes_130000001171		3,5	3,2	0	0
fashion_101172	hero101		c001|weapon|c001_weapon008_t1	c001h|weapon|c001h_weapon008_t1	1			item130000001172	item130000001172,-1	FashionDes_130000001172		3,5	3,2	0	0
fashion_101173	hero101		c001|weapon|c001_weapon009_t1	c001h|weapon|c001h_weapon009_t1	1			item130000001173	item130000001173,-1	FashionDes_130000001173		3,5	3,2	0	0
fashion_101174	hero101		c001|weapon|c001_weapon010_t1	c001h|weapon|c001h_weapon010_t1	1			item130000001174	item130000001174,-1	FashionDes_130000001174		3,5	3,2	0	0
fashion_101175	hero101		c001|weapon|c001_weapon011_t1	c001h|weapon|c001h_weapon011_t1	1			item130000001175	item130000001175,-1	FashionDes_130000001175		3,5	3,2	0	0
fashion_101202	hero101		c001|bottoms|c001_bottoms005_t1|clothes|c001_clothes005_t1|shoulder|c001_shoulder005_t1	c001h|bottoms|c001h_bottoms005_t1|clothes|c001h_clothes005_t1|shoulder|c001h_shoulder005_t1	2			item130000001202	item130000001202,-1	FashionDes_130000001202				0	0
