配色id	首次染色消耗货币种类	首次染色消耗货币数量	非首次染色消耗货币种类	非首次染色消耗货币数量	首次染色消耗道具	非首次染色消耗道具	长相	高模长相	颜色	解锁需要达成的成就id	展示icon	染色界面模型倍数	特殊解锁条件	特效修改颜色	高模时装特效	低模时装特效
int	int	int	int	int	string	string	string	string	string	string	string	float	string	string	string	string
Id	FirstCostType	FirstCostValue	FollowCostType	FollowCostValue	FirstCostItem	FollowCostItem	Avatar	HighAvatar	Color	AchievementId	RelativeItem	AvatarZoom	SpecialConditions	EffectColor	HighFashionEffectId	FashionEffectId
10120101	1	10000	0	0			c001|bottoms|c001_bottoms001_t1|clothes|c001_clothes001_t1|shoulder|c001_shoulder001_t1|parta|c001_parta001_t1	c001h|bottoms|c001h_bottoms001_t1|clothes|c001h_clothes001_t1|shoulder|c001h_shoulder001_t1|parta|c001h_parta001_t1	66,154,220;13,106,188		item130000001201	0.000000				
10120102	1	10000	0	0	item130010000001,7		c001|bottoms|c001_bottoms001_t2|clothes|c001_clothes001_t2|shoulder|c001_shoulder001_t2|parta|c001_parta001_t1	c001h|bottoms|c001h_bottoms001_t2|clothes|c001h_clothes001_t2|shoulder|c001h_shoulder001_t2|parta|c001h_parta001_t1	212,61,55;147,27,22		item130000011201	0.000000				
10120103	1	10000	0	0	item130010000001,7		c001|bottoms|c001_bottoms001_t3|clothes|c001_clothes001_t3|shoulder|c001_shoulder001_t3|parta|c001_parta001_t1	c001h|bottoms|c001h_bottoms001_t3|clothes|c001h_clothes001_t3|shoulder|c001h_shoulder001_t3|parta|c001h_parta001_t1	210,138,30;154,94,17		item130000021201	0.000000				
10120201	1	10000	0	0			c001|face|c001_face001_t1|head|c001_head001_t1	c001h|face|c001h_face001_t1|head|c001h_head001_t1	222,193,153;183,141,103		item130000001301	0.000000				
10120202	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head001_t2	c001h|face|c001h_face001_t1|head|c001h_head001_t2	92,77,67;57,50,45		item130000011301	0.000000				
10120203	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head001_t3	c001h|face|c001h_face001_t1|head|c001h_head001_t3	159,117,85;90,67,50		item130000021301	0.000000				
10120211	1	10000	0	0			c001|face|c001_face001_t1|head|c001_head002_t1	c001h|face|c001h_face001_t1|head|c001h_head002_t1	212,195,172;135,118,93		item130000001351	0.000000				
10120212	1	10000	0	0	item130010000001,9		c001|face|c001_face001_t1|head|c001_head002_t2	c001h|face|c001h_face001_t1|head|c001h_head002_t2	143,123,134;84,66,69		item130000011351	0.000000				
10120213	1	10000	0	0	item130010000001,9		c001|face|c001_face001_t1|head|c001_head002_t3	c001h|face|c001h_face001_t1|head|c001h_head002_t3	243,180,198;129,76,109		item130000021351	0.000000				
10120221	1	10000	0	0			c001|face|c001_face001_t1|head|c001_head006_t1	c001h|face|c001h_face001_t1|head|c001h_head006_t1	200,190,188;99,84,85		item130000001373	0.000000				
10120222	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head006_t2	c001h|face|c001h_face001_t1|head|c001h_head006_t2	235,119,112;132,51,48		item130000011373	0.000000				
10120223	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head006_t3	c001h|face|c001h_face001_t1|head|c001h_head006_t3	132,163,201;52,61,86		item130000021373	0.000000				
10120231	1	10000	0	0			c001|face|c001_face001_t1|head|c001_head004_t1	c001h|face|c001h_face001_t1|head|c001h_head004_t1	202,104,86;137,47,55		item130000001371	0.000000				
10120232	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head004_t2	c001h|face|c001h_face001_t1|head|c001h_head004_t2	118,204,223;44,95,166		item130000011371	0.000000				
10120233	1	10000	0	0	item130010000001,6		c001|face|c001_face001_t1|head|c001_head004_t3	c001h|face|c001h_face001_t1|head|c001h_head004_t3	211,178,112;141,92,50		item130000021371	0.000000				
