流水id	奖包id
int	string
Id	LotteryId
1	10101010001
2	10101010003
3	10101010005
4	10102010001
5	10102010003
6	10102010004
7	10103010001
8	10103010003
9	10103010004
10	10103010009
11	10201010001
12	10201010003
13	10201010004
14	10202010001
15	10202010003
16	10202010004
17	10203010001
18	10203010003
19	10203010009
20	10203010007
21	10301010001
22	10301010003
23	10301010005
24	10302010001
25	10302010003
26	10302010004
27	10303010001
28	10303010003
29	10303010009
30	10303010008
31	10401010003
32	10401010005
33	10401010006
34	10402010001
35	10402010003
36	10402010004
37	10403010001
38	10403010003
39	10403010009
40	10403010008
41	10501010001
42	10501010003
43	10501010006
44	10502010001
45	10502010003
46	10502010004
47	10503010001
48	10503010003
49	10503010009
50	10503010007
51	10601010002
52	10602010001
53	10602010003
54	10603010001
55	10603010003
56	10701010001
57	10701010003
58	10702010001
59	10702010003
60	10702010004
61	10703010001
62	10703010003
63	10703010009
64	10703010008
65	10801010001
66	10801010003
67	10802010001
68	10802010003
69	10802010004
70	10803010001
71	10803010003
72	10803010009
73	10803010008
74	10004010001
75	10004010002
76	10004010003
77	10004010004
