渔具道具id	渔具种类	渔具资源	可穿戴钓鱼等级	增加钓鱼幸运值
string	int	int	int	string
GearItemId	Type	GearParticleResource	EquipLevel	IncreaseLuckNum
item170000110040	1	30000012	0	4
item170000110010	1	30000009	0	0
item170000110020	1	30000010	0	1
item170000110030	1	30000011	0	2
item170000110050	1	30000009	0	7
item170000110060	1	30000014	0	9
item170000110070	1	30000056	0	10
item170000120010	2	30000013	0	0
item8170000120010	2	30000013	0	0
item170000120020	2	30000013	0	3
item130000120301	3	30000013	0	2
item170000120050	2	30000013	0	5
item170000120052	2	30000013	0	5
item8170000120051	2	30000013	0	1
item170000120053	2	30000013	0	1
item170000120058	2	30000013	0	1
item91000000882	2	30000013	0	1
item250000000000	2	30000013	0	1
item260000000001	2	30000013	0	1
item260000000002	2	30000013	0	1
item260000000003	2	30000013	0	1
item260000000004	2	30000013	0	1
item260000000005	2	30000013	0	1
item260000000006	2	30000013	0	1
item260000000007	2	30000013	0	1
item260000000008	2	30000013	0	1
item260000000009	2	30000013	0	1
item260000000010	2	30000013	0	1
item260000000011	2	30000013	0	1
item260000000012	2	30000013	0	1
item260000000025	2	30000013	0	1
item260000000026	2	30000013	0	1
item260000000027	2	30000013	0	1
item260000000028	2	30000013	0	1
item260000000029	2	30000013	0	1
item260000000030	2	30000013	0	1
item260000000031	2	30000013	0	1
item260000000032	2	30000013	0	1
item260000000033	2	30000013	0	1
item260000000034	2	30000013	0	1
item260000000035	2	30000013	0	1
item260000000036	2	30000013	0	1
item260000000101	2	30000013	0	1
item260000000102	2	30000013	0	1
item260000000103	2	30000013	0	1
item260000000104	2	30000013	0	1
item260000000105	2	30000013	0	1
item260000000106	2	30000013	0	1
item260000000107	2	30000013	0	1
item260000000108	2	30000013	0	1
item260000000109	2	30000013	0	1
item260000000110	2	30000013	0	1
item260000000111	2	30000013	0	1
item260000000112	2	30000013	0	1
item260000000801	2	30000013	0	1
item260000000802	2	30000013	0	1
item260000000803	2	30000013	0	1
item260000000804	2	30000013	0	1
item260000000805	2	30000013	0	1
item260000000806	2	30000013	0	1
item260000000807	2	30000013	0	1
item260000000808	2	30000013	0	1
item260000000809	2	30000013	0	1
item260000000810	2	30000013	0	1
item260000000811	2	30000013	0	1
item260000000812	2	30000013	0	1
item260000000901	2	30000013	0	1
item260000000902	2	30000013	0	1
item260000000903	2	30000013	0	1
item260000000904	2	30000013	0	1
item260000000905	2	30000013	0	1
item260000000906	2	30000013	0	1
item260000000907	2	30000013	0	1
item260000000908	2	30000013	0	1
item260000000909	2	30000013	0	1
item260000000910	2	30000013	0	1
item260000000911	2	30000013	0	1
item260000000912	2	30000013	0	1
