渔场id	绑定NPC	绑定钓鱼点	解锁钓鱼等级	渔场等级	钓鱼提供经验	展示获取道具	渔场名字	渔场所在地	渔场简介信息	渔场贴心提示	大地图icon信息
int	string	string	int	int	int	string	string	int	string	string	string
FishingId	FishingNpc	BindingFishingPoint	UnlockLevel	FishingGroundLevel	FishingGetExp	FishingReward	FishingName	FishingArea	FishingContent	FishingTipsContent	IconInfo
10010101	npc_mappoint_fishing_0101	npc_fishingground_010101	0	99	0	item170000106030,item170000105030,item170000103030,item170000102030,item170000101030,item170000106020,item170000105020,item170000104020,item170000103020,item170000102020,item170000101020	NpcName_mappoint_fishing_0101	1	FishingGround10010101	FGTips10010101	btn_fuben
10010102	npc_mappoint_fishing_0102	npc_fishingground_010201	0	99	0	item170000103040,item170000104040,item170000103030,item170000104030,item170000104020,item170000103020,item170000102020,item170000101020	NpcName_mappoint_fishing_0102	1	FishingGround10010102	FGTips10010102	btn_fuben
10010103	npc_mappoint_fishing_0103	npc_fishingground_010301	0	99	0	item170000101040,item170000104040,item170000104030,item170000101030,item170000104020,item170000102020,item170000101020	NpcName_mappoint_fishing_0103	1	FishingGround10010103	FGTips10010103	btn_fuben
10010201	npc_mappoint_fishing_0201	npc_fishingground_020101	10	99	0	item170000104040,item170000104030,item170000104020,item170000102020,item170000101020	NpcName_mappoint_fishing_0201	3	FishingGround10010201	FGTips10010201	btn_fuben
10010202	npc_mappoint_fishing_0202	npc_fishingground_020201	10	99	0	item170000104040,item170000102040,item170000104030,item170000102030,item170000104020,item170000102020,item170000101020	NpcName_mappoint_fishing_0202	3	FishingGround10010202	FGTips10010202	btn_fuben
10010301	npc_mappoint_fishing_0301	npc_fishingground_030101	15	99	0	item170000106040,item170000104040,item170000106030,item170000104030,item170000106020,item170000104020,item170000102020,item170000101020	NpcName_mappoint_fishing_0301	4	FishingGround10010301	FGTips10010301	btn_fuben
10010302	npc_mappoint_fishing_0302	npc_fishingground_030201	20	99	0	item170000106040,item170000105040,item170000104040,item170000103040,item170000102040,item170000101040,item170000106030,item170000105030,item170000104030,item170000103030,item170000102030,item170000101030,item170000106020,item170000105020,item170000104020,item170000103020,item170000102020,item170000101020	NpcName_mappoint_fishing_0302	4	FishingGround10010302	FGTips10010302	btn_fuben
10010303	npc_mappoint_fishing_0303	npc_fishingground_030301	20	99	0	item170000105040,item170000104040,item170000105030,item170000104030,item170000105020,item170000104020,item170000102020,item170000101020	NpcName_mappoint_fishing_0303	4	FishingGround10010303	FGTips10010303	btn_fuben
10010401	npc_mappoint_fishing_0401	npc_fishingground_040101	25	99	0	item170000108004,item170000108003,item170000108002,item170000108001,item170000104020,item170000103020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0401	5	FishingGround10010401	FGTips10010401	btn_fuben
10010402	npc_mappoint_fishing_0402	npc_fishingground_040201	25	99	0	item170000108008,item170000108004,item170000108007,item170000108002,item170000104020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0402	5	FishingGround10010402	FGTips10010402	btn_fuben
10010501	npc_mappoint_fishing_0501	npc_fishingground_050101	25	99	0	item170000108011,item170000108006,item170000108012,item170000108005,item170000104020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0501	9	FishingGround10010501	FGTips10010501	btn_fuben
10010502	npc_mappoint_fishing_0502	npc_fishingground_050201	25	99	0	item170000108008,item170000108003,item170000108007,item170000108001,item170000104020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0502	9	FishingGround10010502	FGTips10010502	btn_fuben
10010601	npc_mappoint_fishing_0601	npc_fishingground_060101	30	99	0	item170000108009,item170000108006,item170000108010,item170000108005,item170000106020,item170000104020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0601	18	FishingGround10010601	FGTips10010601	btn_fuben
10010602	npc_mappoint_fishing_0602	npc_fishingground_060201	30	99	0	item170000108011,item170000108009,item170000108012,item170000108010,item170000105020,item170000104020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0602	18	FishingGround10010602	FGTips10010602	btn_fuben
10010603	npc_mappoint_fishing_0603	npc_fishingground_060301	30	99	0	item170000108011,item170000108009,item170000108008,item170000108006,item170000108004,item170000108003,item170000108012,item170000108010,item170000108007,item170000108005,item170000108002,item170000108001,item170000106020,item170000105020,item170000104020,item170000103020,item170000107020,item170000102020,item170000101020	NpcName_mappoint_fishing_0603	18	FishingGround10010603	FGTips10010603	btn_fuben
