技能等级	所需熟练度	等级限制	幸运值	解锁道具显示
int	int	int	int	string
SkillLevel	Num	LevelLimit	LuckNum	UnlockItem
0	0	0	0	item170000101010,item170000102010,item170000103010,item170000104010,item170000105010,item170000106010,item170000101020,item170000102020,item170000103020,item170000104020,item170000105020,item170000106020,item170000101030,item170000102030,item170000103030,item170000104030,item170000105030,item170000106030,item170000101040,item170000103040,item170000104040
1	5	0	1	
2	10	0	1	
3	20	0	1	
4	35	0	1	
5	55	0	1	
6	80	0	1	
7	110	0	1	
8	145	0	1	
9	185	0	1	
10	240	0	2	item170000102040
11	305	0	2	
12	385	0	2	
13	485	0	2	
14	605	0	2	
15	745	0	2	item170000106040
16	905	0	2	
17	1105	30	2	
18	1345	30	2	
19	1625	30	2	
20	1945	30	3	item170000105040
21	2305	30	3	
22	2705	30	3	
23	3155	30	3	
24	3655	30	3	
25	4205	30	3	item170000108011,item170000108008,item170000108006,item170000108004,item170000108003,item170000108012,item170000108007,item170000108005,item170000108002,item170000108001
26	4805	30	3	
27	5455	30	3	
28	6205	30	3	
29	7055	30	3	
30	8005	30	4	item170000108009,item170000108010
31	9105	30	4	
32	10405	40	4	
33	11905	40	4	
34	13655	40	4	
35	15655	40	4	
36	17905	40	4	
37	20405	40	4	
38	23155	40	4	
39	26155	40	4	
40	29505	40	5	
41	33205	40	5	
42	37255	40	5	
43	41755	50	5	
44	46755	50	5	
45	52255	50	5	
46	58755	50	5	
47	66255	50	5	
48	76255	50	5	
49	91255	60	5	
50	111255	60	5	
51	136255	60	6	
52	166255	60	6	
53	201255	60	6	
54	241255	60	6	
55	286255	60	6	
56	336255	60	6	
57	391255	60	6	
58	451255	60	6	
59	516255	60	6	
60	586255	60	6	
