配方ID	显示用装备ID	职业	部位	等级	绿色最小装等	绿色最大装等	蓝色最小装等	蓝色最大装等	紫色最小装等	紫色最大装等	金色最小装等	金色最大装等	货币类型	货币数量	基础经验	基础熟练	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库	1条魔法属性概率	2条魔法属性概率	3条魔法属性概率	4条魔法属性概率	5条魔法属性概率	消耗的道具数量	展示用魔法属性	使用的炼魔金属	需求材料1	材料1数量	需求材料2	材料2数量	需求材料3	材料3数量	需求材料4	材料4数量	需求材料5	材料5数量	熟练度等级1要求	熟练度影响1类型	熟练度影响1结果	熟练度等级2要求	熟练度影响2类型	熟练度影响2结果	熟练度等级3要求	熟练度影响3类型	熟练度影响3结果	熟练度等级4要求	熟练度影响4类型	熟练度影响4结果	熟练度等级5要求	熟练度影响5类型	熟练度影响5结果	熟练度等级6要求	熟练度影响6类型	熟练度影响6结果
string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	int	string	int	string	int	string	int	string	int	int	int	string	int	int	string	int	int	string	int	int	string	int	int	string	int	int	string
Id	DisplayEquipID	Job	ForgingParts	EquipLv	MinItemLv1	MaxItemLv1	MinItemLv2	MaxItemLv2	MinItemLv3	MaxItemLv3	MinItemLv4	MaxItemLv4	DemandCurrencyType	DemandCurrenyNum	AddBaseExp	AddDexterity	MagicLvDropBox1	MagicLvDropBox2	MagicLvDropBox3	MagicNum1	MagicNum2	MagicNum3	MagicNum4	MagicNum5	PowerCostItem	ShowMagicBox	MagicPropList	DemandItem1	DemandNum1	DemandItem2	DemandNum2	DemandItem3	DemandNum3	DemandItem4	DemandNum4	DemandItem5	DemandNum5	DexterityNum1	DexterityType1	DexterityResult1	DexterityNum2	DexterityType2	DexterityResult2	DexterityNum3	DexterityType3	DexterityResult3	DexterityNum4	DexterityType4	DexterityResult4	DexterityNum5	DexterityType5	DexterityResult5	DexterityNum6	DexterityType6	DexterityResult6
301040200001	equip301040211001	1	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100069;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100069,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200001	30	2	2000	0	0		0	0	
302040200001	equip302040211001	1	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200001	30	2	2000	0	0		0	0	
303040200001	equip303040211001	1	3	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100041;100045;100047;100079;100006;100023;100002;100003;100017;100019;100021	100041,100045,100047,100079,100006,100023,100002,100003,100017,100019,100021,100085,100088,100094	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	303050200001	30	2	2000	0	0		0	0	
304040200001	equip304040211001	1	4	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100044;100045;100048;100075;100078;100006;100025;100027;100002;100003;100017;100019;100021	100044,100045,100048,100075,100078,100081,100006,100025,100027,100002,100003,100017,100019,100021,100090,100096	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	304050200001	30	2	2000	0	0		0	0	
305040200001	equip305040211001	1	5	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100043;100045;100049;100073;100006;100023;100025;100002;100003;100017;100019;100021	100043,100045,100049,100073,100080,100006,100023,100025,100002,100003,100017,100019,100021,100095	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	305050200001	30	2	2000	0	0		0	0	
306040200001	equip306040211001	1	6	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100040;100045;100050;100065;100066;100067;100004;100023;100027;100002;100003;100017;100019;100021	100040,100045,100050,100065,100066,100067,100004,100023,100027,100002,100003,100017,100019,100021,100086,100093	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	306050200001	30	2	2000	0	0		0	0	
301040200002	equip301040211002	2	1	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100051;100052;100053;100054;100070;100005;100022;100026;100001;100016;100018;100020	100051,100052,100053,100054,100070,100005,100022,100026,100001,100016,100018,100020	item103010111102	3	item108100102102	8		0		0		0	5	11	1	10	12	2	15	1	301050200002	30	2	2000	0	0		0	0	
302040200002	equip302040211002	2	2	40	126	126	252	252	283	315	388	432	1	20000	15	1	402001	403001	404001	10000	4000	1000	202	10	item103010131003,3	100042;100045;100046;100074;100004;100024;100002;100003;100017;100019;100021	100042,100045,100046,100074,100083,100004,100024,100002,100003,100017,100019,100021,100091	item103010111102	3	item108100101202	8		0		0		0	5	11	1	10	12	2	15	1	302050200002	30	2	2000	0	0		0	0	
