炼魔道具	金属排序	魔法属性	属性等级	需求道具数量
string	int	int	int	int
ItemID	MetalSort	MagicType	MagicLevel	MetalNum
item2130600100040	3	100040	1	1
item2120300100041	2	100041	1	1
item2130200100042	3	100042	1	1
item2110500100043	1	100043	1	1
item2120400100044	2	100044	1	1
item2110000100045	1	100045	1	1
item2110000100046	1	100046	1	1
item2110000100047	1	100047	1	1
item2110000100048	1	100048	1	1
item2110000100049	1	100049	1	1
item2110600100050	1	100050	1	1
item2130000100051	3	100051	1	1
item2130000100052	3	100052	1	1
item2110000100053	1	100053	1	1
item2120000100054	2	100054	1	1
item2120700100055	2	100055	1	1
item2110700100056	1	100056	1	1
item2110800100057	1	100057	1	1
item2130800100058	3	100058	1	1
item2120900100059	2	100059	1	1
item2110900100060	1	100060	1	1
item2111000100061	1	100061	1	1
item2111000100062	1	100062	1	1
item2121000100063	2	100063	1	1
item2131000100064	3	100064	1	1
item2120600100065	2	100065	1	1
item2120600100066	2	100066	1	1
item2110600100067	1	100067	1	1
item2110102100068	1	100068	1	1
item2110000100069	1	100069	1	1
item2110000100070	1	100070	1	1
item2120900100071	2	100071	1	1
item2120700100072	2	100072	1	1
item2120500100073	2	100073	1	1
item2120200100074	2	100074	1	1
item2120400100075	2	100075	1	1
item2130700100076	3	100076	1	1
item2130900100077	3	100077	1	1
item2120400100078	2	100078	1	1
item2120300100079	2	100079	1	1
item2130500100080	3	100080	1	1
item2130400100081	3	100081	1	1
item2130700100082	3	100082	1	1
item2130200100083	3	100083	1	1
item2130900100084	3	100084	1	1
item2130900100085	3	100085	1	1
item2130600100086	3	100086	1	1
item2130800100087	3	100087	1	1
item2130300100088	3	100088	1	1
item2131000100089	3	100089	1	1
item2130400100090	3	100090	1	1
item2130200100091	3	100091	1	1
item2130900100092	3	100092	1	1
item2130600100093	3	100093	1	1
item2130300100094	3	100094	1	1
item2130300100095	3	100095	1	1
item2130300100096	3	100096	1	1
