公式编号	公式	参数
int	string	string
Id	Formula	FormulaParams
4	P00*500	Rare
6	0.25*(P00+P61)+2.5*(P01+P02+P03)+0.5*P04+5*P05+1.5*(P06+P07+P08)+0.75*(P09+P10+P11+P12+P13+P14)+1.5*P16+(P18+P19+P20+P21+P22+P23+P24+P25+P38+P39+P40+P41+P42+P43+P44+P45+P46+P47+P48+P49+P50+P51+P52+P53+P54+P55+P56+P57+P58+P59+P64+P71+P76+P77+P78+P79+P80+P81+P82+P83+P84+P85+P86+P87+P88+P89+P90+P91+P92+P93+P94+P95+P96+P97+P98+P99+P102)+15*(P26+P27+P28+P29+P30+P31+P32+P33+P34+P35+P36+P37)+0.5*(P67+P101)+1.5*P100+0.6*(P103+P104+P105+P117+P118)+0.75*P119+1.5*P120+3*P121+0.75*P122+P123+P124+1.5*P125+1.5*P126+1.5*P127+3*P128+1.5*P129+2.25*P130+2.25*P131+1.5*P132+P133+0.05*P134+1.5*P135+1*P136+1*P137+1*P138+1*P139+0.5*P140+1.5*P141+0.4*P142+0.05*P143+1*P144+0.5*P145+1*P146+1*P147+1*P148+0.5*P149+1*P150+1*P151+1*P152+1*P153+1*P154+1.5*P155+1.5*P156+1*P157+1*P158+1*P159	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF;SPD;RAGE;ATTSPD;HITRATE;DODRATE;CRIRATE;RESRATE;CDGRATE;CDDRATE;DIC;DRD;STUNINC;STUNRES;SILINC;SILRES;ROOTINC;ROOTRES;POIINC;POIRES;FEARINC;FEARRES;SLOWINC;SLOWRES;ICEDIN;POIDIN;FIREDIN;ICEDRE;POIDRE;FIREDRE;WINDDIN;WINDDRE;LANDDIN;LANDDRE;HOLYDIN;HOLYDRE;DARKDIN;DARKDRE;ARCDIN;ARCDRE;LEADDIN;LEADDRE;PHYDIN;PHYDRE;RMPHYDIN;MLPHYDIN;EXPPER;HEALPER;DRLPER;DRRPER;SKILLHEALPER;ROTATELIMIT;SUSPEND;CAPER;HATREDPER;ODIC;ODRD;CSKILLHEALPER;SKHEALPERMIN;SKHEALPERMAX;SKDRD;SCDDRD;HUMANDIN;HUMANDRE;ANIMALDIN;ANIMALDRE;INSECTDIN;INSECTDRE;DEMONDIN;DEMONDRE;PUPPETDIN;PUPPETDRE;GHOSTDIN;GHOSTDRE;MACHINEDIN;MACHINEDRE;PLANTDIN;PLANTDRE;ELEMENTDIN;ELEMENTDRE;NORMOSTERDIN;NORMOSTERDRE;ELITEDIN;ELITEDRE;BOSSDIN;BOSSDRE;SBPER;NASBPER;TDPER;STUNDIC;ROOTDIC;SLOWDIC;STUNDOD;SILDOD;ROOTDOD;SLOWDOD;NABNOCRI;NANOCRIPA;SLOWDAMPER;NDHEALPR;NDHEALPER;SUITRED;CRIADDHPPER;HHDIC;LHDIC;DOTDIC;DISDEFPER;RAGEPRE;BLOCK;BLOCKRATE;BLOCKRATIO;LOGIC;SPIRIT;APPETITE;RAGEDRE;DFESTRPER;HUMODIC;HUMODRD;RAGERE;HEALRDPER;ENVOYHPMAX;ENVOYHPER;ENVOYDIC;ENVOYDRD;ENVOYTGDIC;ENVOYTGDRD;ENVOYATT;ENVOYATTPER;ENVOYHPRG;ELEHPMAX;ELEHPPER;ELEATT;ELEATTPER;ELECRIRATE;ELECDGRATE;ELEDEF;ELEDEFPER;ELERESRATE;ELECDDRATE;ELEDIC;ELEDRD;ELELETTER;ELERESIST;ELECDRD;ELEBLESS;ELEBREAK
61	0.6*(0.25*(P00+P61)+2.5*(P01+P02+P03)+0.5*P04+5*P05+1.5*(P06+P07+P08)+0.75*(P09+P10+P11+P12+P13+P14)+1.5*P16+(P18+P19+P20+P21+P22+P23+P24+P25+P38+P39+P40+P41+P42+P43+P44+P45+P46+P47+P48+P49+P50+P51+P52+P53+P54+P55+P56+P57+P58+P59+P64+P71+P76+P77+P78+P79+P80+P81+P82+P83+P84+P85+P86+P87+P88+P89+P90+P91+P92+P93+P94+P95+P96+P97+P98+P99+P102)+15*(P26+P27+P28+P29+P30+P31+P32+P33+P34+P35+P36+P37)+0.5*(P67+P101)+1.5*P100+0.6*(P103+P104+P105+P117+P118)+0.75*P119+1.5*P120+3*P121+0.75*P122+P123+P124+1.5*P125+1.5*P126+1.5*P127+3*P128+1.5*P129+2.25*P130+2.25*P131+1.5*P132+P133+0.05*P134+1.5*P135+1*P136+1*P137+1*P138+1*P139+0.5*P140+1.5*P141+0.4*P142)	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF;SPD;RAGE;ATTSPD;HITRATE;DODRATE;CRIRATE;RESRATE;CDGRATE;CDDRATE;DIC;DRD;STUNINC;STUNRES;SILINC;SILRES;ROOTINC;ROOTRES;POIINC;POIRES;FEARINC;FEARRES;SLOWINC;SLOWRES;ICEDIN;POIDIN;FIREDIN;ICEDRE;POIDRE;FIREDRE;WINDDIN;WINDDRE;LANDDIN;LANDDRE;HOLYDIN;HOLYDRE;DARKDIN;DARKDRE;ARCDIN;ARCDRE;LEADDIN;LEADDRE;PHYDIN;PHYDRE;RMPHYDIN;MLPHYDIN;EXPPER;HEALPER;DRLPER;DRRPER;SKILLHEALPER;ROTATELIMIT;SUSPEND;CAPER;HATREDPER;ODIC;ODRD;CSKILLHEALPER;SKHEALPERMIN;SKHEALPERMAX;SKDRD;SCDDRD;HUMANDIN;HUMANDRE;ANIMALDIN;ANIMALDRE;INSECTDIN;INSECTDRE;DEMONDIN;DEMONDRE;PUPPETDIN;PUPPETDRE;GHOSTDIN;GHOSTDRE;MACHINEDIN;MACHINEDRE;PLANTDIN;PLANTDRE;ELEMENTDIN;ELEMENTDRE;NORMOSTERDIN;NORMOSTERDRE;ELITEDIN;ELITEDRE;BOSSDIN;BOSSDRE;SBPER;NASBPER;TDPER;STUNDIC;ROOTDIC;SLOWDIC;STUNDOD;SILDOD;ROOTDOD;SLOWDOD;NABNOCRI;NANOCRIPA;SLOWDAMPER;NDHEALPR;NDHEALPER;SUITRED;CRIADDHPPER;HHDIC;LHDIC;DOTDIC;DISDEFPER;RAGEPRE;BLOCK;BLOCKRATE;BLOCKRATIO;LOGIC;SPIRIT;APPETITE;RAGEDRE;DFESTRPER;HUMODIC;HUMODRD;RAGERE;HEALRDPER;ENVOYHPMAX;ENVOYHPER;ENVOYDIC;ENVOYDRD;ENVOYTGDIC;ENVOYTGDRD;ENVOYATT;ENVOYATTPER;ENVOYHPRG
62	0.4*(0.25*(P00+P61)+2.5*(P01+P02+P03)+0.5*P04+5*P05+1.5*(P06+P07+P08)+0.75*(P09+P10+P11+P12+P13+P14)+1.5*P16+(P18+P19+P20+P21+P22+P23+P24+P25+P38+P39+P40+P41+P42+P43+P44+P45+P46+P47+P48+P49+P50+P51+P52+P53+P54+P55+P56+P57+P58+P59+P64+P71+P76+P77+P78+P79+P80+P81+P82+P83+P84+P85+P86+P87+P88+P89+P90+P91+P92+P93+P94+P95+P96+P97+P98+P99+P102)+15*(P26+P27+P28+P29+P30+P31+P32+P33+P34+P35+P36+P37)+0.5*(P67+P101)+1.5*P100+0.6*(P103+P104+P105+P117+P118)+0.75*P119+1.5*P120+3*P121+0.75*P122+P123+P124+1.5*P125+1.5*P126+1.5*P127+3*P128+1.5*P129+2.25*P130+2.25*P131+1.5*P132+P133+0.05*P134+1.5*P135+1*P136+1*P137+1*P138+1*P139+0.5*P140+1.5*P141+0.4*P142)	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF;SPD;RAGE;ATTSPD;HITRATE;DODRATE;CRIRATE;RESRATE;CDGRATE;CDDRATE;DIC;DRD;STUNINC;STUNRES;SILINC;SILRES;ROOTINC;ROOTRES;POIINC;POIRES;FEARINC;FEARRES;SLOWINC;SLOWRES;ICEDIN;POIDIN;FIREDIN;ICEDRE;POIDRE;FIREDRE;WINDDIN;WINDDRE;LANDDIN;LANDDRE;HOLYDIN;HOLYDRE;DARKDIN;DARKDRE;ARCDIN;ARCDRE;LEADDIN;LEADDRE;PHYDIN;PHYDRE;RMPHYDIN;MLPHYDIN;EXPPER;HEALPER;DRLPER;DRRPER;SKILLHEALPER;ROTATELIMIT;SUSPEND;CAPER;HATREDPER;ODIC;ODRD;CSKILLHEALPER;SKHEALPERMIN;SKHEALPERMAX;SKDRD;SCDDRD;HUMANDIN;HUMANDRE;ANIMALDIN;ANIMALDRE;INSECTDIN;INSECTDRE;DEMONDIN;DEMONDRE;PUPPETDIN;PUPPETDRE;GHOSTDIN;GHOSTDRE;MACHINEDIN;MACHINEDRE;PLANTDIN;PLANTDRE;ELEMENTDIN;ELEMENTDRE;NORMOSTERDIN;NORMOSTERDRE;ELITEDIN;ELITEDRE;BOSSDIN;BOSSDRE;SBPER;NASBPER;TDPER;STUNDIC;ROOTDIC;SLOWDIC;STUNDOD;SILDOD;ROOTDOD;SLOWDOD;NABNOCRI;NANOCRIPA;SLOWDAMPER;NDHEALPR;NDHEALPER;SUITRED;CRIADDHPPER;HHDIC;LHDIC;DOTDIC;DISDEFPER;RAGEPRE;BLOCK;BLOCKRATE;BLOCKRATIO;LOGIC;SPIRIT;APPETITE;RAGEDRE;DFESTRPER;HUMODIC;HUMODRD;RAGERE;HEALRDPER;ENVOYHPMAX;ENVOYHPER;ENVOYDIC;ENVOYDRD;ENVOYTGDIC;ENVOYTGDRD;ENVOYATT;ENVOYATTPER;ENVOYHPRG
103	150+0.25*(P00+P61)+2.5*(P01+P02+P03)+0.5*P04+5*P05+1.5*(P06+P07+P08)+0.75*(P09+P10+P11+P12+P13+P14)+1.5*P16+(P18+P19+P20+P21+P22+P23+P24+P25+P38+P39+P40+P41+P42+P43+P44+P45+P46+P47+P48+P49+P50+P51+P52+P53+P54+P55+P56+P57+P58+P59+P64+P71+P76+P77+P78+P79+P80+P81+P82+P83+P84+P85+P86+P87+P88+P89+P90+P91+P92+P93+P94+P95+P96+P97+P98+P99+P102)+15*(P26+P27+P28+P29+P30+P31+P32+P33+P34+P35+P36+P37)+0.5*(P67+P101)+1.5*P100+0.6*(P103+P104+P105+P117+P118)+0.75*P119+1.5*P120+3*P121+0.75*P122+P123+P124+1.5*P125+1.5*P126+1.5*P127+3*P128+1.5*P129+2.25*P130+2.25*P131+1.5*P132+P133+0.05*P134+1.5*P135+1*P136+1*P137+1*P138+1*P139+0.5*P140+1.5*P141+0.4*P142	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF;SPD;RAGE;ATTSPD;HITRATE;DODRATE;CRIRATE;RESRATE;CDGRATE;CDDRATE;DIC;DRD;STUNINC;STUNRES;SILINC;SILRES;ROOTINC;ROOTRES;POIINC;POIRES;FEARINC;FEARRES;SLOWINC;SLOWRES;ICEDIN;POIDIN;FIREDIN;ICEDRE;POIDRE;FIREDRE;WINDDIN;WINDDRE;LANDDIN;LANDDRE;HOLYDIN;HOLYDRE;DARKDIN;DARKDRE;ARCDIN;ARCDRE;LEADDIN;LEADDRE;PHYDIN;PHYDRE;RMPHYDIN;MLPHYDIN;EXPPER;HEALPER;DRLPER;DRRPER;SKILLHEALPER;ROTATELIMIT;SUSPEND;CAPER;HATREDPER;ODIC;ODRD;CSKILLHEALPER;SKHEALPERMIN;SKHEALPERMAX;SKDRD;SCDDRD;HUMANDIN;HUMANDRE;ANIMALDIN;ANIMALDRE;INSECTDIN;INSECTDRE;DEMONDIN;DEMONDRE;PUPPETDIN;PUPPETDRE;GHOSTDIN;GHOSTDRE;MACHINEDIN;MACHINEDRE;PLANTDIN;PLANTDRE;ELEMENTDIN;ELEMENTDRE;NORMOSTERDIN;NORMOSTERDRE;ELITEDIN;ELITEDRE;BOSSDIN;BOSSDRE;SBPER;NASBPER;TDPER;STUNDIC;ROOTDIC;SLOWDIC;STUNDOD;SILDOD;ROOTDOD;SLOWDOD;NABNOCRI;NANOCRIPA;SLOWDAMPER;NDHEALPR;NDHEALPER;SUITRED;CRIADDHPPER;HHDIC;LHDIC;DOTDIC;DISDEFPER;RAGEPRE;BLOCK;BLOCKRATE;BLOCKRATIO;LOGIC;SPIRIT;APPETITE;RAGEDRE;DFESTRPER;HUMODIC;HUMODRD;RAGERE;HEALRDPER;ENVOYHPMAX;ENVOYHPER;ENVOYDIC;ENVOYDRD;ENVOYTGDIC;ENVOYTGDRD;ENVOYATT;ENVOYATTPER;ENVOYHPRG
110	0.1*(0.25*(P00+P61)+2.5*(P01+P02+P03)+0.5*P04+5*P05+1.5*(P06+P07+P08)+0.75*(P09+P10+P11+P12+P13+P14)+1.5*P16+(P18+P19+P20+P21+P22+P23+P24+P25+P38+P39+P40+P41+P42+P43+P44+P45+P46+P47+P48+P49+P50+P51+P52+P53+P54+P55+P56+P57+P58+P59+P64+P71+P76+P77+P78+P79+P80+P81+P82+P83+P84+P85+P86+P87+P88+P89+P90+P91+P92+P93+P94+P95+P96+P97+P98+P99+P102)+15*(P26+P27+P28+P29+P30+P31+P32+P33+P34+P35+P36+P37)+0.5*(P67+P101)+1.5*P100+0.6*(P103+P104+P105+P117+P118)+0.75*P119+1.5*P120+3*P121+0.75*P122+P123+P124+1.5*P125+1.5*P126+1.5*P127+3*P128+1.5*P129+2.25*P130+2.25*P131+1.5*P132+P133+2.25*P130+2.25*P131+1.5*P132+P133+0.05*P134+1.5*P135+1*P136+1*P137+1*P138+1*P139+0.5*P140+1.5*P141+0.4*P142)	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF;SPD;RAGE;ATTSPD;HITRATE;DODRATE;CRIRATE;RESRATE;CDGRATE;CDDRATE;DIC;DRD;STUNINC;STUNRES;SILINC;SILRES;ROOTINC;ROOTRES;POIINC;POIRES;FEARINC;FEARRES;SLOWINC;SLOWRES;ICEDIN;POIDIN;FIREDIN;ICEDRE;POIDRE;FIREDRE;WINDDIN;WINDDRE;LANDDIN;LANDDRE;HOLYDIN;HOLYDRE;DARKDIN;DARKDRE;ARCDIN;ARCDRE;LEADDIN;LEADDRE;PHYDIN;PHYDRE;RMPHYDIN;MLPHYDIN;EXPPER;HEALPER;DRLPER;DRRPER;SKILLHEALPER;ROTATELIMIT;SUSPEND;CAPER;HATREDPER;ODIC;ODRD;CSKILLHEALPER;SKHEALPERMIN;SKHEALPERMAX;SKDRD;SCDDRD;HUMANDIN;HUMANDRE;ANIMALDIN;ANIMALDRE;INSECTDIN;INSECTDRE;DEMONDIN;DEMONDRE;PUPPETDIN;PUPPETDRE;GHOSTDIN;GHOSTDRE;MACHINEDIN;MACHINEDRE;PLANTDIN;PLANTDRE;ELEMENTDIN;ELEMENTDRE;NORMOSTERDIN;NORMOSTERDRE;ELITEDIN;ELITEDRE;BOSSDIN;BOSSDRE;SBPER;NASBPER;TDPER;STUNDIC;ROOTDIC;SLOWDIC;STUNDOD;SILDOD;ROOTDOD;SLOWDOD;NABNOCRI;NANOCRIPA;SLOWDAMPER;NDHEALPR;NDHEALPER;SUITRED;CRIADDHPPER;HHDIC;LHDIC;DOTDIC;DISDEFPER;RAGEPRE;BLOCK;BLOCKRATE;BLOCKRATIO;LOGIC;SPIRIT;APPETITE;RAGEDRE;DFESTRPER;HUMODIC;HUMODRD;RAGERE;HEALRDPER;ENVOYHPMAX;ENVOYHPER;ENVOYDIC;ENVOYDRD;ENVOYTGDIC;ENVOYTGDRD;ENVOYATT;ENVOYATTPER;ENVOYHPRG
7	5*(0.05*P00+0.5*(P02+P03)+0.3*(P06+P07+P08)+0.15*(P09+P10+P11+P12+P13+P14))	HPMAX;SPMAX;ATT;DEF;HPRG;SPRG;HPPER;ATTPER;DEFPER;HIT;DOD;CRI;RES;CDG;CDGDEF
8	5*(P00*(P00-1)/2*10+100)	Level
