流水	功能ID	功能名	功能icon,小icon	任务条件	等级条件	公会等级	星盘纪元条件	公会圣器条件	特殊条件	区域	排或列	组	归属组	组内排序	是否生效	功能图片	大Icon	链接命令	链接参数	是否要飘icon	获取途径文字标识	是否要常驻提示	提示功能描述	是否精准链接	功能未开启特殊提示	活动预告的时间	主界面ue特效	提审模式功能是否屏蔽	对应活动ID	定制SDK开启功能
string	int	string	string	string	int	int	int	int	bool	int	int	int	int	int	bool	string	string	string	string	bool	string	int	string	int	string	int	int	int	int	string
Id	FuncID	Script	Icon	TaskId	Level	GuildLevel	AstrolabeLevel	GuildHallowLv	SpecialOpen	FunctionType	Region	GroupId	BelongGroup	Order	IsOpen	Picture	BigIcon	Link	LinkParm	FlyIcon	GainWayDes	UnlockHint	FuncDes	AccurateLink	UnopenSpecTips	ActivityHintTime	EffectId	IsReviewClose	ActivityID	IsSdkOnlyOpen
1	1	UI_FuncName_1	btn_duanzao		31	0	0	0	0	3	2	0	0	3	1			OpenForing	ForgingPreviewPanel	1		1	UIFuncDes_1	0		0	0	0	0	
2	2	UI_FuncName_2	btn_huodong		35	0	0	0	0	0	0	0	0	0	1					0		1	UIFuncDes_1	0		0	0	0	0	
3	3	UI_FuncName_3	btn_worldboss		20	0	0	0	0	0	0	0	0	0	1	devillord_panelbg001	icon_worldboss	RunToPos	4;19.2,-39.9	0		0		0		0	0	0	0	
4	4	UI_FuncName_4	btn_juese30		4	0	0	0	0	0	0	0	0	0	1		btn_juese30	LinkUI	BagPanel;OpenRole	0		0		0		0	0	0	0	
5	5	UI_FuncName_5	btn_jineng30	11100060,0	6	0	0	0	0	3	1	0	0	1	1		btn_jineng30	LinkUI	SkillPanel	1		0	UIFuncDes_5	0	Msg_FuncNotOpenTips_5	0	0	0	0	
6	6	UI_FuncName_6	btn_event	10100200,1	1	0	0	0	0	1	1	0	0	1	1			LinkUI	AdventurePanel	1		0	UIFuncDes_6	0		0	0	0	0	
7	7	UI_FuncName_7	btn_beibao		1	0	0	0	0	2	2	0	0	1	1		btn_beibao	LinkUI	BagPanel	0		0		0		0	0	0	0	
8	8	UI_FuncName_8	btn_award		15	0	0	0	0	0	0	0	0	0	1			LinkUI	GrowUpPanel;5	1		1	UIFuncDes_8	0		0	0	0	0	
9	9	UI_FuncName_9			10	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
10	10	UI_FuncName_10	btn_auto0		5	0	0	0	0	0	0	0	0	0	1					1		1	UIFuncDes_10	0		0	0	0	0	
11	11	UI_FuncName_11			1	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
12	12	UI_FuncName_12	btn_qianghua30	10200030,2	1	0	0	0	0	3	1	0	0	2	1		btn_qianghua30	LinkUI	StrengthenPanel	1		0	UIFuncDes_12	0	MSG_StrengthenPanel_NotOpen	0	0	0	0	
13	13	UI_FuncName_13	btn_arena	10100180,1	18	0	0	0	0	0	0	0	0	0	1	arena_panelbg001		LinkUI	ArenaPanel	0		0		0		0	0	0	0	
14	14	UI_FuncName_14	btn_multi		32	0	0	0	0	0	0	0	0	0	1	bg_multiduel	btn_multi	ClickNpc	2;npc_multi	0	UI_GainWay_Des1	0	UIFuncDes_14	0		0	0	0	0	
15	15	UI_FuncName_15	btn_multi		40	0	0	0	0	0	0	0	0	0	1		btn_multi			0		0		0		0	0	0	0	
16	16	UI_FuncName_16	btn_beibao		1	0	0	0	0	2	3	0	0	2	1			LinkUI	TemporaryPanel	0		0		0		0	0	0	0	
17	17	UI_FuncName_17	btn_paihangbang		26	0	0	0	0	3	3	0	0	1	1			LinkUI	RankPanel	1		1	UIFuncDes_17	0		0	0	0	0	
18	18	UI_FuncName_18	btn_shezhi		1	0	0	0	0	3	1	0	0	5	1			LinkUI	SettingPanel	0		0		0		0	0	0	0	
19	19	UI_FuncName_19	icon_daily		25	0	0	0	0	0	0	0	0	0	1	seektreasure__panelbg001				0		0		0		0	0	0	0	
20	20	UI_FuncName_20			4	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3	0	UI_GainWay_Des1	0		0		0	0	0	0	
21	21	UI_FuncName_21	btn_jiaoyi		10	0	0	0	0	1	1	0	0	2	1			LinkUI	TradingPanel	0		0	UIFuncDes_21	0		0	0	0	0	
22	22	UI_FuncName_22			29	0	0	0	0	0	0	0	0	0	1			LinkUI	SkillPanel;2	0		0		0		0	0	0	0	
23	23	UI_FuncName_23	btn_worldtask	10200035,1	16	0	0	0	0	0	0	0	0	0	1	worldtask_panelbg001				1		0	UIFuncDes_23	0		0	0	0	0	
24	24	UI_FuncName_24	btn_gonggao		10	0	0	0	0	3	3	0	0	4	1			LinkUI	GameNoticePanel	0		0		0		0	0	1	0	
25	25	UI_FuncName_25	btn_dungeon	10200070,1	20	0	0	0	0	4	0	0	0	0	1	bg_zuduifuben		LinkUI	DungeonInfoPanel;Normal	1	UI_GainWay_Des1	1	UIFuncDes_25	0	MSG_NotOpenTips1	0	0	0	0	
26	26	UI_FuncName_26	btn_dungeon		40	0	0	0	0	0	0	0	0	0	1	bg_tuanduifuben		LinkUI	DungeonInfoPanel;Team	0	UI_GainWay_Des1	1	UIFuncDes_26	0		0	0	0	0	
27	27	UI_FuncName_27	btn_dungeon		50	0	0	0	0	0	0	0	0	0	1	bg_tiaozhanfuben		LinkUI	DungeonInfoPanel;Challenge	0	UI_GainWay_Des1	1	UIFuncDes_27	0		0	0	0	0	
28	28	UI_FuncName_28	btn_dungeon		76	0	0	0	0	0	0	0	0	0	1	bg_envoyfuben		LinkUI	DungeonInfoPanel;Envoy	0	UI_GainWay_Des1	1	UIFuncDes_28	0		0	0	0	0	
29	30	UI_FuncName_30	btn_crack	10200070,0	20	0	0	0	0	0	2	0	0	0	1	crack_panelbg001		ClickNpc	2;npc_crack	0	UI_GainWay_Des1	0	UIFuncDes_30	0	MSG_Crack_NotOpenTips	0	0	0	0	
30	32	UI_FuncName_32	icon_dz_magic		31	0	0	0	0	0	0	0	0	0	1			ClickNpc	2;npc_forging_002	0		0	UIFuncDes_32	0		0	0	0	0	
31	33	UI_FuncName_33	btn_secret		33	0	0	0	0	0	0	0	0	0	1	icon_teamsecret		ClickNpc	2;npc_10046	0	UI_GainWay_Des1	1	UIFuncDes_33	0		0	0	0	0	
32	34	UI_FuncName_34	btn_secret		40	0	0	0	0	0	0	0	0	0	1	icon_unlimitedsecret	btn_secret	LinkUI	SecretUnLimitTowerPanel	0	UI_GainWay_Des1	0	UIFuncDes_34	0	MSG_SeasonNotOpenTips	0	0	0	0	
33	35	UI_FuncName_35			1	0	0	0	0	0	0	0	0	0	1			LinkUI	ResolveItemsPanel	0	UI_GainWay_Des6	0		0		0	0	0	0	
34	36	UI_FuncName_36			1	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
35	37	UI_FuncName_37	btn_qicheng		-1	0	0	0	1	3	1	0	0	3	1		btn_qicheng	LinkUI	PetPanel	1		0		0		0	0	0	0	
36	38	UI_FuncName_38	btn_jineng30	10200100,0	1	0	0	0	0	0	0	0	0	0	1			LinkUI	SkillPanel;1	0		0	UIFuncDes_38	0	Msg_FuncNotOpenTips_38	0	0	0	0	
37	39	UI_FuncName_39	btn_qianghua30		40	0	0	0	0	0	0	0	0	0	1			LinkUI	StrengthenPanel;1	0		0	UIFuncDes_39	0		0	0	0	0	
38	40	UI_FuncName_40	btn_qianghua30	10000030,1	1	0	0	0	0	0	0	0	0	0	1			LinkUI	BagPanel;OpenSoulStone	0		0	UIFuncDes_40	0		0	0	0	0	
39	41	UI_FuncName_41			10	0	0	0	0	0	0	0	0	0	1			LinkUI	SocialPanel	0		0		0		0	0	0	0	
40	42	UI_FuncName_42			30	0	0	0	0	0	0	0	0	0	1			LinkUI		0		0		0		0	0	0	0	
41	43	UI_FuncName_43	btn_shizhuang30		10	0	0	0	0	3	2	0	0	1	1		btn_shizhuang30	LinkUI	FashionPanel	0		1	UIFuncDes_43	0		0	0	0	0	
42	44	UI_FuncName_44	btn_qicheng		10	0	0	0	0	0	0	0	0	0	1		btn_qicheng	LinkUI	FashionDyeingPanel	0		0		0		0	0	0	0	
43	45	UI_FuncName_45			10	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel	0	UI_GainWay_Des5	0		0		0	0	0	0	
44	46	UI_FuncName_46			10	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;1	0	UI_GainWay_Des5	0		0		0	0	0	0	
45	47	UI_FuncName_47	btn_mall	11100160,1	1	0	0	0	0	1	1	0	0	3	1			LinkUI	MallPanel	0	UI_GainWay_Des5	0		0	Msg_FuncNotOpenTips_110	0	0	0	0	
46	48	UI_FuncName_48		11100180,5	1	0	0	0	0	0	0	0	0	0	1			LinkUI		0		0		0		0	0	0	0	
47	49				1	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;1;1	0		0		0		0	0	0	0	
48	50	UI_FuncName_50	btn_gonghui	10100180,6	-1	0	0	0	0	3	2	0	0	2	1			GuildLinkUI		1		0	UIFuncDes_50	0	Msg_FuncNotOpenTips_50	0	0	0	0	
49	51	UI_FuncName_51	btn_guildtask		27	0	0	0	0	0	0	0	0	0	1	bg_gonghuirenwu		ClickNpc	40;npc_10080	0		1	UIFuncDes_51	0		0	0	0	0	
50	52	UI_FuncName_52			10	0	0	0	0	0	0	0	0	0	1					0		0		0		0	0	0	0	
51	53				10	0	0	0	0	0	0	0	0	0	1			LinkUI	GuildRedPacketPanel	0		0		0		0	0	0	0	
52	54	UI_FuncName_54			10	0	0	0	0	0	0	0	0	0	1			LinkUI	TradingPanel;3;301	0		0		1		0	0	0	0	
53	55	UI_FuncName_55	btn_huodong		10	0	0	0	0	2	4	0	0	3	1			LinkUI	TimeLimitActivityPanel	0		0		0		0	10093	0	0	
54	56	UI_FuncName_56	btn_kaoshi		10	0	0	0	0	0	0	0	0	0	1	bg_xueyuankaoshi	btn_kaoshi	LinkUI	AnswerPanel	0		0	UIFuncDes_56	0		0	0	0	0	
55	57	UI_FuncName_57	btn_shengyan		18	0	0	0	0	0	0	0	0	0	1	bg_gonghuishengyan	huodong_shengyan	GuildScene		0		0		0		0	0	0	0	
56	58				18	0	0	0	0	0	0	0	0	0	1			GuildScene		0		0		0		0	0	0	0	
57	59				18	0	0	0	0	0	0	0	0	0	1			GuildScene		0		0		0		0	0	0	0	
58	60				18	0	0	0	0	0	0	0	0	0	1			GuildScene		0		0		0		0	0	0	0	
59	67	UI_FuncName_67	btn_juanxian		32	0	0	0	0	0	0	0	0	0	1	bg_gonghuijuanxian		ClickNpc	40;npc_10117	0		1	UIFuncDes_67	0		0	0	0	0	
60	68	UI_FuncName_68			32	0	0	0	0	0	0	0	0	0	1	bg_gonghuizizhu		LinkUI	GuildSeekHelpPanel	0		0		0		0	0	0	0	
