ID	功能ID	屏蔽列表	屏蔽提示
int	string	string	string
SceneType	FuncID	FilterList	TipsMsg
38	5,6,9,10,18,38,48,55,73,90,108,114	1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member	
52	5,6,9,10,18,38,48,55,73,90,108,114,451,458,452,453,462	8;9:4;10;11;12;13;14;15;16;21;23;24;25;26:33,34,35;27:458;30;28:0,3,6,13;29:0,16,10,11,29;32	TIPS_CROSS_BASE_RULE_BAN_USE
48		19:1,UI_TwelveStarsLeaveTips_Ecliptic_Captain,UI_TwelveStarsLeaveTips_Ecliptic_TeamMember;31;4	
49		19:1,UI_TwelveStarsLeaveTips_Zodiac_Captain,UI_TwelveStarsLeaveTips_Zodiac_TeamMember;31;4	
50	9,10,38,73,108,463	8;9:4;10;11;12;13;14;15;16;23;24:34,35;27:160,111;30;28:0,3,6,13;29:0,16,10,11,29;32;19:3,UI_LeaveScene_Captain,UI_LeaveScene_Member	TIPS_CROSS_BASE_RULE_BAN_USE
51	9,10,38,73,108,463	8;9:4;10;11;12;13;14;15;21;23;24;34,35;27:160,111;30;28:0,3,6,13;29:0,16,10,11,29;32;19:3,UI_LeaveScene_Captain,UI_LeaveScene_Member	TIPS_CROSS_BASE_RULE_BAN_USE
55	18,38,194,463	1;2;3;6;16;19:2,UI_CrossCampPVP_Leave_Captain,UI_CrossCampPVP_Leave_TeamMember;31;21;34;35;38;39	TIPS_CROSS_BASE_RULE_BAN_USE
53	5,6,9,10,18,48,55,73,90,108,38,114,451,458,453	8;9:4;10;11;12;13;14;15;16;21;23;24;25;42;27:458;30;28:0,3,6,13;29:0,16,10,11,29;32;36:0;26:35;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member	TIPS_CROSS_BASE_RULE_BAN_USE
54		1;3;4;6;23;31;32;37;40;41;28:0,3;29:0,10,11	TIPS_CROSS_BASE_RULE_BAN_USE
56		3;4;18;19:2,UI_MonthPve_LeaderLeaveTip,UI_MonthPve_NormalLeaveTip;21;22;23;26:6;31;32	
57		3;4;18;19:2,UI_MonthPve_LeaderLeaveTip,UI_MonthPve_NormalLeaveTip;21;22;23;26:6;31;32;37	
58	5,6,9,10,18,38,48,55,73,90,108,114	1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member	
59	5,6,9,10,18,38,48,55,73,90,108,114	1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member	
60	5,6,9,10,18,38,48,55,73,90,108,114	1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member	
61	5,6,9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;16;23;24;31;34,35;36:0;40;41;27:160,111;30;28:0;29:0;32;38;39;43	TIPS_CROSS_BASE_RULE_BAN_USE
62	5,6,9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;21;23;24;31;34,35;36:0;40;41;27:160,111;30;28:0;29:0;32;45;38;39;43	TIPS_CROSS_BASE_RULE_BAN_USE
63	5,6,9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;34,35;36:0;40;41;27:160,111;30;28:0;29:0;32;38;39;43	TIPS_CROSS_BASE_RULE_BAN_USE
64	5,6,9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;34,35;36:0;40;41;27:160,111;30;28:0;29:0;32;38;39;43	TIPS_CROSS_BASE_RULE_BAN_USE
65	5,6,9,10,18,38,48,55,73,90,108,114	22;21;1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member;36:1;26:6;46	
66	5,6,9,10,18,38,48,55,73,90,108,114	22;21;1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member;36:1;26:6	
67	5,6,9,10,18,38,48,55,73,90,108,114	22;21;1;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member;36:1;26:6	
68		3;4;18;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member;23;26:6;31;32;37	
69	6,9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;35;36:0;40;41;27:160,111;30;28:0;29:0;32;38;39;43	
70		3;22;21;6;7;17;43;20;19:2,UI_LeaveScene_Captain,UI_LeaveScene_Member;36:1;37;26:6;40	TIPS_CROSS_BASE_RULE_BAN_USE
71	9,10,18,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;36:0;40;41;27:160,111;30;28:0;29:0;32;38;43	TIPS_CROSS_BASE_RULE_BAN_USE
72	9,10,18,46,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;36:0;40;41;27:160,111;30;28:0;29:0;32;38;43	TIPS_CROSS_BASE_RULE_BAN_USE
73	9,10,18,46,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;36:0;40;41;27:160,111;30;28:0;29:0;32;38;43	TIPS_CROSS_BASE_RULE_BAN_USE
74	9,10,18,46,48,55,73,90,108,38,114,458,453,463	1;3;4;6;8;9:4;10;11;12;13;15;20;21;23;24;31;36:0;40;41;27:160,111;30;28:0;29:0;32;38;43	TIPS_CROSS_BASE_RULE_BAN_USE
