序号	功能组	组内ID	名字	图标	等级下限	等级上限	评分列表	推荐评分	评分类型	跳转UILink	功能ID
int	int	int	string	string	int	int	string	int	int	string	int
Id	GroupID	SubID	Name	Icon	MinLevel	MaxLevel	ScoreStrList	Recommend	ScoreType	UILink	FuncID
1	1	1	GrowupGroupName1		10	19	0;808;1617;2425;3234;5174;6468	3234	0		0
2	1	2	GrowupGroupName1		20	29	0;3491;6982;10473;13965;22344;27930	13965	0		0
3	1	3	GrowupGroupName1		30	39	0;6108;12216;18324;24432;39091;48864	24432	0		0
4	1	4	GrowupGroupName1		40	49	0;17614;35228;52842;70456;98638;126820	70456	0		0
5	1	5	GrowupGroupName1		50	54	0;26142;52284;78426;104569;146396;188224	104569	0		0
6	1	6	GrowupGroupName1		55	59	0;33649;67299;100949;134599;188438;242278	134599	0		0
7	1	7	GrowupGroupName1		60	69	0;52197;104394;156591;208789;271425;375820	208789	0		0
8	1	8	GrowupGroupName1		70	79	0;70479;140958;211437;281917;366492;507450	280917	0		0
9	1	9	GrowupGroupName1		80	89	0;108238;216477;324715;432954;541192;779317	395914	0		0
10	1	10	GrowupGroupName1		90	999	0;140081;280162;420243;560324;700405;1008583	503725	0		0
11	3	1	GrowupGroupName3	item_90000000002	10	19	0;250;500;750;1000;1600;2000	1000	1	LinkUI:BagPanel	7
12	3	2	GrowupGroupName3	item_90000000002	20	29	0;612;1225;1837;2450;3920;4900	2450	1	LinkUI:BagPanel	7
13	3	3	GrowupGroupName3	item_90000000002	30	34	0;1072;2145;3218;4291;6865;8582	4291	1	LinkUI:StrengthenPanel;2	7
14	3	4	GrowupGroupName3	item_90000000002	35	39	0;1710;3420;5130;6840;10944;13680	6840	1	LinkUI:StrengthenPanel;2	7
15	3	5	GrowupGroupName3	item_90000000002	40	49	0;1829;3659;5489;7319;10246;13174	7319	1	LinkUI:StrengthenPanel;2	7
16	3	6	GrowupGroupName3	item_90000000002	50	54	0;2864;5728;8592;11457;16039;20622	11457	1	LinkUI:StrengthenPanel;2	7
17	3	7	GrowupGroupName3	item_90000000002	55	59	0;3441;6882;10323;13765;19271;24777	13765	1	LinkUI:StrengthenPanel;2	7
18	3	8	GrowupGroupName3	item_90000000002	60	69	0;4941;9882;14823;19765;25694;35577	19765	1	LinkUI:StrengthenPanel;2	7
