流水	类型	分组	排名	宝箱奖励	可被分配宝箱的最大数量
int	int	int	int	string	int
ID	Type	GroupId	Rank	Reward	MaxNum
1	1	0	1	item100700000011,80	3
2	1	0	2	item100700000011,70	3
3	1	0	3	item100700000011,65	3
4	1	0	4	item100700000011,60	3
5	1	0	5	item100700000011,50	3
6	1	0	6	item100700000011,50	3
7	1	0	7	item100700000011,50	3
8	1	0	8	item100700000011,50	3
9	1	1	1	item100700000012,40	2
10	1	1	2	item100700000012,35	2
11	1	1	3	item100700000012,30	2
12	1	1	4	item100700000012,25	2
13	1	1	5	item100700000012,20	2
14	1	1	6	item100700000012,20	2
15	1	1	7	item100700000012,20	2
16	1	1	8	item100700000012,20	2
17	2	0	1	item100700000001,360	4
18	2	0	2	item100700000001,310	4
19	2	0	3	item100700000001,290	4
20	2	0	4	item100700000001,280	4
21	2	0	5	item100700000001,260	4
22	2	0	6	item100700000001,260	4
23	2	0	7	item100700000001,260	4
24	2	0	8	item100700000001,260	4
25	2	1	1	item100700000002,320	4
26	2	1	2	item100700000002,290	4
27	2	1	3	item100700000002,280	4
28	2	1	4	item100700000002,260	4
29	2	1	5	item100700000002,250	4
30	2	1	6	item100700000002,250	4
31	2	1	7	item100700000002,240	4
32	2	1	8	item100700000002,240	4
33	2	2	1	item100700000003,310	4
34	2	2	2	item100700000003,290	4
35	2	2	3	item100700000003,270	4
36	2	2	4	item100700000003,260	4
37	2	2	5	item100700000003,250	4
38	2	2	6	item100700000003,240	4
39	2	2	7	item100700000003,230	4
40	2	2	8	item100700000003,230	4
41	2	3	1	item100700000004,300	4
42	2	3	2	item100700000004,280	4
43	2	3	3	item100700000004,260	4
44	2	3	4	item100700000004,250	4
45	2	3	5	item100700000004,240	4
46	2	3	6	item100700000004,230	4
47	2	3	7	item100700000004,220	4
48	2	3	8	item100700000004,220	4
49	2	4	1	item100700000005,280	4
50	2	4	2	item100700000005,260	4
51	2	4	3	item100700000005,240	4
52	2	4	4	item100700000005,230	4
53	2	4	5	item100700000005,220	4
54	2	4	6	item100700000005,210	4
55	2	4	7	item100700000005,200	4
56	2	4	8	item100700000005,200	4
57	2	5	1	item100700000005,270	4
58	2	5	2	item100700000005,250	4
59	2	5	3	item100700000005,230	4
60	2	5	4	item100700000005,220	4
61	2	5	5	item100700000005,210	4
62	2	5	6	item100700000005,200	4
63	2	5	7	item100700000005,190	4
64	2	5	8	item100700000005,190	4
65	2	6	1	item100700000005,260	4
66	2	6	2	item100700000005,240	4
67	2	6	3	item100700000005,220	4
68	2	6	4	item100700000005,210	4
69	2	6	5	item100700000005,200	4
70	2	6	6	item100700000005,190	4
71	2	6	7	item100700000005,180	4
72	2	6	8	item100700000005,180	4
73	2	7	1	item100700000006,120	3
74	2	7	2	item100700000006,120	3
75	2	7	3	item100700000006,120	3
76	2	7	4	item100700000006,120	3
77	2	7	5	item100700000006,120	3
78	2	7	6	item100700000006,120	3
79	2	7	7	item100700000006,120	3
80	2	7	8	item100700000006,120	3
