流水	玩家等级	单次获得经验	单次获得天赋经验	获得次数上限
int	int	int	int	int
Id	Level	Exp	Talent	Hit
1	1	60	0	120
2	2	120	0	120
3	3	180	0	120
4	4	240	0	120
5	5	300	0	120
6	6	360	0	120
7	7	420	0	120
8	8	480	0	120
9	9	540	0	120
10	10	600	0	120
11	11	660	0	120
12	12	720	0	120
13	13	780	0	120
14	14	840	0	120
15	15	900	60	120
16	16	960	64	120
17	17	1020	68	120
18	18	1080	72	120
19	19	1140	76	120
20	20	1200	80	120
21	21	1260	84	120
22	22	1320	88	120
23	23	1380	92	120
24	24	1440	96	120
25	25	1500	100	120
26	26	1560	104	120
27	27	1620	108	120
28	28	1680	112	120
29	29	1740	116	120
30	30	1800	120	120
31	31	1860	124	120
32	32	1920	128	120
33	33	1980	132	120
34	34	2040	136	120
35	35	2100	140	120
36	36	2160	144	120
37	37	2220	148	120
38	38	2280	152	120
39	39	2340	156	120
40	40	2400	160	120
41	41	2460	164	120
42	42	2520	168	120
43	43	2580	172	120
44	44	2640	176	120
45	45	2700	180	120
46	46	2760	184	120
47	47	2820	188	120
48	48	2880	192	120
49	49	2940	196	120
50	50	3000	200	120
51	51	3060	204	120
52	52	3120	208	120
53	53	3180	212	120
54	54	3240	216	120
55	55	3300	220	120
56	56	3360	224	120
57	57	3420	228	120
58	58	3480	232	120
59	59	3540	236	120
60	60	3600	240	120
61	61	3660	244	120
62	62	3720	248	120
63	63	3780	252	120
64	64	3840	256	120
65	65	3900	260	120
66	66	3960	264	120
67	67	4020	268	120
68	68	4080	272	120
69	69	4140	276	120
70	70	4200	280	120
71	71	4260	284	120
72	72	4320	288	120
73	73	4380	292	120
74	74	4440	296	120
75	75	4500	300	120
76	76	4560	304	120
77	77	4620	308	120
78	78	4680	312	120
79	79	4740	316	120
80	80	4800	320	120
81	81	4860	324	120
82	82	4920	328	120
83	83	4980	332	120
84	84	5040	336	120
85	85	5100	340	120
86	86	5160	344	120
87	87	5220	348	120
88	88	5280	352	120
89	89	5340	356	120
90	90	5400	360	120
91	91	5460	364	120
92	92	5520	368	120
93	93	5580	372	120
94	94	5640	376	120
95	95	5700	380	120
96	96	5760	384	120
97	97	5820	388	120
98	98	5880	392	120
99	99	5940	396	120
100	100	6000	400	120
101	101	6000	400	120
102	102	6000	400	120
103	103	6000	400	120
104	104	6000	400	120
105	105	6000	400	120
106	106	6000	400	120
107	107	6000	400	120
108	108	6000	400	120
109	109	6000	400	120
110	110	6000	400	120
111	111	6000	400	120
112	112	6000	400	120
113	113	6000	400	120
114	114	6000	400	120
115	115	6000	400	120
116	116	6000	400	120
117	117	6000	400	120
118	118	6000	400	120
119	119	6000	400	120
120	120	6000	400	120
121	121	6000	400	120
122	122	6000	400	120
123	123	6000	400	120
124	124	6000	400	120
125	125	6000	400	120
126	126	6000	400	120
127	127	6000	400	120
128	128	6000	400	120
129	129	6000	400	120
130	130	6000	400	120
131	131	6000	400	120
132	132	6000	400	120
133	133	6000	400	120
134	134	6000	400	120
135	135	6000	400	120
136	136	6000	400	120
137	137	6000	400	120
138	138	6000	400	120
139	139	6000	400	120
140	140	6000	400	120
141	141	6000	400	120
142	142	6000	400	120
143	143	6000	400	120
144	144	6000	400	120
145	145	6000	400	120
146	146	6000	400	120
147	147	6000	400	120
148	148	6000	400	120
149	149	6000	400	120
150	150	6000	400	120
151	151	6000	400	120
152	152	6000	400	120
153	153	6000	400	120
154	154	6000	400	120
155	155	6000	400	120
156	156	6000	400	120
157	157	6000	400	120
158	158	6000	400	120
159	159	6000	400	120
160	160	6000	400	120
161	161	6000	400	120
162	162	6000	400	120
163	163	6000	400	120
164	164	6000	400	120
165	165	6000	400	120
166	166	6000	400	120
167	167	6000	400	120
168	168	6000	400	120
169	169	6000	400	120
170	170	6000	400	120
171	171	6000	400	120
172	172	6000	400	120
173	173	6000	400	120
174	174	6000	400	120
175	175	6000	400	120
176	176	6000	400	120
177	177	6000	400	120
178	178	6000	400	120
179	179	6000	400	120
180	180	6000	400	120
181	181	6000	400	120
182	182	6000	400	120
183	183	6000	400	120
184	184	6000	400	120
185	185	6000	400	120
186	186	6000	400	120
187	187	6000	400	120
188	188	6000	400	120
189	189	6000	400	120
190	190	6000	400	120
191	191	6000	400	120
192	192	6000	400	120
193	193	6000	400	120
194	194	6000	400	120
195	195	6000	400	120
196	196	6000	400	120
197	197	6000	400	120
198	198	6000	400	120
199	199	6000	400	120
200	200	6000	400	120
