流水	掉落库ID	红包个数	道具ID	生命时长（秒）
int	int	int	string	int
Id	DropBox	CradNum	ItemID	LifeTime
1	20011	10	item142000000001	43200
2	20012	10	item142000000002	43200
3	20013	15	item142000000003	43200
4	20014	20	item142000000004	43200
5	20012	10	item142000000005	43200
6	20012	10	item142000000006	43200
7	20013	15	item142000000007	43200
8	20014	20	item142000000008	43200
9	20012	10	item142000000009	43200
10	20013	15	item142000000010	43200
11	20014	20	item142000000011	43200
12	20011	10	item142000000012	43200
13	20013	15	item142000000013	43200
14	20011	10	item142000000014	43200
15	20013	15	item142000000015	43200
16	20012	10	item142000000016	43200
17	20013	15	item142000000017	43200
18	20014	20	item142000000018	43200
19	20011	10	item142000000019	43200
20	20011	10	item142000000020	43200
21	20011	10	item142000000021	43200
22	20012	10	item142000000022	43200
23	20012	10	item142000000023	43200
24	20012	10	item142000000024	43200
25	20013	15	item142000000025	43200
26	20012	10	item142000000026	43200
27	20012	10	item142000000027	43200
28	20012	10	item142000000028	43200
29	20013	15	item142000000029	43200
30	20011	10	item142000000030	43200
31	20011	10	item142000000031	43200
32	20011	10	item142000000032	43200
33	20014	20	item142000000202	43200
34	20013	15	item142000000203	43200
35	79002	20	item142100001101	43200
36	20014	20	item142000000033	43200
37	20014	20	item142000000034	43200
38	20014	20	item142000000035	43200
39	20014	20	item142000000036	43200
40	20014	20	item142000000037	43200
41	20014	20	item142000000038	43200
42	20014	20	item142000000039	43200
43	20014	20	item142000000040	43200
44	20014	20	item142000000041	43200
45	20014	20	item142000000042	43200
46	20014	20	item142000000043	43200
47	20014	20	item142000000044	43200
48	20014	20	item142000000045	43200
49	20014	20	item142000000046	43200
50	20012	10	item142000000047	43200
51	20012	10	item142000000048	43200
52	20012	10	item142000000049	43200
53	20012	10	item142000000050	43200
54	20012	10	item142000000051	43200
55	20012	10	item142000000052	43200
56	20014	20	item142000000053	43200
57	20014	20	item142000000054	43200
58	20012	10	item142000000055	43200
59	20012	10	item142000000056	43200
60	20012	10	item142000000057	43200
61	20012	10	item142000000058	43200
62	20012	10	item142000000059	43200
63	20012	10	item142000000060	43200
64	20012	10	item142000000061	43200
65	20012	10	item142000000062	43200
66	20012	10	item142000000063	43200
67	20012	10	item142000000064	43200
68	20012	10	item142000000065	43200
69	20012	10	item142000000066	43200
70	20012	10	item142000000067	43200
71	20012	10	item142000000068	43200
72	20012	10	item142000000069	43200
73	20012	10	item142000000070	43200
74	20012	10	item142000000071	43200
75	20012	10	item142000000072	43200
76	20012	10	item142000000073	43200
77	20012	10	item142000000074	43200
78	20012	10	item142000000075	43200
79	20012	10	item142000000076	43200
80	20012	10	item142000000077	43200
81	20012	10	item142000000078	43200
82	20012	10	item142000000079	43200
83	20012	10	item142000000080	43200
84	20012	10	item142000000081	43200
85	20012	10	item142000000082	43200
86	20012	10	item142000000083	43200
87	20012	10	item142000000084	43200
88	20012	10	item142000000085	43200
89	20012	10	item142000000086	43200
