流水id	模型组id	角色ID	展示类型	高模外观	模型展示缩放	模型展示位置偏移	模型初始展示角度	特效id	模型动作集	动作id	模型名字	是否调用程序旋转	轴点位置	轴点角度	转动一圈时间	是否显示影子	影子光源角度位置
int	int	string	int	string	float	vector3	vector3	string	int	int	string	bool	vector3	vector3	float	bool	vector3
Id	ZoneId	HeroId	Type	HighAvatar	ShowZoom	ShowPos	ShowAngle	Effect	ActionSet	Action	ModelName	IsCustomRotate	RotateCenter	RotateAxis	RotateDuration	EnableShadow	ShadowLightPos
1	1	hero101	1	c001h|weapon|c001h_weapon004_t1	1.300000	0.1,0.5,0	0		1002001	30	UI_FirstRecharge_ModelName1				0.000000		
2	1	hero102	1	c002h|weapon|c002h_weapon004_t1	2.900000	0,0.2,0	0		1001001	30	UI_FirstRecharge_ModelName2				0.000000		
3	1	hero103	1	c003h|weapon|c003h_weapon004_t1	1.000000	-0.1,0.5,0	0		1000001	30	UI_FirstRecharge_ModelName3				0.000000		
4	1	hero104	1	c004h|weapon|c004h_weapon004_t1	2.000000	0,0.4,0	0		1000001	30	UI_FirstRecharge_ModelName4				0.000000		
5	1	hero105	1	c005h|weapon|c005h_weapon004_t1	3.300000	0,0.6,0	0		1003001	30	UI_FirstRecharge_ModelName5				0.000000		
6	1	hero106	1	c006h|weapon|c006h_weapon006_t1	1.000000	0,0.6,0	0		1007001	30	UI_FirstRecharge_ModelName6				0.000000		
7	1	hero107	1	c003h|weapon|c003h_weapon004_t1	1.000000	0,0.5,0	0		1000001	30	UI_FirstRecharge_ModelName3				0.000000		
8	1	hero108	1	c004h|weapon|c004h_weapon004_t1	2.000000	0,0.4,0	0		1000001	30	UI_FirstRecharge_ModelName4				0.000000		
17	3	hero101	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1002001	30	UI_FirstRecharge_ModelName7				0.000000		
18	3	hero102	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1001001	30	UI_FirstRecharge_ModelName7				0.000000		
19	3	hero103	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1000001	30	UI_FirstRecharge_ModelName7				0.000000		
20	3	hero104	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1000001	30	UI_FirstRecharge_ModelName7				0.000000		
21	3	hero105	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1003001	30	UI_FirstRecharge_ModelName7				0.000000		
22	3	hero106	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1007001	30	UI_FirstRecharge_ModelName7				0.000000		
23	3	hero107	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1000001	30	UI_FirstRecharge_ModelName7				0.000000		
24	3	hero108	1	wing|backd005_t1	1.200000	0.15,0.55,0	10,210,0		1000001	30	UI_FirstRecharge_ModelName7				0.000000		
25	4	hero101	1	c001h|weapon|c001h_weapon014_t1	1.400000	0.1,0.5,0	0		0	0					0.000000		
26	4	hero102	1	c002h|weapon|c002h_weapon002_t1	3.200000	0,0.2,0	0		0	0					0.000000		
27	4	hero103	1	c003h|weapon|c003h_weapon003_t1	1.000000	-0.1,0.5,0	0		0	0					0.000000		
28	4	hero104	1	c004h|weapon|c004h_weapon003_t1	2.000000	0,0.4,0	0		0	0					0.000000		
29	4	hero105	1	c005h|weapon|c005h_weapon002_t1	3.300000	0,0.6,0	0		0	0					0.000000		
30	4	hero106	1	c006h|weapon|c006h_weapon003_t1	1.000000	0,-0,0	0		0	0					0.000000		
31	4	hero107	1	c003h|weapon|c003h_weapon003_t1	1.000000	0,0.5,0	0		0	0					0.000000		
32	4	hero108	1	c004h|weapon|c004h_weapon003_t1	2.000000	0,0.4,0	0		0	0					0.000000		
33	5	hero101	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
34	5	hero102	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
35	5	hero103	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
36	5	hero104	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
37	5	hero105	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
38	5	hero106	2	pet_176,2,1	0.500000	0,-0.2,0	0		0	0	UI_FirstRecharge_ModelName17				0.000000	1	100,286,200
