编号	等级	英雄	属性值ID	战力类型	战力计算
int	int	string	string	int	int
Id	HeroLv	HeroNameId	PropValueId	CPType	CPValue
1	1	hero101	10000	2	75
2	2	hero101	10001	2	150
3	3	hero101	10002	2	225
4	4	hero101	10003	2	300
5	5	hero101	10004	2	375
6	6	hero101	10005	2	450
7	7	hero101	10006	2	525
8	8	hero101	10007	2	600
9	9	hero101	10008	2	675
10	10	hero101	10009	2	750
11	11	hero101	10010	2	825
12	12	hero101	10011	2	900
13	13	hero101	10012	2	975
14	14	hero101	10013	2	1050
15	15	hero101	10014	2	1125
16	16	hero101	10015	2	1200
17	17	hero101	10016	2	1275
18	18	hero101	10017	2	1350
19	19	hero101	10018	2	1425
20	20	hero101	10019	2	1500
21	21	hero101	10020	2	1575
22	22	hero101	10021	2	1650
23	23	hero101	10022	2	1725
24	24	hero101	10023	2	1800
25	25	hero101	10024	2	1875
26	26	hero101	10025	2	1950
27	27	hero101	10026	2	2025
28	28	hero101	10027	2	2100
29	29	hero101	10028	2	2175
30	30	hero101	10029	2	2250
31	31	hero101	10030	2	2325
32	32	hero101	10031	2	2400
33	33	hero101	10032	2	2475
34	34	hero101	10033	2	2550
35	35	hero101	10034	2	2625
36	36	hero101	10035	2	2700
37	37	hero101	10036	2	2775
38	38	hero101	10037	2	2850
39	39	hero101	10038	2	2925
40	40	hero101	10039	2	3000
41	41	hero101	10040	2	3075
42	42	hero101	10041	2	3150
43	43	hero101	10042	2	3225
44	44	hero101	10043	2	3300
45	45	hero101	10044	2	3375
46	46	hero101	10045	2	3450
47	47	hero101	10046	2	3525
48	48	hero101	10047	2	3600
49	49	hero101	10048	2	3675
50	50	hero101	10049	2	3750
51	51	hero101	10050	2	3825
52	52	hero101	10051	2	3900
53	53	hero101	10052	2	3975
54	54	hero101	10053	2	4050
55	55	hero101	10054	2	4125
56	56	hero101	10055	2	4200
57	57	hero101	10056	2	4275
58	58	hero101	10057	2	4350
59	59	hero101	10058	2	4425
60	60	hero101	10059	2	4500
61	61	hero101	10060	2	4575
62	62	hero101	10061	2	4650
63	63	hero101	10062	2	4725
64	64	hero101	10063	2	4800
65	65	hero101	10064	2	4875
66	66	hero101	10065	2	4950
67	67	hero101	10066	2	5025
