头衔等级	等级名称	经验	所属段位（高段位用美术资源）	头衔界面徽章图标	头衔文本颜色	坐标点	头衔属性	头衔奖励	每日奖励	奖励展示图标	奖励展示类型	奖励展示模型id	模型展示缩放	模型展示位置偏移	模型初始展示角度	是否公会新闻
int	string	int	string	string	string	int	string	string	string	string	int	string	float	string	int	bool
Id	Name	Exp	Rank	Icon	RankTextColor	OffsetY	Prop	Reward	DailyReward	RewardShowIcon	ShowType	ShowModel	ShowZoom	ShowPos	ShowAngle	IsGuildNews
1	heroroad_level1	10	heroroad_rank_01	achievement_task	229,250,227;11,169,95	0	4,10		item1000,20000		0		0.000000		0	0
2	heroroad_level2	30	heroroad_rank_01	achievement_task	229,250,227;11,169,95	100	3,10;4,10		item1000,25000		0		0.000000		0	0
3	heroroad_level3	60	heroroad_rank_01	achievement_task	229,250,227;11,169,95	0	1,100;3,10;4,10;11,200	item130000040301,1	item1000,30000	equip_130000040301	1	fashion_100401	1.000000	0,0	180	0
4	heroroad_level4	120	heroroad_rank_02	achievement_dungeon	229,250,227;23,126,185	-100	1,100;3,30;4,10;11,200		item1000,35000		0		0.000000		0	0
5	heroroad_level5	220	heroroad_rank_02	achievement_dungeon	229,250,227;23,126,185	-50	1,100;3,30;4,30;11,200		item1000,40000		0		0.000000		0	0
6	heroroad_level6	360	heroroad_rank_02	achievement_dungeon	229,250,227;23,126,185	0	1,300;3,30;4,30;11,400	item107200041001,20	item1000,45000	item_107200042001	4	item107200042001	0.000000		0	0
7	heroroad_level7	550	heroroad_rank_03	achievement_cp	230,251,244;75,67,152	50	1,300;3,60;4,30;11,400		item1000,50000		0		0.000000		0	0
8	heroroad_level8	740	heroroad_rank_03	achievement_cp	230,251,244;75,67,152	100	1,300;3,60;4,60;11,400		item1000,55000		0		0.000000		0	0
9	heroroad_level9	930	heroroad_rank_03	achievement_cp	230,251,244;75,67,152	50	1,600;3,60;4,60;11,600	item130000040304,1	item1000,60000	equip_130000040304	1	fashion_100404	1.000000	0,0	180	0
10	heroroad_level10	1280	heroroad_rank_04	achievement_arena	230,246,251;147,7,132	0	1,600;3,110;4,60;11,600		item1000,65000;item101200000016,20		0		0.000000		0	0
11	heroroad_level11	1630	heroroad_rank_04	achievement_arena	230,246,251;147,7,132	-50	1,600;3,110;4,110;11,600		item1000,70000;item101200000016,20		0		0.000000		0	0
12	heroroad_level12	1980	heroroad_rank_04	achievement_arena	230,246,251;147,7,132	0	1,1100;3,110;4,110;11,800	item103010131001,50	item1000,75000;item101200000016,20	item_103010121009	4	item103010131001	0.000000		0	0
13	heroroad_level13	2520	heroroad_rank_05	heroroad_title05	226,229,245;243,132,1	-50	1,1100;3,170;4,110;11,800		item1000,80000;item101200000016,20		0		0.000000		0	0
14	heroroad_level14	3060	heroroad_rank_05	heroroad_title05	226,229,245;243,132,1	0	1,1100;3,170;4,170;11,800		item1000,85000;item101200000016,20		0		0.000000		0	0
15	heroroad_level15	3600	heroroad_rank_05	heroroad_title05	226,229,245;243,132,1	50	1,1700;3,170;4,170;11,1000	item8101020503004,1	item1000,90000;item101200000016,20	m904_portrait01	3	pet_131	0.700000	0,0.1	160	0
16	heroroad_level16	4370	heroroad_rank_06	achievement_level	226,229,245;219,85,12	0	1,1700;3,240;4,170;11,1000		item1000,95000;item101200000016,20		0		0.000000		0	0
17	heroroad_level17	5140	heroroad_rank_06	achievement_level	226,229,245;219,85,12	50	1,1700;3,240;4,240;11,1000		item1000,100000;item101200000016,20		0		0.000000		0	0
18	heroroad_level18	5910	heroroad_rank_06	achievement_level	226,229,245;219,85,12	100	1,2400;3,240;4,240;11,1200	item107200051001,15	item1000,105000;item101200000016,20	item_107200051001	4	item107200051001	0.000000		0	0
19	heroroad_level19	6940	heroroad_rank_07	heroroad_title07	233,226,245;200,34,73	50	1,2400;3,320;4,240;11,1200		item1000,110000;item101200000016,20		0		0.000000		0	0
20	heroroad_level20	7970	heroroad_rank_07	heroroad_title07	233,226,245;200,34,73	0	1,2400;3,320;4,320;11,1200		item1000,115000;item101200000016,20		0		0.000000		0	0
21	heroroad_level21	9000	heroroad_rank_07	heroroad_title07	233,226,245;200,34,73	50	1,3200;3,320;4,320;11,1400	item8103010111018,10	item1000,120000;item101200000016,20	item_103010111018	4	item8103010111018	0.000000		0	0
22	heroroad_level22	10450	heroroad_rank_08	achievement_equip	233,226,245;169,37,33	0	1,3200;3,410;4,320;11,1400		item1000,125000;item101200000016,20		0		0.000000		0	0
23	heroroad_level23	11900	heroroad_rank_08	achievement_equip	233,226,245;169,37,33	50	1,3200;3,410;4,410;11,1400		item1000,130000;item101200000016,20		0		0.000000		0	0
24	heroroad_level24	13350	heroroad_rank_08	achievement_equip	233,226,245;169,37,33	100	1,4100;3,410;4,410;11,1600	item107200052001,10	item1000,135000;item101200000016,20	item_107200052001	4	item107200052001	0.000000		0	0
25	heroroad_level25	15300	heroroad_rank_09	heroroad_title09	233,226,245;169,37,33	50	1,4100;3,510;4,410;11,1600		item1000,140000;item101200000016,20		0		0.000000		0	0
26	heroroad_level26	17250	heroroad_rank_09	heroroad_title09	233,226,245;169,37,33	0	1,4100;3,510;4,510;11,1600		item1000,145000;item101200000016,20		0		0.000000		0	0
27	heroroad_level27	19200	heroroad_rank_09	heroroad_title09	233,226,245;169,37,33	-50	1,5100;3,510;4,510;11,1800	item107300000002,20	item1000,150000;item101200000016,20	item_107300000002	4	item107300000002	0.000000		0	0
28	heroroad_level28	21800	heroroad_rank_10	heroroad_title10	245,226,240;169,37,33	0	1,5100;3,630;4,510;11,1800		item1000,155000;item101200000016,20		0		0.000000		0	0
29	heroroad_level29	25100	heroroad_rank_10	heroroad_title10	245,226,240;169,37,33	50	1,5100;3,630;4,630;11,1800		item1000,160000;item101200000016,20		0		0.000000		0	0
30	heroroad_level30	29100	heroroad_rank_10	heroroad_title10	245,226,240;169,37,33	100	1,6300;3,630;4,630;11,2000	item8103010111020,1	item1000,165000;item101200000016,20	item_103010111020	4	item8103010111020	0.000000		0	0
31	heroroad_level31	34500	heroroad_rank_11	heroroad_title11		50	1,6300;3,770;4,630;11,2000		item1000,170000;item101200000016,20		0		0.000000		0	0
32	heroroad_level32	40900	heroroad_rank_11	heroroad_title11		0	1,6300;3,770;4,770;11,2000		item1000,175000;item101200000016,20		0		0.000000		0	0
33	heroroad_level33	48300	heroroad_rank_11	heroroad_title11		-50	1,7700;3,770;4,770;11,2200	item140000011013,1	item1000,180000;item101200000016,20	frame13	4	item140000011013	0.000000		0	0
34	heroroad_level34	54700	heroroad_rank_12	heroroad_title12		0	1,7700;3,770;4,920;11,2200		item1000,185000;item101200000016,20		0		0.000000		0	0
35	heroroad_level35	61400	heroroad_rank_12	heroroad_title12		50	1,7700;3,920;4,920;11,2200		item1000,190000;item101200000016,20		0		0.000000		0	0
36	heroroad_level36	69800	heroroad_rank_12	heroroad_title12		100	1,9200;3,920;4,920;11,2400	item140000011026,1	item1000,195000;item101200000016,20	frame29	4	item140000011026	0.000000		0	0
37	heroroad_level37	75800	heroroad_rank_13	heroroad_title13		0	1,9200;3,920;4,1080;11,2400		item1000,200000;item101200000016,20		0		0.000000		0	0
38	heroroad_level38	82300	heroroad_rank_13	heroroad_title13		-50	1,9200;3,1080;4,1080;11,2400		item1000,205000;item101200000016,20		0		0.000000		0	0
39	heroroad_level39	92500	heroroad_rank_13	heroroad_title13		0	1,10800;3,1080;4,1080;11,2600	item140000021016,1	item1000,210000;item101200000016,20	item_140000021016	4	item140000021016	0.000000		0	0
40	heroroad_level40	98900	heroroad_rank_14	heroroad_title14		-50	1,10800;3,1080;4,1250;11,2600		item1000,215000;item101200000016,20		0		0.000000		0	0
41	heroroad_level41	107900	heroroad_rank_14	heroroad_title14		0	1,10800;3,1250;4,1250;11,2600		item1000,220000;item101200000016,20		0		0.000000		0	0
42	heroroad_level42	118900	heroroad_rank_14	heroroad_title14		50	1,12500;3,1250;4,1250;11,2800	item140000003049,1	item1000,225000;item101200000016,20	job2042	4	item140000003049	0.000000		0	0
43	heroroad_level43	125900	heroroad_rank_15	heroroad_title15		100	1,12500;3,1250;4,1430;11,2800		item1000,230000;item101200000016,20		0		0.000000		0	0
44	heroroad_level44	135900	heroroad_rank_15	heroroad_title15		0	1,12500;3,1430;4,1430;11,2800		item1000,235000;item101200000016,20		0		0.000000		0	0
45	heroroad_level45	148700	heroroad_rank_15	heroroad_title15		-50	1,14300;3,1430;4,1430;11,3000	item141000002130,1	item1000,240000;item101200000016,20	item_141000002130	4	item141000002130	0.000000		0	0
46	heroroad_level46	156900	heroroad_rank_16	heroroad_title16		100	1,14300;3,1430;4,1620;11,3000		item1000,245000;item101200000016,20		0		0.000000		0	0
47	heroroad_level47	167400	heroroad_rank_16	heroroad_title16		0	1,14300;3,1620;4,1620;11,3000		item1000,250000;item101200000016,20		0		0.000000		0	0
48	heroroad_level48	182400	heroroad_rank_16	heroroad_title16		-50	1,16200;3,1620;4,1620;11,3200	item140000004045,1	item1000,255000;item101200000016,20	job2054	4	item140000004045	0.000000		0	0
