目标ID	归属大类	大类文本	大类图片	大类解锁等级	大类背景图	子标签	子标签文本	归属难度	难度文本	难度解锁等级	目标名称	目标图标	图标类型	坐标点	推荐等级	奖励道具	目标任务1
int	int	string	string	int	string	int	string	int	string	int	string	string	int	vector2	int	string	string
Id	Type	TypeText	TypePicture	UnlockType	Background	SubTab	SubTabText	Level	LevelText	UnlockLevel	TargetName	TargetIcon	IconType	TargetPos	RecommendLevel	RewardItem	TaskID
1	1	HeroRoadType_01	btn_hr_02	1	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_01	JobPotrait_sp01	1	110,130	10	item5001,10;item1014,20;item107999900001,5	2010101
2	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_02	p014_portrait01	1	240,167	10	item5001,10;item1014,20;item8101020506999,1	2010102
3	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_03	r011_portrait01	1	370,170	10	item5001,20;item1014,20;item1000,50000	2010103
4	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_04	r012_portrait01	1	500,130	10	item5001,20;item1014,20;item105000000030,5	2010104
5	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_05	JobPotrait_sp06	1	500,-15	10	item5001,40;item1014,20;item105000000031,2	2010105
6	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_06	m014_portrait01	1	360,0	10	item5001,40;item1014,20;item8100000000012,2	2010106
7	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_07	n018_portrait01	1	220,18	10	item5001,60;item1014,20;unidfequip307040230999,1	2010107
8	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_08	n055_portrait01	1	100,-15	10	item5001,60;item1014,20;item8119100000000,1	2010108
9	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_09	n028_portrait01	1	110,-150	10	item5001,80;item1014,20;item101040101015,5	2010109
10	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_10	n033_portrait01	1	250,-168	10	item5001,80;item1014,20;item8100000000012,3	2010110
11	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		1	HeroRoadTargeLevel_01	1	TargetName_11	n904_portrait01	1	400,-138	10	item5001,100;item1014,20;item105000000073,1	2010111,2010201
12	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_12	n054_portrait01	1	110,130	10	item5001,100;item1014,30;item107999900001,10	2010112
13	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_13	n029_portrait01	1	240,167	10	item5001,150;item1014,30;item8101020504800,2	2010113
14	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_14	n015_portrait01	1	370,170	10	item5001,150;item1014,30;item101040101072,5	2010114
15	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_15	n052_portrait01	1	500,130	10	item5001,200;item1014,30;item107200042001,5	2010115
16	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_16	n002_portrait01	1	500,-15	10	item5001,200;item1014,30;item1000,200000	2010116
17	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_17	n902_portrait01	1	360,0	10	item5001,250;item1014,30;item161000000002,1	2010117
18	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_18	n037_portrait03	1	220,18	10	item5001,250;item1014,30;item8101020504901,2	2010118
19	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_19	n059_portrait01	1	100,-15	10	item5001,300;item1014,30;item8100000000012,5	2010119
20	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_20	n900_portrait01	1	110,-150	10	item5001,300;item1014,30;item107300000001,5	2010120
21	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_21	n055_portrait01	1	250,-168	10	item5001,350;item1014,30;item8119100000001,1	2010121
22	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		2	HeroRoadTargeLevel_02	30	TargetName_22	n905_portrait01	1	400,-138	10	item5001,350;item1014,30;item107999900002,5	2010122,2010202
23	1	HeroRoadType_01	btn_hr_02	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_03	40	TargetName_23	n016_portrait01	1	110,130	10	item5001,400;item1014,40;item8103010111017,15	2010123
