流水	奖励道具	归属大类	子标签	归属难度	坐标点
int	string	int	int	int	vector2
Id	RewardItem	Type	SubTab	Level	TargetPos
1	item5001,180;item1001,2000	1	0	1	500,-250
2	item5001,720;item1001,3000	1	0	2	500,-250
3	item5001,1140;item1001,4000	1	0	3	500,-250
4	item5001,1600;item1001,5000	1	0	4	500,-250
17	item5001,2400;item1001,8000	1	0	5	500,-250
21	item5001,3200;item1001,12000	1	0	6	500,-250
22	item5001,4000;item1001,16000	1	0	7	500,-250
23	item5001,5000;item1001,20000	1	0	8	500,-250
24	item5001,6000;item1001,24000	1	0	9	500,-250
25	item5001,7000;item1001,30000	1	0	10	500,-250
5	item5001,60;item1001,2000	2	0	1	500,-250
6	item5001,90;item1001,3000	2	0	2	500,-250
7	item5001,120;item1001,4000	2	0	3	500,-250
8	item5001,150;item1001,5000	2	0	4	500,-250
18	item5001,200;item1001,8000	2	0	5	500,-250
9	item5001,60;item1001,2000	3	0	1	500,-250
10	item5001,90;item1001,3000	3	0	2	500,-250
11	item5001,120;item1001,4000	3	0	3	500,-250
12	item5001,150;item1001,5000	3	0	4	500,-250
19	item5001,200;item1001,8000	3	0	5	500,-250
13	item5001,60;item1001,2000	4	0	1	500,-250
14	item5001,90;item1001,3000	4	0	2	500,-250
15	item5001,120;item1001,4000	4	0	3	500,-250
16	item5001,150;item1001,5000	4	0	4	500,-250
20	item5001,200;item1001,8000	4	0	5	500,-250
