键值	数值
string	string
Key	Value
HomeLandGridSize	0.75
HLOrderHelperNum	3
HomeLandOrderHelpCD	30
HomeLandOrderCD	180
HomeLandOrderClearCDTime	600
HomeLandOrderClearCDCost	3,2
HomeLandBagInitialCapacity	100
HomeLandReceivePlantIcon	homeland_sickle
HomeLandNpcBornPos	73.2,-3.4,21.3
HomeLandNpcLeavePos	78.3,-2.8,-30.2
HomeLandRegionGridding	1,40,80,30.8,0.24,-48,-90;2,38,38,-20.432,0.7,-12.168,0
HomeLandMoveResponsTime	0.6
HomeLandMoveSpeed	10
HomeLandOrderNpcPos	63.3,0.0,-14.1;66.1,-0.3,-14.2;69.5,-1.1,-14.1;72.0,-1.6,-14.0;74.3,-2.0,-13.9
HomeLandOrderNpcOrientation	270;270;270;270;270
HomeLandNpcMoveSpeed	3
HomeLandSceneID	41
HomeLandSceneMaxFairyNum	0
HomeLandSceneRegion	0,0,9,12;0,12,9,24;10,0,19,12;10,13,19,24
HomeLandFairyMoveSpeedCoefficient	0.6
HomeLandLeaveHousePos	-6.6,0.7,-26.6,180
HomeLandDefaultHouse	8001
HomeLandDefaultHedge	10001
HomeLandDefaultHouseFloor	
HomeLandDefaultHouseWall	
HomeLandDefaultLandHouse	9001
HLGroundEditPitchDownAngle	60
HLGroundEditMinHeight	10
HLGroundEditMaxHeight	35
HLGroundEditDefaultHeight	15
HLGroundEditViewRange	-27,47,-40,1.1
HLFloorEditPitchDownAngle	35
HLFloorEditMinHeight	5
HLFloorEditMaxHeight	25
HLFloorEditDefaultHeight	15
HLFloorEditViewRange	-4.9,5,-5,1.7,8.8
HLWallEditMinDistance	2
HLWallEditMaxDistance	15
HLWallEditDefaultDistance	10
HLWallEditDistanceElasticRange	2
HLWallEditViewRange	
EditCameraAnimTime	1.5
EditRotateAnimTime	1
HLFloorEditCenterHeight	
EditOffsetY	1
HousePosition	0,0,0
IslandHousePosition	-6.592812,0.7046876,-26
YardWallPosition	-4.631874,0.6187501,-22.97625
EditCreateAnimPunch	0.2,-0.2,0.2
EditCreateAnimDuration,	0.45
EditCreateAnimVibrato,	8
EditCreateAnimElasticity	0.6
EditAnimPickDuration	0.1
EditFinishAnimPunch	0.2,-0.2,0.2
EditFinishAnimDuration	0.45
EditFinishAnimVibrato	8
EditFinishAnimElasticity	0.3
EditFinishDropDuration	0.05
HLBusinessmanRewardTimes	5
HLBusinessmanReward	84007
HLBusinessmanRewardShow	item144321000003,5
HLBusinessmanSpecialWeightNum	5
HLBusinessmanAppearChance	2000
HLBusinessmanAppearTimes	1
HLBusinessmanMaxPlayTimes	2
HLBusinessmanTask	32000020
HLVisitMainPlayerMapName	home_island01
HLVisitRandomMapNameList	home_island02,home_island03,home_island04,home_island05,home_island06
HLVisitRandomDecoNameList	home_island_deco01,home_island_deco02,home_island_deco03,home_island_deco04
HLVisitMaxDecorateNum	3
HLVisitFriendMoveDuration	1
HLVisitCloudMoveInDuration	0.2
HLVisitCloudMoveOutDuration	0.7
HLVisitPointPathDuration	0.5
HLBusinessmanNpcId	npc_homeland_businessman
HLBusinessmanPos	66.5,-0.5,-8.2,71.2
HLBusinessmanMaxAssist	6
HLBusinessmanLifeTime	10800
HLDailyLogMaxTips	100
FadeNearWallGridNum	3
FadeObjectGridWidth	3
FadeObjectHeight	3
FadeObjectAlpha	0.2
FadeObjectAngle	60
HLWeedRewardMail	mail_homeland_monsterreward
HLMonsterRewardMail	mail_homeland_monsterweed
HLBusinessmanAssistRewardMail	mail_homeland_businessmanreward
FarmDoorCollideRect	9.1,-24.1,1.6,6,0
FarmDoorAvatarRect	9.1,0.7,-24.1,270
HLDailyTaskRefreshNum	3
MirrorActiveRange	5
HomelandApprenticeTalent	item4401
