流水	工厂id	生产项id	消耗物品	产出物	生产时间	获得家园经验
int	int	int	string	int	int	int
Id	FactoryId	ProductionId	Cost	OutPutId	ProductTime	HomeLandExp
1	6001	1	4001,2	4601	120	2
2	6001	2	4101,2;4301,1	4603	240	2
3	6001	3	4002,1;4201,2;4501,1	4605	600	2
4	6001	4	4001,2;4201,2;4301,2	4606	1200	2
5	6001	5	4002,1;4301,1;4502,1	4604	1800	2
6	6001	6	4005,1;4503,1	4602	2700	2
7	6002	1	4003,1	4501	420	2
8	6002	2	4003,2	4502	960	2
9	6002	3	4003,3	4503	1620	2
10	6002	4	4003,4	4504	2400	2
11	6003	1	4201,1	4401	120	2
12	6003	2	4201,2	4402	300	2
13	6003	3	4201,3	4403	600	2
14	6003	4	4201,4	4404	1200	2
15	6004	1	4004,2	4701	180	2
16	6004	2	4004,1;4201,1;4301,1	4704	300	2
17	6004	3	4001,1;4201,1;4501,1	4703	600	2
18	6004	4	4001,1;4201,2;4502,1	4706	1200	2
19	6004	5	4001,1;4005,1;4503,1	4702	1800	2
20	6004	6	4005,1;4201,1;4504,1	4705	2700	2
