动物id	动物类型	饲料	饲料数量	产出牧产品id	产出牧产品数量	产出CD	收集图标	获得家园经验	状态2使用动作走	状态2使用动作	移动速度
int	int	int	int	int	int	int	string	int	int	int	float
AnimalId	AnimalType	Fodder	FodderCount	OutPutId	OutPutCount	CD	ReceiveIcon	HomeLandExp	ActionMove	ActionFunction	MoveSpeed
3001	1	4001	1	4101	1	120	homeland_basket	2	803	804	1.000000
3002	1	4001	1	4101	1	120	homeland_basket	2	803	804	1.000000
3003	1	4001	1	4101	1	120	homeland_basket	2	803	804	1.000000
3004	1	4001	1	4101	1	120	homeland_basket	2	803	804	1.000000
3005	1	4001	1	4101	1	120	homeland_basket	2	803	804	1.000000
3011	2	4002	1	4201	1	180	homeland_bucket	2	803	804	0.500000
3012	2	4002	1	4201	1	180	homeland_bucket	2	803	804	0.500000
3013	2	4002	1	4201	1	180	homeland_bucket	2	803	804	0.500000
3014	2	4002	1	4201	1	180	homeland_bucket	2	803	804	0.500000
3015	2	4002	1	4201	1	180	homeland_bucket	2	803	804	0.500000
3021	3	4004	1	4301	1	300	homeland_collect	2	803	804	0.500000
3022	3	4004	1	4301	1	300	homeland_collect	2	803	804	0.500000
3023	3	4004	1	4301	1	300	homeland_collect	2	803	804	0.500000
3024	3	4004	1	4301	1	300	homeland_collect	2	803	804	0.500000
3025	3	4004	1	4301	1	300	homeland_collect	2	803	804	0.500000
