区域ID	房型id	平面id	平面类型	起始格子	行数	列数	节点名称
int	int	int	int	vector3	int	int	string
Id	ObjectId	PlaneId	PlaneType	StartPos	Row	Column	NodeName
1001	8001	1	0	-3.75,0,8.35	10	10	JY_dimian_001
1024	8001	2	1	-3.75,0,0.87	3	3	JY_qiangF_001
1003	8001	3	1	1.5,0,0.87	3	3	JY_qiangF_001
1004	8001	4	2	-3.75,0,0.85	3	10	JY_qiangL_001
1002	8001	5	3	-3.75,0,8.35	3	10	JY_qiangB_001
1005	8001	6	4	3.75,0,0.85	3	10	JY_qiangR_001
1006	8002	1	0	-4.5,0,9.59	12	12	JY_house_002_inner_floor
1007	8002	2	1	-4.5,0,0.6	3	4	JY_house_002_inner_F
1008	8002	3	1	1.5,0,0.6	3	4	JY_house_002_inner_F
1009	8002	4	2	-4.5,0,0.6	3	12	JY_house_002_inner_L
1010	8002	5	3	-4.5,0,9.59	3	12	JY_house_002_inner_B
1011	8002	6	4	4.5,0,0.6	3	12	JY_house_002_inner_R
1012	8003	1	0	-7.498,0,10.402	12	20	JY_house_003_inner/JY_house_003_inner_floor
1013	8003	2	1	1.502,0,1.402	3	8	JY_house_003_inner/JY_house_003_inner_F
1014	8003	3	1	-7.498,0,1.402	3	8	JY_house_003_inner/JY_house_003_inner_F
1015	8003	4	2	-7.498,0,1.402	3	12	JY_house_003_inner/JY_house_003_inner_L
1016	8003	5	3	-7.498,0,10.402	3	20	JY_house_003_inner/JY_house_003_inner_B
1017	8003	6	4	7.49,0,1.402	3	12	JY_house_003_inner/JY_house_003_inner_R
1018	8004	1	0	-10.95,0.31,17.33	23	29	JY_house_004_floor
1019	8004	2	1	1.17,0.51,0	4	13	JY_house_004_wall_front_R
1020	8004	3	1	-11.13,0.51,0	4	13	JY_house_004_wall_front_L
1021	8004	4	2	-11.13,0.51,0	4	23	JY_house_004_wall_left
1022	8004	5	3	-11.13,0.51,17.33	4	29	JY_house_004_wall_back
1023	8004	6	4	10.93,0.51,0	4	23	JY_house_004_wall_right
