ID	场景	世界等级小	世界等级大	难度	展示怪物组	界面展示怪物缩放	对应坐标组	奖励展示	boss描述	击杀个人积分	击杀服务器积分	伤害达标服务器积分
int	int	int	int	int	string	float	string	string	string	int	int	int
Id	Scene	WorldLevelMin	WorldLevelMax	BossDifficulty	MonsterId	MonsterScale	RefreshPosition	Reward	BossDes	PersonalKillScore	SeverKillScore	SeverDmgScore
1	53	1	40	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	100
2	54	1	40	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	100
3	55	1	40	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	100
4	56	1	40	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	100
5	57	1	40	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	100
6	53	41	50	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	100
7	54	41	50	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	100
8	55	41	50	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	100
9	56	41	50	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	100
10	57	41	50	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	100
11	53	51	60	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	100
12	54	51	60	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	100
13	55	51	60	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	100
14	56	51	60	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	100
15	57	51	60	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	100
16	53	61	70	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	100
17	54	61	70	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	100
18	55	61	70	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	100
19	56	61	70	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	100
