流水	铭文id	铭文名称	铭文描述	铭文等级	铭文品质	属性类型	BuffID	属性ID	Buff等级	评分计算类型	评分计算参数
int	int	string	string	int	int	int	string	string	int	int	int
Id	InscriptionId	Name	Des	Level	Rare	Type	BuffId	PropId	BuffLevel	CPType	CPValue
1	100201	MagicName_100201	MagicDes_100201	1	2	1		1500000201	0	2	65
2	100201	MagicName_100201	MagicDes_100201	2	2	1		1500000202	0	2	125
3	100201	MagicName_100201	MagicDes_100201	3	2	1		1500000203	0	2	187
4	100201	MagicName_100201	MagicDes_100201	4	2	1		1500000204	0	2	250
5	100202	MagicName_100202	MagicDes_100202	1	2	1		1500000205	0	2	65
6	100202	MagicName_100202	MagicDes_100202	2	2	1		1500000206	0	2	125
7	100202	MagicName_100202	MagicDes_100202	3	2	1		1500000207	0	2	187
8	100202	MagicName_100202	MagicDes_100202	4	2	1		1500000208	0	2	250
9	100203	MagicName_100203	MagicDes_100203	1	2	1		1500000209	0	2	65
10	100203	MagicName_100203	MagicDes_100203	2	2	1		1500000210	0	2	125
11	100203	MagicName_100203	MagicDes_100203	3	2	1		1500000211	0	2	187
12	100203	MagicName_100203	MagicDes_100203	4	2	1		1500000212	0	2	250
13	100204	MagicName_100204	MagicDes_100204	1	2	1		1500000213	0	2	56
14	100204	MagicName_100204	MagicDes_100204	2	2	1		1500000214	0	2	112
15	100204	MagicName_100204	MagicDes_100204	3	2	1		1500000215	0	2	168
16	100204	MagicName_100204	MagicDes_100204	4	2	1		1500000216	0	2	225
17	100205	MagicName_100205	MagicDes_100205	1	2	1		1500000217	0	2	56
18	100205	MagicName_100205	MagicDes_100205	2	2	1		1500000218	0	2	112
19	100205	MagicName_100205	MagicDes_100205	3	2	1		1500000219	0	2	168
20	100205	MagicName_100205	MagicDes_100205	4	2	1		1500000220	0	2	225
21	100206	MagicName_100206	MagicDes_100206	1	2	1		1500000221	0	2	50
22	100206	MagicName_100206	MagicDes_100206	2	2	1		1500000222	0	2	100
23	100206	MagicName_100206	MagicDes_100206	3	2	1		1500000223	0	2	150
24	100206	MagicName_100206	MagicDes_100206	4	2	1		1500000224	0	2	200
25	100301	MagicName_100301	MagicDes_100301	1	3	1		1500000301	0	2	260
26	100301	MagicName_100301	MagicDes_100301	2	3	1		1500000302	0	2	390
27	100301	MagicName_100301	MagicDes_100301	3	3	1		1500000303	0	2	520
28	100301	MagicName_100301	MagicDes_100301	4	3	1		1500000304	0	2	650
29	100302	MagicName_100302	MagicDes_100302	1	3	1		1500000305	0	2	260
30	100302	MagicName_100302	MagicDes_100302	2	3	1		1500000306	0	2	390
31	100302	MagicName_100302	MagicDes_100302	3	3	1		1500000307	0	2	520
32	100302	MagicName_100302	MagicDes_100302	4	3	1		1500000308	0	2	650
33	100303	MagicName_100303	MagicDes_100303	1	3	1		1500000309	0	2	260
34	100303	MagicName_100303	MagicDes_100303	2	3	1		1500000310	0	2	390
35	100303	MagicName_100303	MagicDes_100303	3	3	1		1500000311	0	2	520
36	100303	MagicName_100303	MagicDes_100303	4	3	1		1500000312	0	2	650
37	100304	MagicName_100304	MagicDes_100304	1	3	1		1500000313	0	2	250
38	100304	MagicName_100304	MagicDes_100304	2	3	1		1500000314	0	2	375
39	100304	MagicName_100304	MagicDes_100304	3	3	1		1500000315	0	2	500
40	100304	MagicName_100304	MagicDes_100304	4	3	1		1500000316	0	2	625
41	100305	MagicName_100305	MagicDes_100305	1	3	1		1500000317	0	2	250
42	100305	MagicName_100305	MagicDes_100305	2	3	1		1500000318	0	2	375
43	100305	MagicName_100305	MagicDes_100305	3	3	1		1500000319	0	2	500
44	100305	MagicName_100305	MagicDes_100305	4	3	1		1500000320	0	2	625
45	100306	MagicName_100306	MagicDes_100306	1	3	1		1500000321	0	2	240
46	100306	MagicName_100306	MagicDes_100306	2	3	1		1500000322	0	2	360
47	100306	MagicName_100306	MagicDes_100306	3	3	1		1500000323	0	2	480
48	100306	MagicName_100306	MagicDes_100306	4	3	1		1500000324	0	2	600
49	100401	MagicName_100401	MagicDes_100401	1	4	1		1500000401	0	2	480
