编号	掉落库ID	铭文id	出现概率
int	int	int	int
Id	DropBoxId	KeyId	Probability
1	1001	100201	666
2	1001	100202	666
3	1001	100203	666
4	1001	100204	1875
5	1001	100205	1875
6	1001	100206	4252
7	1002	100201	977
8	1002	100202	977
9	1002	100203	977
10	1002	100204	1465
11	1002	100205	1465
12	1002	100206	2940
13	1002	100301	133
14	1002	100302	133
15	1002	100303	133
16	1002	100304	200
17	1002	100305	200
18	1002	100306	400
19	1003	100201	753
20	1003	100202	753
21	1003	100203	753
22	1003	100204	1129
23	1003	100205	1129
24	1003	100206	2259
25	1003	100301	286
26	1003	100302	286
27	1003	100303	286
28	1003	100304	435
29	1003	100305	435
30	1003	100306	870
31	1003	100401	69
32	1003	100402	69
33	1003	100403	69
34	1003	100404	104
35	1003	100405	104
36	1003	100406	209
37	2001	100201	666
38	2001	100202	666
39	2001	100203	666
40	2001	100204	1875
41	2001	100205	1875
42	2001	100206	4252
43	2002	100201	887
44	2002	100202	887
45	2002	100203	887
46	2002	100204	1335
47	2002	100205	1335
48	2002	100206	2670
49	2002	100301	220
50	2002	100302	220
51	2002	100303	220
52	2002	100304	335
53	2002	100305	335
54	2002	100306	670
55	2003	100201	500
56	2003	100202	500
57	2003	100203	500
58	2003	100204	750
59	2003	100205	750
60	2003	100206	1500
61	2003	100301	470
62	2003	100302	470
63	2003	100303	470
64	2003	100304	710
65	2003	100305	710
66	2003	100306	1420
67	2003	100401	136
68	2003	100402	137
69	2003	100403	137
70	2003	100404	210
71	2003	100405	210
72	2003	100406	420
73	2004	100301	500
74	2004	100302	500
75	2004	100303	500
76	2004	100304	900
77	2004	100305	900
78	2004	100306	2700
79	2004	100401	334
80	2004	100402	334
81	2004	100403	334
82	2004	100404	500
83	2004	100405	500
84	2004	100406	1000
85	2004	100501	82
86	2004	100502	83
87	2004	100503	83
88	2004	100504	150
89	2004	100505	150
90	2004	100506	225
91	2004	100507	225
92	100201	100201	1017
93	100201	100202	1017
94	100201	100203	1017
95	100201	100204	1526
96	100201	100205	1526
97	100201	100206	3064
98	100201	100304	208
99	100201	100305	208
100	100201	100306	416
101	100301	100201	785
102	100301	100202	785
103	100301	100203	785
104	100301	100204	1178
105	100301	100205	1178
106	100301	100206	2359
107	100301	100301	299
108	100301	100302	299
109	100301	100303	299
110	100301	100304	454
111	100301	100305	454
112	100301	100306	907
113	100301	100406	218
114	200201	100201	949
115	200201	100202	949
116	200201	100203	949
117	200201	100204	1429
118	200201	100205	1429
119	200201	100206	2861
120	200201	100304	358
121	200201	100305	358
122	200201	100306	717
123	200301	100201	545
124	200301	100202	545
125	200301	100203	545
126	200301	100204	818
127	200301	100205	818
128	200301	100206	1639
129	200301	100301	512
130	200301	100302	512
131	200301	100303	512
132	200301	100304	774
133	200301	100305	774
134	200301	100306	1548
135	200301	100406	458
136	200401	100301	529
137	200401	100302	530
138	200401	100303	530
139	200401	100304	952
140	200401	100305	952
141	200401	100306	2859
142	200401	100401	352
143	200401	100402	352
144	200401	100403	352
145	200401	100404	529
146	200401	100405	529
147	200401	100406	1058
148	200401	100507	476
