道具ID	燃放倒计时	使用烟花视角	每日获得分享道具库次数
string	int	string	int
ItemId	FireTime	FireAge	ShareDroboxTimes
item190000000001	3		0
item190000000002	3		0
item190000000003	3		5
item190000000004	3		0
item190000000011	3		0
item190000000005	3		0
item190000000006	3		0
item190000000007	3		0
item190000000008	3		0
item190000000009	3		0
item190000000012	3		0
item190000000013	3		0
item94000000009	3		0
item190000000015	3		0
item190000000018	3		0
item190000000019	3		0
item190000000020	3		0
item190000000021	3		0
item190000000022	3		0
