流水	按钮显示功能	功能名	功能开启条件	组内排序	是否生效	链接命令	链接参数
string	int	string	int	int	bool	string	string
Id	ItemFuncID	Script	FuncID	Order	IsOpen	Link	LinkParm
1	1	Bag_Itemtips_Use	0	0	1		
2	2	Bag_Itemtips_Destroy	0	0	1		
3	3	Bag_Itemtips_Sell	0	0	1		
4	4	Bag_ItemTips_Identify	0	0	1		
5	5	Bag_Itemtips_Combine	0	0	1		
6	6	Bag_Itemtips_AutoRecover	0	0	1		
7	7	Bag_Itemtips_Refine	39	0	1		
8	8	Bag_Itemtips_GemLevelUp	40	0	1		
9	9	Bag_Itemtips_Potion	0	0	1		
10	10		0	0	1	ClickNpc	
11	11	Bag_Itemtips_Batch	1	0	1	MsgBox	OperateConfirmGoToNPC;ClickNpc;2;npc_forging_001
12	12	Bag_Itemtips_Inlay	40	0	1	LinkUI	BagPanel;OpenSoulStone
13	13	Bag_Itemtips_Strengthen	12	0	1	LinkUI	StrengthenPanel;0
14	14	Bag_Itemtips_ExchangeSell	46	0	1	LinkUI	TradingPanel;1;1
15	15	Bag_Itemtips_TradeSell	45	0	1	LinkUI	TradingPanel;0;2
16	16	Bag_Itemtips_Disassembly	35	0	1	LinkUI	ResolveItemsPanel
17	17	Bag_Itemtips_MagicProperties	32	0	1	ClickNpc	2;npc_forging_002
18	18	Bag_Itemtips_NoUse	0	0	0		
19	19	Bag_Itemtips_NoDestroy	0	0	0		
20	20	Bag_Itemtips_lianyao	22	0	1	LinkUI	SkillPanel;2;3;[ItemID]
21	21	Bag_Itemtips_caifeng	22	0	1	LinkUI	SkillPanel;2;4;[ItemID]
22	22	Bag_Itemtips_ronglian	22	0	1	LinkUI	SkillPanel;2;5;[ItemID]
23	23	Bag_Itemtips_lianjin	22	0	1	LinkUI	SkillPanel;2;6;[ItemID]
24	24	Bag_Itemtips_Disassembly	0	0	1		
25	25	Bag_Itemtips_CallbossActivate	0	0	1	ClickNpc	4;npc_collect_026
26	26	Bag_Itemtips_Use	0	0	1	ClickNpc	2;npc_10046
27	27	Bag_Itemtips_Use	0	0	1	LinkUI	RenamePanel;Rename
28	28	Bag_Itemtips_activate	61	0	1	LinkUI	AdventureBookPanel;1
29	29	Bag_Itemtips_Use	37	0	1	LinkUI	PetPanel;0
30	30	Bag_Itemtips_Use	0	0	1	LinkUI	TradingPanel;3;501
31	31	Bag_Itemtips_Use	37	0	1	LinkUI	PetPanel;0
32	32	Bag_Itemtips_Use	40	0	1	LinkUI	BagPanel;OpenSoulStone
33	33	Bag_Itemtips_Putin	0	0	1		
34	34	Bag_Itemtips_Gift	69	0	1	LinkUI	AdventureBookPanel;3;-1;1;-1
35	35	Bag_Itemtips_Use	0	0	1	LinkUI	BagPanel;OpenRole
36	36	Bag_Itemtips_Combine	37	0	1		
37	37	Bag_Itemtips_Exchange	40	0	1	ClickNpc	2;npc_10206
38	38	Bag_Itemtips_Egg	92	0	1	LinkUI	PetPanel;3
39	39	Bag_Itemtips_NpcSell	37	0	1	LinkUI	TradingPanel;3;701;1
40	40	Bag_Itemtips_Use	38	0	1	LinkUI	SkillPanel;1
41	41	Bag_Itemtips_Use	78	0	1	ClickNpc	40;npc_100801
42	42	Bag_Itemtips_Sommon	37	0	1	LinkUI	PetSummonPanel
43	43	Bag_Itemtips_Use	37	0	1		
44	44	Bag_Itemtips_PetBook	37	0	1	LinkUI	AdventureBookPanel;2
45	45	Bag_Itemtips_Baptize	96	0	1	ClickNpc	2;npc_forging_002
46	46	Bag_Itemtips_Use	37	0	1	LinkUI	PetPanel;3
47	47	Bag_Itemtips_Quenching	124	0	1	LinkUI	StrengthenPanel;5
48	48	Bag_Itemtips_Fashion	2006	0	1		
49	49	Bag_Itemtips_Spirit	40	0	1		
50	50	Bag_Itemtips_Lottery	211	0	1	LinkUI	MallPanel;1
51	51	Bag_Itemtips_Compose	0	0	1		
52	52	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10033
53	53	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10036
54	54	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10035
55	55	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10032
56	56	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10034
57	57	Bag_Itemtips_Exchange	0	0	1	ClickNpc	2;npc_10037
58	58	Bag_Itemtips_Coloration	44	0	1	ClickNpc	2;npc_10078
59	59	Bag_Itemtips_Combine	0	0	1	ClickNpc	2;npc_digtreasure
60	60	Bag_Itemtips_FishingGear	0	0	1		
61	61	Bag_Itemtips_Use	218	0	1	LinkUI	WelfareActivityPanel;801;9
62	62	Bag_Itemtips_Compose	0	0	1	LinkUI	StrengthenPanel;2
63	63	Bag_Itemtips_Exchange	0	0	1	LinkUI	ExchangeShopPanel;1
64	64	Bag_Itemtips_MultiCombine	0	0	1		
65	65	Bag_Itemtips_Use	0	0	1	LinkUI	AstrolabePanel;true
66	66	Bag_Itemtips_Break	37	0	1	ClickNpc	2;npc_10138
67	67	Bag_Itemtips_SkillStoneLevelUp	124	0	1		
68	68	Bag_Itemtips_SkillStoneSplit	124	0	1		
69	69	Bag_Itemtips_Use	0	0	1	LinkUI	ReConstellationPanel
70	70	Bag_Itemtips_Exchange	0	0	1	LinkUI	ShopPanel;903
71	71	Bag_Itemtips_Use	37	0	1	LinkUI	PetPanel;2
72	72	Bag_Itemtips_FashionMake	212	0	1	LinkUI	FashionMakePanel
73	73	Bag_Itemtips_Evolve	1	0	1		
74	74	Bag_Itemtips_Use	56	0	1	ClickNpc	2;npc_examination
75	75	Bag_Itemtips_Use	227	0	1	LinkUI	OpenServerActivityPanel;4006;14
76	76	Bag_Itemtips_Use	233	0	1	LinkUI	OpenServerActivityPanel;4412;18
