道具ID	排序	默认好感度	限制使用等级
string	int	int	int
Id	Sort	Point	UseLevel
item106210100001	1	100	20
item106210100002	2	100	20
item106210100003	3	100	20
item106210100004	4	100	20
item106210100005	5	100	20
item106210100006	6	100	20
item106210100007	7	100	20
item106210100008	8	100	20
item106210100009	9	100	20
item106210100010	10	100	20
item106210100011	11	100	20
item106210100012	12	100	20
item106210100013	13	100	20
item106210100014	14	100	20
item106210100015	15	100	20
item106210100016	16	100	20
item106210100017	17	100	20
item106210100018	18	100	20
item106210100019	19	100	20
item106210100020	20	100	20
item102010311001	21	2	30
item102010411001	22	4	30
item103010111001	23	10	30
item103010111002	24	100	30
item103010111003	25	1250	40
item103010111006	26	10	30
item103010111007	27	100	30
item103010111008	28	1250	40
item103010111011	29	10	30
item103010111012	30	100	30
item103010111013	31	1250	40
item103010111016	32	10	30
item103010111017	33	100	30
item103010111018	34	1250	40
item103010111101	35	50	30
item103010111102	36	100	40
item103010111103	37	150	50
item103010111104	38	200	60
item103010111105	39	250	70
item107300000001	40	200	30
item107300000002	41	500	40
item103010121003	42	50	30
item103010121004	43	200	40
item103010121005	44	800	50
item103010121006	45	3200	60
item103010311001	46	2	30
item103010411001	47	4	30
item107999900001	48	60	30
item107999900002	49	300	40
item107999900003	50	1200	50
item103010131001	51	50	30
item103010131002	52	1000	40
item170000104010	53	50	20
item170000104020	54	200	20
item170000104030	55	500	20
item170000104040	56	2000	20
