宝图id	道具类型	掉落预览	奖励展示类型	奖励展示模型id	模型展示缩放	模型展示位置偏移	模型初始展示角度	展示语言包
string	int	string	int	string	float	string	int	string
Id	ItemType	Preview	ShowType	ShowModel	ShowZoom	ShowPos	ShowAngle	TitleLanguage
item100000000062	1	item103015110413;item103015110302;item103015110303	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000067	1	item103015110412;item101020505317;item101020505316;item101020505315;item101020505314;item101020505313;item101020505312;item101020505310;item101020505309;item101020505308;item101020505307;item101020505306;item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000068	1	item103015110412;item101020505317;item101020505316;item101020505315;item101020505314;item101020505313;item101020505312;item101020505310;item101020505309;item101020505308;item101020505307;item101020505306;item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000069	1	item90000000110;item90000000111;item90000000112;item103015110412;item103010132201;item103010132211;item103010132221;item103010132231;item101020505317;item101020505316;item101020505315;item101020505314;item101020505313;item101020505312;item101020505310;item101020505309;item101020505308;item101020505307;item101020505306;item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000070	1	item90000000110;item90000000111;item90000000112;item103015110412;item119100000004;item119100000005;item119100000006;item119100000003;item103010132201;item103010132211;item103010132221;item103010132231;item101020505317;item101020505316;item101020505315;item101020505314;item101020505313;item101020505312;item101020505310;item101020505309;item101020505308;item101020505307;item101020505306;item101020505305;item101020505304;item101020505303;item101020505302;item101020505301;item101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000071	1	item8103015110412;item8101020505317;item8101020505316;item8101020505315;item8101020505314;item8101020505313;item8101020505312;item8101020505310;item8101020505309;item8101020505308;item8101020505307;item8101020505306;item8101020505305;item8101020505304;item8101020505303;item8101020505302;item8101020505301;item8101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000072	1	item8103015110412;item8101020505317;item8101020505316;item8101020505315;item8101020505314;item8101020505313;item8101020505312;item8101020505310;item8101020505309;item8101020505308;item8101020505307;item8101020505306;item8101020505305;item8101020505304;item8101020505303;item8101020505302;item8101020505301;item8101020505253	0		0.000000		0	UI_TreasureMap_TipsTittle
item100000000073	1	item90000000110;item90000000111;item90000000112;item8103015110412;item8103010132201;item8103010132211;item103010132221;item103010132231;item8101020505317;item8101020505316;item8101020505315;item8101020505314;item8101020505313;item8101020505312;item8101020505310;item8101020505309;item8101020505308;item8101020505307;item8101020505306;item8101020505305;item8101020505304;item8101020505303;item8101020505302	0		0.000000		0	UI_TreasureMap_TipsTittle
