流水ID	段位等级	英雄塔罗类型	相对刷新时间间隔	头像icon	名字	段位描述	英雄描述	出现场景	位面战斗NPC	奖励界面展示模型	奖励界面模型偏移	奖励界面模型缩放	邀请函召唤出后归属时间	服务器刷新等级限制	通关普通奖励展示	通关高级奖励展示	阵列奖励宝箱图标	阵列奖励展示	对应邀请函道具	邀请函内容	任务标题	任务内容
int	int	int	int	string	string	string	string	string	string	string	vector3	float	int	int	string	string	string	string	string	string	string	string
ID	StarheroLevel	KillStarType	RelativeRefreshTimes	StarHeroportrait	StaHerorName	StarHeroGrading	StarHeroStr	StarHeroAddress	TargetheroNPC	StarHeroAvatar	StarHeroOffset	StarHeroZoom	PaperBelongTime	ServerLevel	PassNormalRewardsShow	PassRewardsShow	matrixRewardsIcon	matrixRewardsShow	ItemId	ItemStr	KillHerolStarTask	KillHerolStarTaskDes
1	1	1	0	soldier903_portrait01	killstarhero001	grading001	killstarherostr001	3	hero_killstar_monster_1101,1	soldier904h|body|soldier904h_body_t1	-0.5,-0.3,0	1.500000	0	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060014,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1					killherostar_title01	killherostardes01
2	1	2	0	soldier903_portrait01	killstarhero001	grading001	killstarherostr001	3	hero_killstar_monster_1101,1	soldier904h|body|soldier904h_body_t1	-0.5,-0.3,0	1.500000	3600	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060014,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060013	itemstr_102020060013	killherostar_title01_1	killherostardes01_1
3	2	1	0	soldier901_portrait01	killstarhero002	grading002	killstarherostr002	4	hero_killstar_monster_1201,1	soldier901h|body|soldier901h_body_t1	-0.7,-0.1,2	1.000000	0	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060015,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1					killherostar_title02	killherostardes02
4	2	2	0	soldier901_portrait01	killstarhero002	grading002	killstarherostr002	4	hero_killstar_monster_1201,1	soldier901h|body|soldier901h_body_t1	-0.7,-0.1,2	1.000000	3600	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060015,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053107,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060014	itemstr_102020060014	killherostar_title02_1	killherostardes02_1
5	3	1	0	soldier902_portrait01	killstarhero003	grading003	killstarherostr003	1	hero_killstar_monster_1301,1	soldier902h|body|soldier902h_body_t1	-0.5,-0.5,0	1.500000	0	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060016,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1					killherostar_title03	killherostardes03
6	3	2	0	soldier902_portrait01	killstarhero003	grading003	killstarherostr003	1	hero_killstar_monster_1301,1	soldier902h|body|soldier902h_body_t1	-0.5,-0.5,0	1.500000	3600	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060016,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1			item102020060015	itemstr_102020060015	killherostar_title03_1	killherostardes03_1
7	4	2	0	icon_chapter_4	killstarhero004	grading004	killstarherostr004	5	hero_killstar_monster_1101,1;hero_killstar_monster_1201,0;hero_killstar_monster_1301,0	soldier904h|body|soldier904h_body_t1	-0.5,-0.3,0	1.500000	3600	60	item1031,60;item107999900002,1;item107300000002,1;item107200052001,1	item102020060017,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053307,1;item107000053107,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1	icon_treasurebox01	item107000043204,1;item1031,1000	item102020060016	itemstr_102020060016	killherostar_title04_1	killherostardes04_1
8	5	1	0	soldier904_portrait01	killstarhero005	grading005	killstarherostr005	6	hero_killstar_monster_1501,1	soldier905h|body|soldier905h_body_t1	-0.7,-0.5,0	1.500000	0	70	item1031,80;item107999900002,1;item107300000002,1;item107200052001,1	item102020060018,1;item119100000004,1;item119100000005,1;item119100000006,1;item1031,300;item107000051101,1;item107000051102,1;item107000051201,1;item107000051202,1;item107000053212,1;item105000000019,1;item105000000035,1;item105000000036,1;item105000000037,1;item105000000038,1;item105000000039,1;item105000000040,1;item105000000041,1;item105000000042,1;item105000000043,1;item105000000020,1;item105000000045,1;item105000000046,1;item105000000047,1;item105000000048,1;item105100000001,1;item105000000044,1;item105100000002,1;item105100000003,1;item105100000004,1;item105100000005,1;item105100000006,1;item105100000009,1;item105100000016,1;item105100000023,1;item105100000028,1;item105100000029,1				itemstr_102020060017	killherostar_title05	killherostardes05
