流水	玩家等级	单次获得经验	单次获得天赋经验	获得次数上限
int	int	int	int	int
Id	Level	Exp	Talent	Hit
1	1	30	0	120
2	2	60	0	120
3	3	90	0	120
4	4	120	0	120
5	5	150	0	120
6	6	180	0	120
7	7	210	0	120
8	8	240	0	120
9	9	270	0	120
10	10	300	0	120
11	11	330	0	120
12	12	360	0	120
13	13	390	0	120
14	14	420	0	120
15	15	450	30	120
16	16	480	32	120
17	17	510	34	120
18	18	540	36	120
19	19	570	38	120
20	20	600	40	120
21	21	630	42	120
22	22	660	44	120
23	23	690	46	120
24	24	720	48	120
25	25	750	50	120
26	26	780	52	120
27	27	810	54	120
28	28	840	56	120
29	29	870	58	120
30	30	900	60	120
31	31	930	62	120
32	32	960	64	120
33	33	990	66	120
34	34	1020	68	120
35	35	1050	70	120
36	36	1080	72	120
37	37	1110	74	120
38	38	1140	76	120
39	39	1170	78	120
40	40	1200	80	120
41	41	1230	82	120
42	42	1260	84	120
43	43	1290	86	120
44	44	1320	88	120
45	45	1350	90	120
46	46	1380	92	120
47	47	1410	94	120
48	48	1440	96	120
49	49	1470	98	120
50	50	1500	100	120
51	51	1530	102	120
52	52	1560	104	120
53	53	1590	106	120
54	54	1620	108	120
55	55	1650	110	120
56	56	1680	112	120
57	57	1710	114	120
58	58	1740	116	120
59	59	1770	118	120
60	60	1800	120	120
61	61	1830	122	120
62	62	1860	124	120
63	63	1890	126	120
64	64	1920	128	120
65	65	1950	130	120
66	66	1980	132	120
67	67	2010	134	120
68	68	2040	136	120
69	69	2070	138	120
70	70	2100	140	120
71	71	2130	142	120
72	72	2160	144	120
73	73	2190	146	120
74	74	2220	148	120
75	75	2250	150	120
76	76	2280	152	120
77	77	2310	154	120
78	78	2340	156	120
79	79	2370	158	120
80	80	2400	160	120
81	81	2430	162	120
82	82	2460	164	120
83	83	2490	166	120
84	84	2520	168	120
85	85	2550	170	120
86	86	2580	172	120
87	87	2610	174	120
88	88	2640	176	120
89	89	2670	178	120
90	90	2700	180	120
91	91	2730	182	120
92	92	2760	184	120
93	93	2790	186	120
94	94	2820	188	120
95	95	2850	190	120
96	96	2880	192	120
97	97	2910	194	120
98	98	2940	196	120
99	99	2970	198	120
100	100	3000	200	120
