流水	目标道具ID	技能类型	技能等级限制	消耗活力	制造消耗材料	可能获得的描述	对应NPC	友好NPC
int	string	int	int	int	string	string	string	string
Id	Item	SkillType	Level	EnergyCost	MaterialCost	OutputDes	NpcId	FriendlyNpcId
1	item108100101202	1	10	11		item108100103051,item144320000011,item144320000012	collect_npc004	npc_10075
2	item108100101203	1	20	13		item108100103052,item144320000011,item144320000012	collect_npc006	npc_10075
3	item108100101204	1	30	15		item108100103052,item144320000011,item144320000012	collect_npc008	npc_10075
4	item108100101205	1	40	18		item108100103053,item144320000011,item144320000012	collect_npc010	npc_10075
5	item108100101206	1	50	21		item108100103053,item144320000011,item144320000012	collect_npc012	npc_10075
6	item108100101207	1	60	24		item108100103054,item144320000011,item144320000012	collect_npc014	npc_10075
7	item108100101208	1	70	27		item108100103054,item144320000011,item144320000012	collect_npc016	npc_10075
8	item108100101209	1	80	30		item108100103054,item144320000011,item144320000012	collect_npc018	npc_10075
9	item108100101102	7	10	11		item108100103351,item144320000011,item144320000012	collect_npc003	npc_10075
10	item108100101103	7	20	13		item108100103352,item144320000011,item144320000012	collect_npc005	npc_10075
11	item108100101104	7	30	15		item108100103352,item144320000011,item144320000012	collect_npc007	npc_10075
12	item108100101105	7	40	18		item108100103353,item144320000011,item144320000012	collect_npc009	npc_10075
13	item108100101106	7	50	21		item108100103353,item144320000011,item144320000012	collect_npc011	npc_10075
14	item108100101107	7	60	24		item108100103354,item144320000011,item144320000012	collect_npc013	npc_10075
15	item108100101108	7	70	27		item108100103354,item144320000011,item144320000012	collect_npc015	npc_10075
16	item108100101109	7	80	30		item108100103354,item144320000011,item144320000012	collect_npc017	npc_10075
17	item108100102102	2	10	11		item108100103151,item144320000011,item144320000012	mine_npc003	npc_10075
18	item108100102103	2	20	13		item108100103152,item144320000011,item144320000012	mine_npc005	npc_10075
19	item108100102104	2	30	15		item108100103152,item144320000011,item144320000012	mine_npc007	npc_10075
20	item108100102105	2	40	18		item108100103153,item144320000011,item144320000012	mine_npc009	npc_10075
21	item108100102106	2	50	21		item108100103153,item144320000011,item144320000012	mine_npc011	npc_10075
22	item108100102107	2	60	24		item108100103154,item144320000011,item144320000012	mine_npc013	npc_10075
23	item108100102108	2	70	27		item108100103154,item144320000011,item144320000012	mine_npc015	npc_10075
24	item108100102109	2	80	30		item108100103154,item144320000011,item144320000012	mine_npc017	npc_10075
25	item108100102202	8	10	11		item108100103251,item144320000011,item144320000012	mine_npc004	npc_10075
26	item108100102203	8	20	13		item108100103252,item144320000011,item144320000012	mine_npc006	npc_10075
27	item108100102204	8	30	15		item108100103252,item144320000011,item144320000012	mine_npc008	npc_10075
28	item108100102205	8	40	18		item108100103253,item144320000011,item144320000012	mine_npc010	npc_10075
29	item108100102206	8	50	21		item108100103253,item144320000011,item144320000012	mine_npc012	npc_10075
30	item108100102207	8	60	24		item108100103254,item144320000011,item144320000012	mine_npc014	npc_10075
31	item108100102208	8	70	27		item108100103254,item144320000011,item144320000012	mine_npc016	npc_10075
32	item108100102209	8	80	30		item108100103254,item144320000011,item144320000012	mine_npc018	npc_10075
