ID	属性id	等级下限	等级上限	属性1类型	属性1下限	属性1上限	属性2类型	属性2下限	属性2上限	属性3类型	属性3下限	属性3上限	属性4类型	属性4下限	属性4上限	属性5类型	属性5下限	属性5上限	评分类型	评分数值
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
Id	AttId	MinLv	MaxLv	Att1Type	Att1MinValue	Att1MaxValue	Att2Type	Att2MinValue	Att2MaxValue	Att3Type	Att3MinValue	Att3MaxValue	Att4Type	Att4MinValue	Att4MaxValue	Att5Type	Att5MinValue	Att5MaxValue	CPType	CPValue
1	1011	30	9999	3	25	50	0	0	0	0	0	0	0	0	0	0	0	0	1	6
2	1021	30	9999	1	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
3	1031	30	9999	4	25	50	0	0	0	0	0	0	0	0	0	0	0	0	1	6
4	1041	30	9999	23	62	125	0	0	0	0	0	0	0	0	0	0	0	0	1	6
5	1051	30	9999	1	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
6	1061	30	9999	24	62	125	0	0	0	0	0	0	0	0	0	0	0	0	1	6
7	1071	30	9999	272	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	5011	40	9999	3	50	100	0	0	0	0	0	0	0	0	0	0	0	0	1	6
9	5021	40	9999	1	500	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
10	5031	40	9999	4	50	100	0	0	0	0	0	0	0	0	0	0	0	0	1	6
11	5041	40	9999	23	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
12	5051	40	9999	1	500	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
13	5061	40	9999	24	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
14	5071	40	9999	25	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
15	5081	40	9999	1	500	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
16	5091	40	9999	26	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
17	5101	40	9999	273	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	10011	50	9999	3	75	200	32	50	100	0	0	0	0	0	0	0	0	0	1	6
19	10021	50	9999	1	750	2000	11	75	200	0	0	0	0	0	0	0	0	0	1	6
20	10031	50	9999	4	75	200	33	50	100	0	0	0	0	0	0	0	0	0	1	6
21	10041	50	9999	3	75	200	51	50	100	0	0	0	0	0	0	0	0	0	1	6
22	10051	50	9999	1	750	2000	11	75	200	0	0	0	0	0	0	0	0	0	1	6
23	10061	50	9999	4	75	200	35	50	100	0	0	0	0	0	0	0	0	0	1	6
24	10071	50	9999	3	75	200	34	50	100	0	0	0	0	0	0	0	0	0	1	6
25	10081	50	9999	1	750	2000	11	75	200	0	0	0	0	0	0	0	0	0	1	6
26	10091	50	9999	4	75	200	35	50	100	0	0	0	0	0	0	0	0	0	1	6
27	10101	50	9999	3	75	200	51	50	100	0	0	0	0	0	0	0	0	0	1	6
28	10111	50	9999	1	750	2000	11	75	200	0	0	0	0	0	0	0	0	0	1	6
29	10121	50	9999	4	75	200	52	50	100	0	0	0	0	0	0	0	0	0	1	6
30	10131	50	9999	272	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	10141	50	9999	272	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	10151	50	9999	3	75	200	12	50	100	0	0	0	0	0	0	0	0	0	1	6
33	10161	50	9999	1	750	2000	11	75	200	0	0	0	0	0	0	0	0	0	1	6
34	10171	50	9999	4	75	200	35	50	100	0	0	0	0	0	0	0	0	0	1	6
35	15011	60	9999	3	200	400	12	100	200	0	0	0	0	0	0	0	0	0	1	6
36	15021	60	9999	1	2000	4000	11	200	300	0	0	0	0	0	0	0	0	0	1	6
37	15031	60	9999	4	200	400	13	100	200	0	0	0	0	0	0	0	0	0	1	6
38	15041	60	9999	3	200	400	32	100	200	0	0	0	0	0	0	0	0	0	1	6
39	15051	60	9999	1	2000	4000	11	200	300	0	0	0	0	0	0	0	0	0	1	6
40	15061	60	9999	4	200	400	52	100	200	0	0	0	0	0	0	0	0	0	1	6
41	15071	60	9999	3	200	400	34	100	200	0	0	0	0	0	0	0	0	0	1	6
42	15081	60	9999	1	2000	4000	11	200	300	0	0	0	0	0	0	0	0	0	1	6
43	15091	60	9999	4	200	400	35	100	200	0	0	0	0	0	0	0	0	0	1	6
44	15101	60	9999	3	200	400	51	100	200	0	0	0	0	0	0	0	0	0	1	6
45	15111	60	9999	1	2000	4000	11	200	300	0	0	0	0	0	0	0	0	0	1	6
46	15121	60	9999	3	200	400	32	100	200	0	0	0	0	0	0	0	0	0	1	6
47	15131	60	9999	1	2000	4000	11	200	300	0	0	0	0	0	0	0	0	0	1	6
48	15141	60	9999	4	200	400	52	100	200	0	0	0	0	0	0	0	0	0	1	6
49	15151	60	9999	4	200	400	33	100	200	0	0	0	0	0	0	0	0	0	1	6
50	15161	60	9999	273	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6
51	20011	70	9999	3	400	600	12	200	300	0	0	0	0	0	0	0	0	0	1	6
52	20021	70	9999	3	400	600	34	200	300	0	0	0	0	0	0	0	0	0	1	6
53	20031	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
54	20041	70	9999	4	400	600	13	200	300	0	0	0	0	0	0	0	0	0	1	6
55	20051	70	9999	3	400	600	51	200	300	0	0	0	0	0	0	0	0	0	1	6
56	20061	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
57	20071	70	9999	4	400	600	35	200	300	0	0	0	0	0	0	0	0	0	1	6
58	20081	70	9999	3	400	600	51	200	300	0	0	0	0	0	0	0	0	0	1	6
59	20091	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
60	20101	70	9999	4	400	600	33	200	300	0	0	0	0	0	0	0	0	0	1	6
61	20111	70	9999	3	400	600	34	200	300	0	0	0	0	0	0	0	0	0	1	6
62	20121	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
63	20131	70	9999	4	400	600	52	200	300	0	0	0	0	0	0	0	0	0	1	6
64	20141	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
65	20151	70	9999	4	400	600	33	200	300	0	0	0	0	0	0	0	0	0	1	6
66	20161	70	9999	3	400	600	12	200	300	0	0	0	0	0	0	0	0	0	1	6
67	20171	70	9999	1	4000	6000	11	350	500	0	0	0	0	0	0	0	0	0	1	6
68	20181	70	9999	4	400	600	52	200	300	0	0	0	0	0	0	0	0	0	1	6
69	20191	70	9999	272	100	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	1012	30	9999	3	40	80	0	0	0	0	0	0	0	0	0	0	0	0	1	6
71	1022	30	9999	1	400	800	0	0	0	0	0	0	0	0	0	0	0	0	1	6
72	1032	30	9999	4	40	80	0	0	0	0	0	0	0	0	0	0	0	0	1	6
73	1042	30	9999	23	100	200	0	0	0	0	0	0	0	0	0	0	0	0	1	6
74	1052	30	9999	1	400	800	0	0	0	0	0	0	0	0	0	0	0	0	1	6
75	1062	30	9999	24	100	200	0	0	0	0	0	0	0	0	0	0	0	0	1	6
76	1072	30	9999	272	200	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	5012	40	9999	3	80	160	0	0	0	0	0	0	0	0	0	0	0	0	1	6
78	5022	40	9999	1	800	1600	0	0	0	0	0	0	0	0	0	0	0	0	1	6
79	5032	40	9999	4	80	160	0	0	0	0	0	0	0	0	0	0	0	0	1	6
80	5042	40	9999	23	200	400	0	0	0	0	0	0	0	0	0	0	0	0	1	6
81	5052	40	9999	1	800	1600	0	0	0	0	0	0	0	0	0	0	0	0	1	6
82	5062	40	9999	24	200	400	0	0	0	0	0	0	0	0	0	0	0	0	1	6
83	5072	40	9999	25	200	400	0	0	0	0	0	0	0	0	0	0	0	0	1	6
84	5082	40	9999	1	800	1600	0	0	0	0	0	0	0	0	0	0	0	0	1	6
85	5092	40	9999	26	200	400	0	0	0	0	0	0	0	0	0	0	0	0	1	6
86	5102	40	9999	273	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6
87	10012	50	9999	3	120	320	32	80	160	0	0	0	0	0	0	0	0	0	1	6
88	10022	50	9999	1	1200	3200	11	120	320	0	0	0	0	0	0	0	0	0	1	6
89	10032	50	9999	4	120	320	33	80	160	0	0	0	0	0	0	0	0	0	1	6
90	10042	50	9999	3	120	320	51	80	160	0	0	0	0	0	0	0	0	0	1	6
91	10052	50	9999	1	1200	3200	11	120	320	0	0	0	0	0	0	0	0	0	1	6
92	10062	50	9999	4	120	320	35	80	160	0	0	0	0	0	0	0	0	0	1	6
93	10072	50	9999	3	120	320	34	80	160	0	0	0	0	0	0	0	0	0	1	6
94	10082	50	9999	1	1200	3200	11	120	320	0	0	0	0	0	0	0	0	0	1	6
95	10092	50	9999	4	120	320	35	80	160	0	0	0	0	0	0	0	0	0	1	6
96	10102	50	9999	3	120	320	51	80	160	0	0	0	0	0	0	0	0	0	1	6
97	10112	50	9999	1	1200	3200	11	120	320	0	0	0	0	0	0	0	0	0	1	6
98	10122	50	9999	4	120	320	52	80	160	0	0	0	0	0	0	0	0	0	1	6
99	10132	50	9999	272	200	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	10142	50	9999	272	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	10152	50	9999	3	120	320	12	80	160	0	0	0	0	0	0	0	0	0	1	6
102	10162	50	9999	1	1200	3200	11	120	320	0	0	0	0	0	0	0	0	0	1	6
103	10172	50	9999	4	120	320	35	80	160	0	0	0	0	0	0	0	0	0	1	6
104	15012	60	9999	3	320	640	12	160	320	0	0	0	0	0	0	0	0	0	1	6
105	15022	60	9999	1	3200	6400	11	320	480	0	0	0	0	0	0	0	0	0	1	6
106	15032	60	9999	4	320	640	13	160	320	0	0	0	0	0	0	0	0	0	1	6
107	15042	60	9999	3	320	640	32	160	320	0	0	0	0	0	0	0	0	0	1	6
108	15052	60	9999	1	3200	6400	11	320	480	0	0	0	0	0	0	0	0	0	1	6
109	15062	60	9999	4	320	640	52	160	320	0	0	0	0	0	0	0	0	0	1	6
110	15072	60	9999	3	320	640	34	160	320	0	0	0	0	0	0	0	0	0	1	6
111	15082	60	9999	1	3200	6400	11	320	480	0	0	0	0	0	0	0	0	0	1	6
112	15092	60	9999	4	320	640	35	160	320	0	0	0	0	0	0	0	0	0	1	6
113	15102	60	9999	3	320	640	51	160	320	0	0	0	0	0	0	0	0	0	1	6
114	15112	60	9999	1	3200	6400	11	320	480	0	0	0	0	0	0	0	0	0	1	6
115	15122	60	9999	3	320	640	32	160	320	0	0	0	0	0	0	0	0	0	1	6
116	15132	60	9999	1	3200	6400	11	320	480	0	0	0	0	0	0	0	0	0	1	6
117	15142	60	9999	4	320	640	52	160	320	0	0	0	0	0	0	0	0	0	1	6
118	15152	60	9999	4	320	640	33	160	320	0	0	0	0	0	0	0	0	0	1	6
119	15162	60	9999	273	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	20012	70	9999	3	640	960	12	320	480	0	0	0	0	0	0	0	0	0	1	6
121	20022	70	9999	3	640	960	34	320	480	0	0	0	0	0	0	0	0	0	1	6
122	20032	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
123	20042	70	9999	4	640	960	13	320	480	0	0	0	0	0	0	0	0	0	1	6
124	20052	70	9999	3	640	960	51	320	480	0	0	0	0	0	0	0	0	0	1	6
125	20062	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
126	20072	70	9999	4	640	960	35	320	480	0	0	0	0	0	0	0	0	0	1	6
127	20082	70	9999	3	640	960	51	320	480	0	0	0	0	0	0	0	0	0	1	6
128	20092	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
129	20102	70	9999	4	640	960	33	320	480	0	0	0	0	0	0	0	0	0	1	6
130	20112	70	9999	3	640	960	34	320	480	0	0	0	0	0	0	0	0	0	1	6
131	20122	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
132	20132	70	9999	4	640	960	52	320	480	0	0	0	0	0	0	0	0	0	1	6
133	20142	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
134	20152	70	9999	4	640	960	33	320	480	0	0	0	0	0	0	0	0	0	1	6
135	20162	70	9999	3	640	960	12	320	480	0	0	0	0	0	0	0	0	0	1	6
136	20172	70	9999	1	6400	9600	11	560	800	0	0	0	0	0	0	0	0	0	1	6
137	20182	70	9999	4	640	960	52	320	480	0	0	0	0	0	0	0	0	0	1	6
138	20192	70	9999	272	400	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	1013	30	9999	3	50	100	0	0	0	0	0	0	0	0	0	0	0	0	1	6
140	1023	30	9999	1	500	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
141	1033	30	9999	4	50	100	0	0	0	0	0	0	0	0	0	0	0	0	1	6
142	1043	30	9999	23	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
143	1053	30	9999	1	500	1000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
144	1063	30	9999	24	125	250	0	0	0	0	0	0	0	0	0	0	0	0	1	6
145	1073	30	9999	272	300	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	5013	40	9999	3	100	200	0	0	0	0	0	0	0	0	0	0	0	0	1	6
147	5023	40	9999	1	1000	2000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
148	5033	40	9999	4	100	200	0	0	0	0	0	0	0	0	0	0	0	0	1	6
149	5043	40	9999	23	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
150	5053	40	9999	1	1000	2000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
151	5063	40	9999	24	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
152	5073	40	9999	25	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
153	5083	40	9999	1	1000	2000	0	0	0	0	0	0	0	0	0	0	0	0	1	6
154	5093	40	9999	26	250	500	0	0	0	0	0	0	0	0	0	0	0	0	1	6
155	5103	40	9999	273	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	10013	50	9999	3	150	400	32	100	200	0	0	0	0	0	0	0	0	0	1	6
157	10023	50	9999	1	1500	4000	11	150	400	0	0	0	0	0	0	0	0	0	1	6
158	10033	50	9999	4	150	400	33	100	200	0	0	0	0	0	0	0	0	0	1	6
159	10043	50	9999	3	150	400	51	100	200	0	0	0	0	0	0	0	0	0	1	6
160	10053	50	9999	1	1500	4000	11	150	400	0	0	0	0	0	0	0	0	0	1	6
161	10063	50	9999	4	150	400	35	100	200	0	0	0	0	0	0	0	0	0	1	6
162	10073	50	9999	3	150	400	34	100	200	0	0	0	0	0	0	0	0	0	1	6
163	10083	50	9999	1	1500	4000	11	150	400	0	0	0	0	0	0	0	0	0	1	6
164	10093	50	9999	4	150	400	35	100	200	0	0	0	0	0	0	0	0	0	1	6
165	10103	50	9999	3	150	400	51	100	200	0	0	0	0	0	0	0	0	0	1	6
166	10113	50	9999	1	1500	4000	11	150	400	0	0	0	0	0	0	0	0	0	1	6
167	10123	50	9999	4	150	400	52	100	200	0	0	0	0	0	0	0	0	0	1	6
168	10133	50	9999	272	300	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	10143	50	9999	272	400	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	10153	50	9999	3	150	400	12	100	200	0	0	0	0	0	0	0	0	0	1	6
171	10163	50	9999	1	1500	4000	11	150	400	0	0	0	0	0	0	0	0	0	1	6
172	10173	50	9999	4	150	400	35	100	200	0	0	0	0	0	0	0	0	0	1	6
173	15013	60	9999	3	400	800	12	200	400	0	0	0	0	0	0	0	0	0	1	6
174	15023	60	9999	1	4000	8000	11	400	600	0	0	0	0	0	0	0	0	0	1	6
175	15033	60	9999	4	400	800	13	200	400	0	0	0	0	0	0	0	0	0	1	6
176	15043	60	9999	3	400	800	32	200	400	0	0	0	0	0	0	0	0	0	1	6
177	15053	60	9999	1	4000	8000	11	400	600	0	0	0	0	0	0	0	0	0	1	6
178	15063	60	9999	4	400	800	52	200	400	0	0	0	0	0	0	0	0	0	1	6
179	15073	60	9999	3	400	800	34	200	400	0	0	0	0	0	0	0	0	0	1	6
180	15083	60	9999	1	4000	8000	11	400	600	0	0	0	0	0	0	0	0	0	1	6
181	15093	60	9999	4	400	800	35	200	400	0	0	0	0	0	0	0	0	0	1	6
182	15103	60	9999	3	400	800	51	200	400	0	0	0	0	0	0	0	0	0	1	6
183	15113	60	9999	1	4000	8000	11	400	600	0	0	0	0	0	0	0	0	0	1	6
184	15123	60	9999	3	400	800	32	200	400	0	0	0	0	0	0	0	0	0	1	6
185	15133	60	9999	1	4000	8000	11	400	600	0	0	0	0	0	0	0	0	0	1	6
186	15143	60	9999	4	400	800	52	200	400	0	0	0	0	0	0	0	0	0	1	6
187	15153	60	9999	4	400	800	33	200	400	0	0	0	0	0	0	0	0	0	1	6
188	15163	60	9999	273	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
189	20013	70	9999	3	800	1200	12	400	600	0	0	0	0	0	0	0	0	0	1	6
190	20023	70	9999	3	800	1200	34	400	600	0	0	0	0	0	0	0	0	0	1	6
191	20033	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
192	20043	70	9999	4	800	1200	13	400	600	0	0	0	0	0	0	0	0	0	1	6
193	20053	70	9999	3	800	1200	51	400	600	0	0	0	0	0	0	0	0	0	1	6
194	20063	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
195	20073	70	9999	4	800	1200	35	400	600	0	0	0	0	0	0	0	0	0	1	6
196	20083	70	9999	3	800	1200	51	400	600	0	0	0	0	0	0	0	0	0	1	6
197	20093	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
198	20103	70	9999	4	800	1200	33	400	600	0	0	0	0	0	0	0	0	0	1	6
199	20113	70	9999	3	800	1200	34	400	600	0	0	0	0	0	0	0	0	0	1	6
200	20123	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
201	20133	70	9999	4	800	1200	52	400	600	0	0	0	0	0	0	0	0	0	1	6
202	20143	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
203	20153	70	9999	4	800	1200	33	400	600	0	0	0	0	0	0	0	0	0	1	6
204	20163	70	9999	3	800	1200	12	400	600	0	0	0	0	0	0	0	0	0	1	6
205	20173	70	9999	1	8000	12000	11	700	1000	0	0	0	0	0	0	0	0	0	1	6
