道具ID	读取类型
string	int
Id	Type
item144000000001	2
item144000000002	2
item144000000004	2
item144000000003	2
item144000000005	2
item144100000001	2
item144100000002	2
item144100000003	2
item144200000001	2
item144200000002	2
item144200000003	2
item144200000004	2
item144200000011	2
item144200000012	2
item144200000013	2
item144200000014	2
item144400000001	2
item144400000002	2
item144400000003	2
item144400000004	2
item144400000005	2
item144400000006	2
item144400000007	2
item144400000008	2
item144400000009	2
item144400000010	2
item144400000011	2
item170000101010	1
item170000102010	1
item170000106010	1
item170000101020	1
item170000106020	1
item170000101030	1
item170000106030	1
item170000101040	1
item170000106040	1
