流水	技能类型	等级	升级消耗银币	升级消耗数值	升级消耗贡献	升级消耗数值	等级限制
int	int	int	int	int	int	int	int
Id	Type	Level	CostType	Num	CostType1	Num1	LevelLimit
1	1	0	1	5000	4	0	31
2	1	1	1	6000	4	0	31
3	1	2	1	7000	4	0	31
4	1	3	1	8000	4	0	31
5	1	4	1	9000	4	0	31
6	1	5	1	10000	4	0	31
7	1	6	1	11000	4	0	31
8	1	7	1	12000	4	0	31
9	1	8	1	13000	4	0	31
10	1	9	1	15000	4	0	31
11	1	10	1	17000	4	5	41
12	1	11	1	19000	4	10	41
13	1	12	1	21000	4	15	41
14	1	13	1	23000	4	20	41
15	1	14	1	25000	4	25	41
16	1	15	1	27000	4	30	41
17	1	16	1	29000	4	35	41
18	1	17	1	31000	4	40	41
19	1	18	1	33000	4	45	41
20	1	19	1	35000	4	50	41
21	1	20	1	37000	4	55	51
22	1	21	1	39000	4	60	51
23	1	22	1	41000	4	65	51
24	1	23	1	43000	4	70	51
25	1	24	1	45000	4	75	51
26	1	25	1	47000	4	80	51
27	1	26	1	49000	4	85	51
28	1	27	1	51000	4	90	51
29	1	28	1	53000	4	95	51
30	1	29	1	55000	4	100	51
31	1	30	1	57000	4	110	61
32	1	31	1	59000	4	120	61
33	1	32	1	61000	4	130	61
34	1	33	1	63000	4	140	61
35	1	34	1	65000	4	150	61
36	1	35	1	67000	4	160	61
37	1	36	1	69000	4	170	61
38	1	37	1	71000	4	180	61
39	1	38	1	73000	4	190	61
40	1	39	1	75000	4	200	61
41	1	40	1	77000	4	210	71
42	1	41	1	79000	4	220	71
43	1	42	1	81000	4	230	71
44	1	43	1	83000	4	240	71
45	1	44	1	85000	4	250	71
46	1	45	1	87000	4	260	71
47	1	46	1	89000	4	270	71
48	1	47	1	91000	4	280	71
49	1	48	1	93000	4	290	71
50	1	49	1	95000	4	300	71
51	1	50	1	97000	4	310	81
52	1	51	1	99000	4	320	81
53	1	52	1	101000	4	330	81
54	1	53	1	103000	4	340	81
55	1	54	1	105000	4	350	81
56	1	55	1	107000	4	360	81
57	1	56	1	109000	4	370	81
58	1	57	1	111000	4	380	81
59	1	58	1	113000	4	390	81
60	1	59	1	115000	4	400	81
61	1	60	1	117000	4	410	91
62	1	61	1	119000	4	420	91
63	1	62	1	121000	4	430	91
64	1	63	1	123000	4	440	91
65	1	64	1	125000	4	450	91
66	1	65	1	127000	4	460	91
67	1	66	1	129000	4	470	91
68	1	67	1	131000	4	480	91
69	1	68	1	133000	4	490	91
70	1	69	1	135000	4	500	91
71	1	70	1	137000	4	510	101
72	1	71	1	139000	4	520	101
73	1	72	1	141000	4	530	101
74	1	73	1	143000	4	540	101
75	1	74	1	145000	4	550	101
76	1	75	1	147000	4	560	101
77	1	76	1	149000	4	570	101
78	1	77	1	151000	4	580	101
79	1	78	1	153000	4	590	101
80	1	79	1	155000	4	600	101
81	1	80	1	-1	4	-1	101
82	2	0	1	5000	4	0	31
83	2	1	1	6000	4	0	31
84	2	2	1	7000	4	0	31
85	2	3	1	8000	4	0	31
86	2	4	1	9000	4	0	31
87	2	5	1	10000	4	0	31
88	2	6	1	11000	4	0	31
89	2	7	1	12000	4	0	31
90	2	8	1	13000	4	0	31
91	2	9	1	15000	4	0	31
92	2	10	1	17000	4	5	41
93	2	11	1	19000	4	10	41
94	2	12	1	21000	4	15	41
95	2	13	1	23000	4	20	41
96	2	14	1	25000	4	25	41
97	2	15	1	27000	4	30	41
98	2	16	1	29000	4	35	41
99	2	17	1	31000	4	40	41
