流水ID	提姆林星级	阶段	需要数量	有效物品	加成属性
int	int	int	int	string	string
Id	Star	Stage	NeedFoodNum	FoodItemId	Prop
1	1	0	3	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,0;4,0;1,0
2	1	1	8	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,5;4,5;1,50
3	1	2	30	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,10;4,10;1,100
4	1	3	50	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,15;4,15;1,150
5	1	4	100	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,20;4,20;1,200
6	1	5	200	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,25;4,25;1,250
7	1	6	400	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,30;4,30;1,300
8	1	7	800	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,40;4,40;1,400
9	1	8	1000	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,50;4,50;1,500
10	1	9	2000	item172000001011,item172000001021,item172000001031,item172000001041,item172000001051,item172000001061,item172000001012,item172000001022,item172000001032,item172000001042,item172000001052,item172000001062,item172000001013,item172000001023,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,70;4,70;1,700
11	1	10	0		3,100;4,100;1,1000
12	2	0	3	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,0;4,0;1,0
13	2	1	5	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,5;4,5;1,50
14	2	2	10	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,10;4,10;1,100
15	2	3	20	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,15;4,15;1,150
16	2	4	80	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,20;4,20;1,200
17	2	5	100	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,25;4,25;1,250
18	2	6	200	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,30;4,30;1,300
19	2	7	700	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,40;4,40;1,400
20	2	8	900	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,50;4,50;1,500
21	2	9	1200	item172000005081,item172000005091,item172000010011,item172000010021,item172000010031,item172000010041,item172000010051,item172000010061,item172000005012,item172000005022,item172000005032,item172000005042,item172000005052,item172000005062,item172000005072,item172000001033,item172000001043,item172000001053,item172000001063	3,70;4,70;1,700
22	2	10	0		3,100;4,100;1,1000
23	3	0	3	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,0;4,0;1,0
24	3	1	5	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,5;4,5;1,50
25	3	2	10	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,10;4,10;1,100
26	3	3	20	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,15;4,15;1,150
27	3	4	50	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,20;4,20;1,200
28	3	5	100	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,25;4,25;1,250
29	3	6	300	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,30;4,30;1,300
30	3	7	500	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,40;4,40;1,400
31	3	8	800	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,50;4,50;1,500
32	3	9	1000	item172000010071,item172000010081,item172000010091,item172000010101,item172000010111,item172000010121,item172000005082,item172000005092,item172000010012,item172000010022,item172000010032,item172000010042,item172000010052,item172000010062,item172000005013,item172000005023,item172000005033,item172000005043,item172000005053,item172000005063,item172000005073	3,70;4,70;1,700
33	3	10	0		3,100;4,100;1,1000
34	4	0	3	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,0;52,0
35	4	1	5	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,10;52,15
36	4	2	10	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,20;52,30
37	4	3	20	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,30;52,45
38	4	4	40	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,40;52,60
39	4	5	80	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,50;52,75
40	4	6	160	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,60;52,90
41	4	7	320	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,80;52,120
42	4	8	640	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,100;52,150
43	4	9	1280	item172000010151,item172000010161,item172000010171,item172000015011,item172000015021,item172000015031,item172000015041,item172000015051,item172000015061,item172000015071,item172000010072,item172000010082,item172000010092,item172000010102,item172000010112,item172000010122,item172000005083,item172000005093,item172000010013,item172000010023,item172000010033,item172000010043,item172000010053,item172000010063	51,140;52,210
44	4	10	0		51,200;52,300
45	5	0	3	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,0;52,0
46	5	1	5	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,10;52,15
47	5	2	10	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,20;52,30
48	5	3	20	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,30;52,45
49	5	4	50	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,40;52,60
50	5	5	80	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,50;52,75
51	5	6	100	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,60;52,90
52	5	7	300	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,80;52,120
53	5	8	500	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,100;52,150
54	5	9	1000	item172000015081,item172000015091,item172000015101,item172000015111,item172000015121,item172000015131,item172000015141,item172000015151,item172000020011,item172000010152,item172000010162,item172000010172,item172000015012,item172000015022,item172000015032,item172000015042,item172000015052,item172000015062,item172000015072,item172000010073,item172000010083,item172000010093,item172000010103,item172000010113,item172000010123	51,140;52,210
55	5	10	0		51,200;52,300
56	6	0	3	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,0;52,0
57	6	1	5	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,10;52,20
58	6	2	8	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,20;52,40
59	6	3	10	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,30;52,60
60	6	4	30	item172000020021,item172000020031,item172000020041,item172000020051,item172000020061,item172000020071,item172000020081,item172000020091,item172000020101,item172000015082,item172000015092,item172000015102,item172000015112,item172000015122,item172000015132,item172000015142,item172000015152,item172000020012,item172000010153,item172000010163,item172000010173,item172000015013,item172000015023,item172000015033,item172000015043,item172000015053,item172000015063,item172000015073	51,40;52,80
