信物定义id	信物Id	信物品质	信物提升属性
int	string	int	string
Id	ItemId	ItemQuality	AddAttribute
1018	item105000000019	3	1,6500;4,400;13,400
1019	item105000000035	3	1,4000;3,660;32,600
1020	item105000000036	3	1,5200;4,530;11,400
1021	item105000000037	3	1,4600;3,600;30,600
1022	item105000000038	3	1,5000;3,560;34,600
1023	item105000000039	3	1,4000;4,660;33,600
1024	item105000000040	3	1,2000;4,1000;11,400
1025	item105000000041	3	1,8000;4,260;35,600
1026	item105000000042	3	1,4600;3,600;12,400
1027	item105000000043	3	1,3300;3,730;31,600
1028	item105000000020	4	1,13500;3,1350;4,1350
1029	item105000000045	4	1,13500;3,1350;4,1350
1030	item105000000046	4	1,13500;3,1350;4,1350
1031	item105000000047	4	1,13500;3,1350;4,1350
1033	item105000000044	4	1,13500;3,1350;4,1350
1034	item105000000048	4	1,13500;3,1350;4,1350
1035	item105100000001	4	1,13500;3,1350;4,1350
1036	item105100000002	4	1,13500;3,1350;4,1350
1037	item105100000003	4	1,13500;3,1350;4,1350
1038	item105100000004	4	1,13500;3,1350;4,1350
1039	item105100000005	4	1,13500;3,1350;4,1350
1040	item105100000006	4	1,13500;3,1350;4,1350
1043	item105100000009	4	1,13500;3,1350;4,1350
1044	item105100000016	4	1,13500;3,1350;4,1350
1051	item105100000023	4	1,13500;3,1350;4,1350
1056	item105100000028	4	1,13500;3,1350;4,1350
1057	item105100000029	4	1,13500;3,1350;4,1350
1058	item105100000030	4	1,13500;3,1350;4,1350
1059	item105100000031	4	1,13500;3,1350;4,1350
1068	item105100000040	4	1,13500;3,1350;4,1350
1069	item105100000041	4	1,13500;3,1350;4,1350
1070	item105100000042	4	1,13500;3,1350;4,1350
1072	item105100000044	4	1,13500;3,1350;4,1350
