编号	魔法属性掉落库ID	生产规则	KeyId	出现概率
int	int	int	int	int
Id	DropBoxId	Rule	KeyId	Probability
1	91000001	1	100001	1
2	91000001	1	100016	1
3	91000001	1	100018	1
4	91000001	1	100020	1
5	91000002	1	100002	1
6	91000002	1	100003	1
7	91000002	1	100017	1
8	91000002	1	100019	1
9	91000002	1	100021	1
10	92000001	1	100005	1
11	92000001	1	100022	1
12	92000001	1	100026	1
13	92000002	1	100004	1
14	92000002	1	100024	1
15	92000003	1	100006	1
16	92000003	1	100023	1
17	92000004	1	100006	1
18	92000004	1	100025	1
19	92000004	1	100027	1
20	92000005	1	100006	1
21	92000005	1	100023	1
22	92000005	1	100025	1
23	92000006	1	100004	1
24	92000006	1	100023	1
25	92000006	1	100027	1
26	92000007	1	100022	1
27	92000007	1	100024	1
28	92000007	1	100026	1
29	92000008	1	100004	1
30	92000008	1	100024	1
31	92000008	1	100027	1
32	92000009	1	100005	1
33	92000009	1	100022	1
34	92000009	1	100025	1
35	92000010	1	100005	1
36	92000010	1	100026	1
37	93000001	1	100051	1
38	93000001	1	100052	1
39	93000001	1	100053	1
40	93000001	1	100054	1
41	93000002	1	100042	1
42	93000002	1	100045	1
43	93000002	1	100046	1
44	93000003	1	100041	1
45	93000003	1	100045	1
46	93000003	1	100047	1
47	93000004	1	100044	1
48	93000004	1	100045	1
49	93000004	1	100048	1
50	93000005	1	100043	1
51	93000005	1	100045	1
52	93000005	1	100049	1
53	93000006	1	100040	1
54	93000006	1	100045	1
55	93000006	1	100050	1
56	93000007	1	100055	1
57	93000007	1	100056	1
58	93000008	1	100057	1
59	93000008	1	100058	1
60	93000009	1	100059	1
61	93000009	1	100060	1
62	93000010	1	100061	1
63	93000010	1	100062	1
64	93000010	1	100063	1
65	93000010	1	100064	1
66	93000101	1	100051	62
67	93000101	1	100052	62
68	93000101	1	100053	4500
69	93000101	1	100054	875
70	93000101	1	100069	4500
71	93000102	1	100051	62
72	93000102	1	100052	62
73	93000102	1	100053	4500
74	93000102	1	100054	875
75	93000102	1	100068	4500
76	93000103	1	100051	62
77	93000103	1	100052	62
78	93000103	1	100053	4500
79	93000103	1	100054	875
80	93000103	1	100070	4500
81	93000104	1	100051	62
82	93000104	1	100052	62
83	93000104	1	100053	4500
84	93000104	1	100054	875
85	93000104	1	100069	4500
86	93000105	1	100042	125
87	93000105	1	100045	4500
88	93000105	1	100046	4500
89	93000105	1	100074	875
90	93000106	1	100041	437
91	93000106	1	100045	4563
92	93000106	1	100047	4563
93	93000106	1	100079	437
94	93000107	1	100044	291
95	93000107	1	100045	4563
96	93000107	1	100048	4563
97	93000107	1	100075	291
98	93000107	1	100078	291
99	93000108	1	100043	3041
100	93000108	1	100045	3041
101	93000108	1	100049	3041
102	93000108	0	100073	875
103	93000109	1	100040	125
104	93000109	1	100045	3000
105	93000109	1	100050	3000
106	93000109	1	100065	437
107	93000109	1	100066	437
108	93000109	1	100067	3000
109	93000110	1	100055	437
110	93000110	1	100056	9126
111	93000110	1	100072	437
112	93000110	1	100076	0
113	93000111	1	100057	9875
114	93000111	1	100058	125
115	93000112	1	100059	437
116	93000112	1	100071	437
117	93000112	1	100077	0
118	93000112	1	100060	9126
119	93000113	1	100061	4500
120	93000113	1	100062	4500
121	93000113	1	100063	875
122	93000113	1	100064	125
123	93000114	1	100051	62
124	93000114	1	100052	62
125	93000114	1	100053	3000
126	93000114	1	100054	875
127	93000114	1	100069	3000
128	93000114	1	100070	3000
129	102000001	1	100005	1
130	103000007	1	100056	1
131	103000008	1	100057	1
132	93040101	1	100051	25
133	93040101	1	100052	25
134	93040101	1	100053	4662
135	93040101	1	100054	625
136	93040101	1	100069	4662
137	93040102	1	100051	25
138	93040102	1	100052	25
139	93040102	1	100053	4662
140	93040102	1	100054	625
141	93040102	1	100068	4662
142	93040103	1	100051	25
143	93040103	1	100052	25
144	93040103	1	100053	4662
145	93040103	1	100054	625
146	93040103	1	100070	4662
147	93040104	1	100051	25
148	93040104	1	100052	25
149	93040104	1	100053	4662
150	93040104	1	100054	625
151	93040104	1	100069	4662
152	93040105	1	100042	50
153	93040105	1	100045	4662
154	93040105	1	100046	4662
155	93040105	1	100074	625
156	93040106	1	100041	312
157	93040106	1	100045	4662
158	93040106	1	100047	4662
159	93040106	1	100079	312
160	93040107	1	100044	208
161	93040107	1	100045	4662
162	93040107	1	100048	4662
163	93040107	1	100075	208
164	93040107	1	100078	208
165	93040108	1	100043	3108
166	93040108	1	100045	3108
167	93040108	1	100049	3108
168	93040108	0	100073	625
169	93040109	1	100040	50
170	93040109	1	100045	3108
171	93040109	1	100050	3108
172	93040109	1	100065	312
173	93040109	1	100066	312
174	93040109	1	100067	3108
175	93040110	1	100055	312
176	93040110	1	100056	9325
177	93040110	1	100072	312
178	93040110	1	100076	0
179	93040111	1	100057	9325
180	93040111	1	100058	50
181	93040112	1	100059	312
182	93040112	1	100071	312
183	93040112	1	100077	0
184	93040112	1	100060	9325
185	93040113	1	100061	4662
186	93040113	1	100062	4662
187	93040113	1	100063	625
188	93040113	1	100064	50
189	93040114	1	100051	25
190	93040114	1	100052	25
191	93040114	1	100053	3108
192	93040114	1	100054	625
193	93040114	1	100069	3108
194	93040114	1	100070	3108
